"","StationaryDistribution","GOP","Membership","QuantileSR.10","QuantileSR.25","QuantileSR.35","QuantileSR.45","QuantileSR.50","QuantileSR.65","QuantileSR.75","QuantileSR.85","QuantileSR.95","Symbol","Name"
"SCHP",0.005,0.011,1,-0.003,-0.001,-0.001,0,0,0.001,0.001,0.002,0.003,"SCHP","Schwab U.S. TIPS ETF"
"SCHZ",0.005,0.011,1,-0.002,-0.001,-0.001,0,0,0.001,0.001,0.001,0.002,"SCHZ","Schwab U.S. Aggregate Bond ETF"
"SCHR",0.005,0.013,1,-0.002,-0.001,-0.001,0,0,0,0.001,0.002,0.002,"SCHR","Schwab Intermediate-Term U.S. Treasury ETF"
"SCHO",0.004,0.011,1,-0.001,0,0,0,0,0,0,0,0.001,"SCHO","Schwab Short-Term U.S. Treasury ETF"
"^STOXX",0.002,0.006,2,-0.007,-0.003,-0.001,-0.001,0,0.002,0.004,0.006,0.01,"-","-"
"^SPEUP",0.003,0.009,2,-0.008,-0.004,-0.002,0,0.001,0.003,0.004,0.007,0.01,"-","-"
"SCHH",0.003,0.01,2,-0.01,-0.004,-0.003,-0.001,0,0.003,0.006,0.008,0.012,"SCHH","Schwab US REIT ETF"
"^GSPC",0.084,0.223,3,-0.007,-0.002,-0.001,0.001,0.001,0.002,0.004,0.008,0.012,"-","-"
"^DJI",0.037,0.101,3,-0.008,-0.002,-0.001,0.001,0.001,0.003,0.004,0.008,0.013,"-","-"
"^IXIC",0.029,0.076,3,-0.009,-0.003,-0.001,0,0.001,0.003,0.006,0.009,0.015,"-","-"
"^NYA",0.065,0.177,3,-0.006,-0.002,-0.001,0,0.001,0.002,0.004,0.006,0.01,"-","-"
"^RUA",0.027,0.076,3,-0.006,-0.002,-0.001,0.001,0.001,0.002,0.004,0.007,0.011,"-","-"
"^RUI",0.089,0.236,3,-0.007,-0.002,-0.001,0.001,0.001,0.002,0.004,0.008,0.012,"-","-"
"SCHG",0.05,0.131,3,-0.007,-0.003,-0.001,0,0.001,0.003,0.005,0.009,0.013,"SCHG","Schwab US Large-Cap Growth ETF"
"SCHX",0.088,0.233,3,-0.007,-0.002,-0.001,0,0.001,0.002,0.004,0.008,0.012,"SCHX","Schwab US Large-Cap ETF"
"SCHB",0.087,0.231,3,-0.007,-0.002,-0.001,0,0.001,0.002,0.004,0.008,0.012,"SCHB","Schwab US Broad Market ETF"
"FNDX",0.071,0.19,3,-0.006,-0.002,-0.001,0,0.001,0.002,0.004,0.007,0.011,"FNDX","Schwab Fundamental US Large Company ETF"
"SCHD",0.027,0.074,3,-0.009,-0.003,-0.001,0.001,0.001,0.003,0.004,0.006,0.013,"SCHD","Schwab US Dividend Equity ETF"
"SCHV",0.059,0.158,3,-0.007,-0.002,-0.001,0,0.001,0.002,0.004,0.006,0.011,"SCHV","Schwab US Large-Cap Value ETF"
"FNDB",0.052,0.141,3,-0.007,-0.002,-0.001,0,0.001,0.003,0.004,0.007,0.011,"FNDB","Schwab Fundamental US Broad Market ETF"
"^RUT",0.026,0.066,4,-0.01,-0.003,-0.001,0.001,0.001,0.003,0.006,0.009,0.013,"-","-"
"SCHA",0.032,0.08,4,-0.009,-0.003,-0.001,0,0.002,0.003,0.005,0.008,0.012,"SCHA","Schwab US Small-Cap ETF"
"SCHM",0.042,0.115,4,-0.007,-0.002,-0.001,0.001,0.001,0.003,0.005,0.007,0.011,"SCHM","Schwab US Mid-Cap ETF"
"FNDA",0.03,0.079,4,-0.009,-0.003,-0.001,0,0.001,0.003,0.005,0.007,0.012,"FNDA","Schwab Fundamental U.S. Small Company Index ETF"
"FNDC",0.013,0.035,5,-0.007,-0.003,-0.001,0,0.001,0.003,0.004,0.006,0.009,"FNDC","Schwab Fundamental Intl Sm Co ETF"
"FNDF",0.015,0.041,5,-0.008,-0.003,-0.001,0,0.001,0.003,0.004,0.006,0.009,"FNDF","Schwab Fundamental Intl Lg Co ETF"
"FNDE",0.011,0.028,5,-0.012,-0.006,-0.003,0,0.001,0.004,0.007,0.01,0.016,"FNDE","Schwab Fundamental Emerg Mkts Lg Co ETF"
"SCHF",0.017,0.044,5,-0.008,-0.003,-0.001,0,0.001,0.002,0.004,0.006,0.009,"SCHF","Schwab International Equity ETF"
"SCHE",0.01,0.028,5,-0.013,-0.006,-0.003,-0.001,0.001,0.004,0.006,0.01,0.016,"SCHE","Schwab Emerging Markets Equity ETF"
"SCHC",0.012,0.031,5,-0.007,-0.003,-0.001,0,0.001,0.003,0.004,0.006,0.01,"SCHC","Schwab International Small-Cap Equity ETF"
