"","StationaryDistribution","GOP","Membership","QuantileSR.10","QuantileSR.25","QuantileSR.35","QuantileSR.45","QuantileSR.50","QuantileSR.65","QuantileSR.75","QuantileSR.85","QuantileSR.95","Symbol","Name"
"VPU",0.002,0.006,1,-0.009,-0.005,-0.003,0,0.001,0.003,0.005,0.008,0.011,"VPU","Vanguard Utilities ETF"
"VCSH",0.002,0.006,1,-0.001,-0.001,0,0,0,0,0,0.001,0.001,"VCSH","Vanguard Short-Term Corporate Bond ETF"
"VTIP",0.002,0.006,1,-0.001,0,0,0,0,0,0.001,0.001,0.001,"VTIP","Vanguard Short-Term Infl-Prot Secs ETF"
"BNDX",0.002,0.007,1,-0.001,-0.001,0,0,0,0.001,0.001,0.001,0.002,"BNDX","Vanguard Total International Bond ETF"
"BIV",0.004,0.01,1,-0.003,-0.002,-0.001,0,0,0,0.001,0.002,0.003,"BIV","Vanguard Interm-Term Bond ETF"
"VMBS",0.003,0.009,1,-0.002,-0.001,-0.001,0,0,0,0.001,0.001,0.002,"VMBS","Vanguard Mortgage-Backed Secs ETF"
"VGLT",0.004,0.01,1,-0.008,-0.004,-0.002,-0.001,0,0.002,0.004,0.005,0.009,"VGLT","Vanguard Long-Term Treasury ETF"
"EDV",0.003,0.009,1,-0.012,-0.006,-0.003,-0.001,0.001,0.003,0.006,0.009,0.013,"EDV","Vanguard Extended Duration Trs ETF"
"VCLT",0.003,0.008,1,-0.006,-0.003,-0.002,0,0,0.002,0.003,0.004,0.006,"VCLT","Vanguard Long-Term Corporate Bd ETF"
"^GSPC",0.055,0.166,2,-0.007,-0.002,-0.001,0.001,0.001,0.002,0.004,0.008,0.012,"-","-"
"^DJI",0.017,0.053,2,-0.008,-0.002,-0.001,0.001,0.001,0.003,0.004,0.008,0.013,"-","-"
"^IXIC",0.019,0.055,2,-0.009,-0.003,-0.001,0,0.001,0.003,0.006,0.009,0.015,"-","-"
"^NYA",0.03,0.094,2,-0.006,-0.002,-0.001,0,0.001,0.002,0.004,0.006,0.01,"-","-"
"^STOXX",0.001,0.004,2,-0.007,-0.003,-0.001,-0.001,0,0.002,0.004,0.006,0.01,"-","-"
"^RUA",0.012,0.039,2,-0.006,-0.002,-0.001,0.001,0.001,0.002,0.004,0.007,0.011,"-","-"
"^RUI",0.057,0.174,2,-0.007,-0.002,-0.001,0.001,0.001,0.002,0.004,0.008,0.012,"-","-"
"^SPEUP",0.001,0.004,2,-0.008,-0.004,-0.002,0,0.001,0.003,0.004,0.007,0.01,"-","-"
"VOT",0.022,0.07,2,-0.007,-0.004,-0.001,0,0.001,0.003,0.005,0.008,0.012,"VOT","Vanguard Mid-Cap Growth ETF"
"VNQ",0.002,0.006,2,-0.01,-0.004,-0.003,-0.001,0,0.003,0.005,0.007,0.012,"VNQ","Vanguard Real Estate ETF"
"VO",0.035,0.114,2,-0.008,-0.003,-0.001,0,0.001,0.003,0.004,0.007,0.011,"VO","Vanguard Mid-Cap ETF"
"VUG",0.027,0.081,2,-0.008,-0.003,-0.001,0,0.001,0.003,0.006,0.008,0.014,"VUG","Vanguard Growth ETF"
"VOOG",0.029,0.087,2,-0.008,-0.003,-0.001,0.001,0.001,0.003,0.005,0.008,0.015,"VOOG","Vanguard S&P 500 Growth ETF"
"VONG",0.03,0.091,2,-0.008,-0.003,0,0.001,0.001,0.003,0.005,0.009,0.014,"VONG","Vanguard Russell 1000 Growth ETF"
"VTHR",0.028,0.089,2,-0.007,-0.002,-0.001,0,0.001,0.002,0.005,0.008,0.011,"VTHR","Vanguard Russell 3000 ETF"
"VTI",0.056,0.171,2,-0.007,-0.002,-0.001,0,0.001,0.002,0.004,0.008,0.012,"VTI","Vanguard Total Stock Market ETF"
"MGC",0.044,0.133,2,-0.007,-0.002,-0.001,0,0.001,0.002,0.004,0.008,0.013,"MGC","Vanguard Mega Cap ETF"
"VDE",0.001,0.005,2,-0.014,-0.005,-0.002,-0.001,0,0.005,0.007,0.011,0.019,"VDE","Vanguard Energy ETF"
"VONE",0.049,0.15,2,-0.007,-0.002,-0.001,0.001,0.001,0.002,0.004,0.008,0.011,"VONE","Vanguard Russell 1000 ETF"
"VOO",0.051,0.153,2,-0.007,-0.002,-0.001,0.001,0.001,0.002,0.004,0.008,0.012,"VOO","Vanguard S&P 500 ETF"
"VV",0.054,0.165,2,-0.007,-0.002,-0.001,0,0.001,0.002,0.004,0.008,0.012,"VV","Vanguard Large-Cap ETF"
"VCR",0.007,0.022,2,-0.007,-0.004,-0.002,0.001,0.001,0.003,0.005,0.008,0.013,"VCR","Vanguard Consumer Discretionary ETF"
"VAW",0.004,0.014,2,-0.011,-0.004,-0.002,0,0,0.003,0.006,0.009,0.014,"VAW","Vanguard Materials ETF"
"VOE",0.018,0.059,2,-0.008,-0.003,-0.001,0,0.001,0.003,0.004,0.007,0.012,"VOE","Vanguard Mid-Cap Value ETF"
"MGV",0.022,0.069,2,-0.007,-0.002,-0.001,0,0.001,0.003,0.004,0.007,0.012,"MGV","Vanguard Mega Cap Value ETF"
"VYM",0.022,0.068,2,-0.007,-0.002,-0.001,0,0.001,0.002,0.004,0.006,0.012,"VYM","Vanguard High Dividend Yield ETF"
"VTV",0.024,0.074,2,-0.006,-0.002,-0.001,0,0.001,0.002,0.004,0.007,0.012,"VTV","Vanguard Value ETF"
