"","StationaryDistribution","GOP","Membership","QuantileSR.10","QuantileSR.25","QuantileSR.35","QuantileSR.45","QuantileSR.50","QuantileSR.65","QuantileSR.75","QuantileSR.85","QuantileSR.95","Symbol","Name"
"^STOXX",0.002,0.008,1,-0.007,-0.003,-0.001,-0.001,0,0.002,0.004,0.006,0.01,"-","-"
"^SPEUP",0.005,0.015,1,-0.008,-0.004,-0.002,0,0.001,0.003,0.004,0.007,0.01,"-","-"
"CXSE",0.005,0.015,1,-0.017,-0.007,-0.003,0,0.001,0.006,0.009,0.012,0.022,"CXSE","WisdomTree China ex-State-Owd Entpr ETF"
"GULF",0.002,0.008,1,-0.011,-0.004,-0.001,0.001,0.001,0.003,0.005,0.009,0.015,"GULF","WisdomTree Middle East Dividend ETF"
"HEDJ",0.011,0.031,1,-0.008,-0.003,-0.002,0,0.001,0.003,0.005,0.007,0.012,"HEDJ","WisdomTree Europe Hedged Equity ETF"
"IHDG",0.012,0.034,1,-0.008,-0.003,-0.001,0,0.001,0.003,0.005,0.007,0.011,"IHDG","WisdomTree Intl Hdgd Qual Div Gr ETF"
"HYZD",0.003,0.01,1,-0.004,-0.002,-0.001,0,0,0.001,0.002,0.002,0.004,"HYZD","WisdomTree Interest Rt Hdg Hi Yld Bd ETF"
"DLS",0.017,0.047,1,-0.007,-0.003,-0.001,0,0.001,0.002,0.004,0.006,0.009,"DLS","WisdomTree International SmallCp Div ETF"
"DRW",0.009,0.025,1,-0.009,-0.003,-0.002,0,0.001,0.004,0.006,0.008,0.011,"DRW","WisdomTree Global ex-US Real Estate ETF"
"DWM",0.016,0.045,1,-0.007,-0.003,-0.001,0,0.001,0.002,0.004,0.006,0.009,"DWM","WisdomTree International Equity ETF"
"DGS",0.011,0.032,1,-0.011,-0.005,-0.002,-0.001,0,0.004,0.006,0.009,0.014,"DGS","WisdomTree Emerging Markets SmCp Div ETF"
"DXJS",0.007,0.019,1,-0.011,-0.004,-0.002,0,0.002,0.004,0.006,0.01,0.015,"DXJS","WisdomTree Japan Hedged SmallCap Eq ETF"
"DFE",0.011,0.031,1,-0.009,-0.003,-0.002,0,0,0.003,0.005,0.007,0.01,"DFE","WisdomTree Europe SmallCap Dividend ETF"
"DFJ",0.007,0.02,1,-0.009,-0.003,-0.001,0,0.001,0.004,0.005,0.007,0.012,"DFJ","WisdomTree Japan SmallCap Dividend ETF"
"AUSE",0.006,0.017,1,-0.011,-0.005,-0.003,0,0.001,0.004,0.005,0.008,0.013,"AUSE","WisdomTree Australia Dividend ETF"
"^RUT",0.035,0.09,2,-0.01,-0.003,-0.001,0.001,0.001,0.003,0.006,0.009,0.013,"-","-"
"DES",0.026,0.065,2,-0.009,-0.004,-0.001,0,0.001,0.003,0.005,0.007,0.013,"DES","WisdomTree US SmallCap Dividend ETF"
"EES",0.029,0.074,2,-0.01,-0.004,-0.002,0,0.001,0.004,0.006,0.009,0.014,"EES","WisdomTree US SmallCap Earnings ETF"
"EZM",0.039,0.102,2,-0.008,-0.004,-0.001,0,0.001,0.003,0.005,0.008,0.012,"EZM","WisdomTree US MidCap Earnings ETF"
"DON",0.039,0.106,2,-0.007,-0.003,-0.001,0,0.001,0.003,0.004,0.006,0.011,"DON","WisdomTree US MidCap Dividend ETF"
"^GSPC",0.092,0.237,3,-0.007,-0.002,-0.001,0.001,0.001,0.002,0.004,0.008,0.012,"-","-"
"^DJI",0.051,0.136,3,-0.008,-0.002,-0.001,0.001,0.001,0.003,0.004,0.008,0.013,"-","-"
"^IXIC",0.029,0.077,3,-0.009,-0.003,-0.001,0,0.001,0.003,0.006,0.009,0.015,"-","-"
"^NYA",0.078,0.209,3,-0.006,-0.002,-0.001,0,0.001,0.002,0.004,0.006,0.01,"-","-"
"^RUA",0.034,0.093,3,-0.006,-0.002,-0.001,0.001,0.001,0.002,0.004,0.007,0.011,"-","-"
"^RUI",0.094,0.243,3,-0.007,-0.002,-0.001,0.001,0.001,0.002,0.004,0.008,0.012,"-","-"
"DGRW",0.081,0.21,3,-0.008,-0.003,-0.001,0.001,0.001,0.003,0.004,0.008,0.012,"DGRW","WisdomTree US Quality Dividend Gr ETF"
"DTN",0.037,0.101,3,-0.007,-0.003,-0.001,0,0.001,0.002,0.004,0.006,0.012,"DTN","WisdomTree US Dividend ex-Financials ETF"
"EPS",0.062,0.164,3,-0.008,-0.003,-0.001,0,0.001,0.003,0.004,0.007,0.012,"EPS","WisdomTree US Earnings 500 ETF"
"EXT",0.012,0.037,3,-0.008,-0.002,-0.001,0,0.001,0.003,0.004,0.008,0.013,"EXT","WisdomTree US Total Earnings ETF"
"DTD",0.056,0.15,3,-0.007,-0.002,-0.001,0,0.001,0.002,0.004,0.006,0.011,"DTD","WisdomTree US Total Dividend ETF"
"DLN",0.081,0.214,3,-0.007,-0.002,-0.001,0.001,0.001,0.002,0.004,0.006,0.012,"DLN","WisdomTree US LargeCap Dividend ETF"
