"","StationaryDistribution","GOP","Membership","QuantileSR.10","QuantileSR.25","QuantileSR.35","QuantileSR.45","QuantileSR.50","QuantileSR.65","QuantileSR.75","QuantileSR.85","QuantileSR.95","Symbol","Name"
"^NYA",0.032,0.111,1,-0.006,-0.002,-0.001,0,0.001,0.002,0.004,0.006,0.01,"-","-"
"^SPEUP",0.002,0.007,1,-0.008,-0.004,-0.002,0,0.001,0.003,0.004,0.007,0.01,"-","-"
"IYE",0.003,0.01,1,-0.014,-0.005,-0.002,-0.001,0,0.005,0.008,0.011,0.019,"IYE","iShares US Energy ETF"
"AOA",0.02,0.071,1,-0.006,-0.002,-0.001,0,0.001,0.002,0.004,0.005,0.008,"AOA","iShares Core Aggressive Allocation ETF"
"WOOD",0.003,0.011,1,-0.009,-0.004,-0.002,0,0.001,0.004,0.006,0.009,0.013,"WOOD","iShares Global Timber & Forestry ETF"
"IYM",0.006,0.023,1,-0.012,-0.004,-0.002,0,0.001,0.003,0.006,0.011,0.015,"IYM","iShares US Basic Materials ETF"
"FILL",0.003,0.009,1,-0.012,-0.005,-0.002,0,0.002,0.004,0.007,0.01,0.019,"FILL","iShares MSCI Global Energy Producers ETF"
"AOM",0.006,0.022,1,-0.004,-0.002,-0.001,0,0,0.001,0.002,0.003,0.005,"AOM","iShares Core Moderate Allocation ETF"
"IXC",0.003,0.011,1,-0.012,-0.004,-0.002,0,0.001,0.004,0.006,0.009,0.016,"IXC","iShares Global Energy ETF"
"HEZU",0.003,0.014,1,-0.008,-0.004,-0.002,0,0.001,0.003,0.005,0.007,0.012,"HEZU","iShares Currency Hedged MSCI Eurozn ETF"
"IXG",0.008,0.029,1,-0.009,-0.003,-0.001,0,0.001,0.003,0.005,0.007,0.011,"IXG","iShares Global Financials ETF"
"^STOXX",0.001,0.005,2,-0.007,-0.003,-0.001,-0.001,0,0.002,0.004,0.006,0.01,"-","-"
"EWD",0.003,0.012,2,-0.01,-0.005,-0.003,0,0.001,0.003,0.006,0.009,0.013,"EWD","iShares MSCI Sweden Capped ETF"
"IFEU",0.002,0.007,2,-0.009,-0.004,-0.002,0,0.001,0.003,0.005,0.008,0.012,"IFEU","iShares Europe Developed Real Estate ETF"
"EWH",0.003,0.01,2,-0.011,-0.004,-0.002,0,0.001,0.003,0.006,0.009,0.012,"EWH","iShares MSCI Hong Kong ETF"
"EWC",0.003,0.013,2,-0.008,-0.004,-0.002,0,0.001,0.003,0.004,0.007,0.012,"EWC","iShares MSCI Canada ETF"
"AIA",0.005,0.019,2,-0.015,-0.006,-0.003,-0.001,0.001,0.004,0.007,0.011,0.018,"AIA","iShares Asia 50 ETF"
"LEMB",0.002,0.008,2,-0.007,-0.003,-0.002,0,0,0.002,0.003,0.005,0.008,"LEMB","iShares JP Morgan EM Local Ccy Bd ETF"
"EWL",0.004,0.014,2,-0.007,-0.003,-0.002,0,0.001,0.003,0.004,0.006,0.01,"EWL","iShares MSCI Switzerland Capped ETF"
"EWW",0.002,0.009,2,-0.016,-0.008,-0.005,-0.002,0,0.004,0.007,0.012,0.022,"EWW","iShares MSCI Mexico Capped ETF"
"SCZ",0.006,0.021,2,-0.007,-0.003,-0.002,0,0.001,0.003,0.004,0.006,0.01,"SCZ","iShares MSCI EAFE Small-Cap ETF"
"TUR",0.001,0.006,2,-0.029,-0.016,-0.009,-0.003,0,0.006,0.012,0.019,0.029,"TUR","iShares MSCI Turkey ETF"
"EZA",0.003,0.011,2,-0.021,-0.011,-0.006,-0.002,0,0.007,0.01,0.018,0.029,"EZA","iShares MSCI South Africa ETF"
"ILF",0.002,0.009,2,-0.019,-0.009,-0.004,-0.001,0,0.006,0.008,0.014,0.022,"ILF","iShares Latin America 40 ETF"
"THD",0.002,0.009,2,-0.011,-0.004,-0.003,0,0.001,0.004,0.006,0.009,0.014,"THD","iShares MSCI Thailand Capped ETF"
"EWM",0.002,0.008,2,-0.009,-0.005,-0.002,0,0.001,0.003,0.006,0.009,0.014,"EWM","iShares MSCI Malaysia ETF"
"EWT",0.003,0.012,2,-0.014,-0.004,-0.002,0,0.001,0.004,0.006,0.01,0.016,"EWT","iShares MSCI Taiwan Capped ETF"
"IEUS",0.004,0.014,2,-0.008,-0.003,-0.002,0,0.001,0.003,0.005,0.007,0.011,"IEUS","iShares MSCI Europe Small-Cap ETF"
"EPU",0.001,0.006,2,-0.01,-0.005,-0.003,-0.001,0.001,0.004,0.006,0.009,0.015,"EPU","iShares MSCI All Peru ETF"
"EUFN",0.004,0.014,2,-0.011,-0.005,-0.003,-0.001,0,0.003,0.005,0.008,0.014,"EUFN","iShares MSCI Europe Financials ETF"
"^GSPC",0.049,0.159,3,-0.007,-0.002,-0.001,0.001,0.001,0.002,0.004,0.008,0.012,"-","-"
"^DJI",0.021,0.07,3,-0.008,-0.002,-0.001,0.001,0.001,0.003,0.004,0.008,0.013,"-","-"
"^IXIC",0.024,0.076,3,-0.009,-0.003,-0.001,0,0.001,0.003,0.006,0.009,0.015,"-","-"
"^RUA",0.017,0.059,3,-0.006,-0.002,-0.001,0.001,0.001,0.002,0.004,0.007,0.011,"-","-"
"^RUI",0.051,0.167,3,-0.007,-0.002,-0.001,0.001,0.001,0.002,0.004,0.008,0.012,"-","-"
"IHI",0.005,0.017,3,-0.01,-0.004,-0.001,0,0.001,0.004,0.007,0.01,0.014,"IHI","iShares US Medical Devices ETF"
"IBB",0.003,0.012,3,-0.014,-0.007,-0.003,-0.001,0.001,0.004,0.007,0.013,0.02,"IBB","iShares Nasdaq Biotechnology ETF"
"IWP",0.025,0.085,3,-0.008,-0.003,-0.001,0.001,0.001,0.003,0.006,0.009,0.012,"IWP","iShares Russell Mid-Cap Growth ETF"
"IUSG",0.037,0.119,3,-0.007,-0.003,0,0.001,0.001,0.003,0.005,0.008,0.014,"IUSG","iShares Core S&P US Growth ETF"
"IVW",0.036,0.114,3,-0.008,-0.003,-0.001,0,0.001,0.003,0.005,0.009,0.015,"IVW","iShares S&P 500 Growth ETF"
"IWF",0.037,0.118,3,-0.008,-0.003,-0.001,0.001,0.001,0.003,0.006,0.009,0.014,"IWF","iShares Russell 1000 Growth ETF"
"IYY",0.046,0.15,3,-0.007,-0.002,-0.001,0,0.001,0.002,0.004,0.008,0.012,"IYY","iShares Dow Jones US ETF"
"ITOT",0.05,0.164,3,-0.007,-0.002,-0.001,0,0.001,0.002,0.004,0.008,0.012,"ITOT","iShares Core S&P Total US Stock Mkt ETF"
"IWV",0.051,0.167,3,-0.007,-0.002,-0.001,0.001,0.001,0.002,0.004,0.008,0.012,"IWV","iShares Russell 3000 ETF"
"IWY",0.03,0.095,3,-0.009,-0.003,-0.001,0.001,0.001,0.003,0.005,0.009,0.014,"IWY","iShares Russell Top 200 Growth ETF"
"IVV",0.048,0.156,3,-0.007,-0.002,-0.001,0,0.001,0.002,0.004,0.008,0.012,"IVV","iShares Core S&P 500 ETF"
"SOXX",0.004,0.015,3,-0.016,-0.007,-0.002,0.001,0.003,0.006,0.008,0.015,0.022,"SOXX","iShares PHLX Semiconductor ETF"
"SIZE",0.011,0.04,3,-0.007,-0.002,-0.001,0,0.001,0.002,0.004,0.006,0.011,"SIZE","iShares Edge MSCI USA Size Factor ETF"
"IYC",0.013,0.045,3,-0.007,-0.004,-0.001,0.001,0.001,0.003,0.005,0.008,0.013,"IYC","iShares US Consumer Services ETF"
"DGRO",0.028,0.093,3,-0.008,-0.002,0,0.001,0.001,0.002,0.004,0.007,0.012,"DGRO","iShares Core Dividend Growth ETF"
"JKD",0.025,0.085,3,-0.007,-0.002,-0.001,0,0.001,0.002,0.004,0.007,0.011,"JKD","iShares Morningstar Large-Cap ETF"
"JKI",0.012,0.044,3,-0.008,-0.003,-0.001,0,0.001,0.003,0.004,0.006,0.012,"JKI","iShares Morningstar Mid-Cap Value ETF"
"REZ",0.002,0.008,4,-0.011,-0.004,-0.002,-0.001,0,0.003,0.005,0.008,0.013,"REZ","iShares Residential Real Estate Capd ETF"
"IDU",0.002,0.007,4,-0.009,-0.005,-0.003,0,0,0.003,0.005,0.008,0.011,"IDU","iShares US Utilities ETF"
"IBMH",0.001,0.005,4,-0.001,0,0,0,0,0,0,0.001,0.001,"IBMH","iShares iBonds Sep 2019 Term Muni Bd ETF"
"IAU",0.001,0.006,4,-0.008,-0.004,-0.002,-0.001,0,0.002,0.003,0.005,0.011,"IAU","iShares Gold Trust"
"IBCD",0.001,0.005,4,-0.002,-0.001,0,0,0,0,0.001,0.001,0.002,"IBCD","iShares iBonds Mar 2020Tm CorpexFncl ETF"
"IBDC",0.001,0.005,4,-0.002,-0.001,0,0,0,0,0.001,0.001,0.002,"IBDC","iShares iBonds Mar 2020 Term Corp ETF"
"^RUT",0.02,0.063,5,-0.01,-0.003,-0.001,0.001,0.001,0.003,0.006,0.009,0.013,"-","-"
"IWO",0.015,0.047,5,-0.01,-0.004,-0.001,0.001,0.002,0.004,0.007,0.009,0.014,"IWO","iShares Russell 2000 Growth ETF"
"IJS",0.015,0.047,5,-0.01,-0.004,-0.002,0,0.001,0.004,0.006,0.009,0.014,"IJS","iShares S&P Small-Cap 600 Value ETF"
"IJR",0.018,0.056,5,-0.01,-0.004,-0.001,0.001,0.001,0.004,0.006,0.009,0.014,"IJR","iShares Core S&P Small-Cap ETF"
"IJT",0.016,0.052,5,-0.01,-0.004,-0.001,0.001,0.002,0.004,0.006,0.01,0.015,"IJT","iShares S&P Small-Cap 600 Growth ETF"
"IJK",0.025,0.085,5,-0.008,-0.003,-0.001,0,0.001,0.003,0.005,0.008,0.012,"IJK","iShares S&P Mid-Cap 400 Growth ETF"
"IJJ",0.018,0.061,5,-0.008,-0.003,-0.001,0,0.001,0.003,0.004,0.007,0.012,"IJJ","iShares S&P Mid-Cap 400 Value ETF"
"IJH",0.025,0.082,5,-0.007,-0.003,-0.001,0,0.001,0.003,0.005,0.008,0.011,"IJH","iShares Core S&P Mid-Cap ETF"
"JKL",0.011,0.038,5,-0.009,-0.004,-0.002,0,0.001,0.003,0.005,0.008,0.012,"JKL","iShares Morningstar Small-Cap Value ETF"
"GNMA",0.002,0.006,6,-0.002,-0.001,-0.001,0,0,0.001,0.001,0.002,0.003,"GNMA","iShares GNMA Bond ETF"
"SLQD",0.002,0.008,6,-0.001,-0.001,0,0,0,0,0,0.001,0.001,"SLQD","iShares 0-5 Year Invmt Grade Corp Bd ETF"
"NYF",0.002,0.008,6,-0.002,-0.001,-0.001,0,0,0,0.001,0.001,0.002,"NYF","iShares New York Muni Bond ETF"
"MUB",0.003,0.011,6,-0.002,-0.001,0,0,0,0,0.001,0.001,0.002,"MUB","iShares National Muni Bond ETF"
"CMF",0.002,0.008,6,-0.002,-0.001,-0.001,0,0,0.001,0.001,0.001,0.003,"CMF","iShares California Muni Bond ETF"
"TLT",0.004,0.012,6,-0.008,-0.004,-0.002,-0.001,0,0.002,0.004,0.006,0.009,"TLT","iShares 20+ Year Treasury Bond ETF"
"TIP",0.003,0.011,6,-0.003,-0.002,-0.001,0,0,0.001,0.001,0.002,0.003,"TIP","iShares TIPS Bond ETF"
"BYLD",0.002,0.008,6,-0.002,-0.001,-0.001,0,0,0.001,0.001,0.002,0.003,"BYLD","iShares Yield Optimized Bond ETF"
"CLY",0.003,0.01,6,-0.006,-0.003,-0.001,0,0,0.002,0.003,0.004,0.006,"CLY","iShares 10+ Year Credit Bond ETF"
"IUSB",0.004,0.012,6,-0.002,-0.001,-0.001,0,0,0.001,0.001,0.001,0.002,"IUSB","iShares Core Total USD Bond Market ETF"
"IYF",0.012,0.041,7,-0.008,-0.003,-0.002,0,0.001,0.003,0.005,0.007,0.013,"IYF","iShares U.S. Financials ETF"
"IYG",0.008,0.029,7,-0.011,-0.004,-0.002,0,0.001,0.004,0.007,0.01,0.017,"IYG","iShares U.S. Financial Services ETF"
"IAT",0.005,0.017,7,-0.011,-0.006,-0.003,0,0.001,0.005,0.007,0.011,0.018,"IAT","iShares U.S. Regional Banks ETF"
"IAI",0.008,0.028,7,-0.01,-0.004,-0.003,0,0.001,0.004,0.007,0.011,0.016,"IAI","iShares US Broker-Dealers ETF"
"IAK",0.003,0.013,7,-0.009,-0.004,-0.001,0,0.001,0.004,0.005,0.006,0.013,"IAK","iShares U.S. Insurance ETF"
