"","StationaryDistribution","GOP","Membership","QuantileSR.10","QuantileSR.25","QuantileSR.35","QuantileSR.45","QuantileSR.50","QuantileSR.65","QuantileSR.75","QuantileSR.85","QuantileSR.95","Symbol","Name"
"^STOXX",0.002,0.007,1,-0.007,-0.003,-0.001,-0.001,0,0.002,0.004,0.006,0.01,"-","-"
"^SPEUP",0.003,0.011,1,-0.008,-0.004,-0.002,0,0.001,0.003,0.004,0.007,0.01,"-","-"
"ACWI",0.044,0.15,1,-0.008,-0.002,-0.001,0,0.001,0.002,0.005,0.007,0.011,"ACWI","iShares Trust - iShares MSCI ACWI ETF"
"ECH",0.004,0.015,1,-0.013,-0.007,-0.005,-0.001,0,0.003,0.007,0.01,0.018,"ECH","iShares MSCI Chile Capped ETF"
"QAT",0.002,0.008,1,-0.012,-0.006,-0.003,-0.001,0,0.003,0.006,0.011,0.019,"QAT","iShares Trust - iShares MSCI Qatar Capped ETF"
"ACWX",0.052,0.18,1,-0.009,-0.003,-0.002,0,0.001,0.003,0.005,0.007,0.01,"ACWX","iShares MSCI ACWI ex US ETF"
"SCJ",0.004,0.014,1,-0.009,-0.003,-0.001,0,0.001,0.003,0.005,0.007,0.012,"SCJ","iShares MSCI Japan Small-Cap ETF"
"ICOL",0.002,0.01,1,-0.011,-0.006,-0.004,-0.001,0,0.004,0.007,0.009,0.016,"ICOL","iShares MSCI Colombia Capped ETF"
"EWA",0.01,0.035,1,-0.011,-0.005,-0.003,0,0.001,0.004,0.006,0.008,0.013,"EWA","iShares MSCI Australia ETF"
"EPU",0.002,0.01,1,-0.01,-0.006,-0.003,-0.001,0.001,0.004,0.006,0.009,0.015,"EPU","iShares MSCI All Peru Capped ETF"
"EPOL",0.003,0.013,1,-0.018,-0.009,-0.004,-0.001,0.001,0.005,0.008,0.013,0.021,"EPOL","iShares Trust - iShares MSCI Poland Capped ETF"
"VEGI",0.006,0.022,1,-0.009,-0.004,-0.002,0,0.001,0.003,0.005,0.007,0.011,"VEGI","iShares, Inc. - iShares MSCI Global Agriculture Producers ETF"
"FILL",0.003,0.011,1,-0.012,-0.005,-0.002,0,0.002,0.004,0.007,0.01,0.019,"FILL","iShares MSCI Global Energy Producers ETF"
"ENZL",0.002,0.01,1,-0.01,-0.005,-0.003,-0.001,-0.001,0.003,0.005,0.009,0.014,"ENZL","iShares MSCI New Zealand Capped ETF"
"PICK",0.004,0.018,1,-0.017,-0.007,-0.004,0,0.001,0.006,0.009,0.013,0.02,"PICK","iShares, Inc. - iShares MSCI Global Metals & Mining Producers ETF"
"EWC",0.007,0.029,1,-0.008,-0.003,-0.002,0,0.001,0.003,0.004,0.007,0.012,"EWC","iShares, Inc. - iShares MSCI Canada ETF"
"UAE",0.002,0.008,1,-0.012,-0.006,-0.003,-0.001,0,0.003,0.005,0.008,0.013,"UAE","iShares MSCI UAE Capped ETF"
"KSA",0.002,0.007,1,-0.011,-0.004,-0.002,0,0.001,0.004,0.006,0.009,0.016,"KSA","iShares Trust - iShares MSCI Saudi Arabia Capped ETF"
"FM",0.002,0.01,1,-0.009,-0.004,-0.002,0,0.001,0.003,0.004,0.006,0.011,"FM","iShares MSCI Frontier 100 ETF"
"SLVP",0.002,0.009,1,-0.018,-0.009,-0.006,-0.003,-0.002,0.005,0.008,0.012,0.023,"SLVP","iShares, Inc. - iShares MSCI Global Silver Miners ETF"
"EPP",0.016,0.056,1,-0.009,-0.005,-0.002,0,0.001,0.003,0.005,0.008,0.011,"EPP","iShares MSCI Pacific ex Japan ETF"
"EWS",0.004,0.017,1,-0.01,-0.005,-0.003,0,0,0.003,0.005,0.008,0.013,"EWS","iShares MSCI Singapore Capped ETF"
