"","StationaryDistribution","GOP","Membership","QuantileSR.10","QuantileSR.25","QuantileSR.35","QuantileSR.45","QuantileSR.50","QuantileSR.65","QuantileSR.75","QuantileSR.85","QuantileSR.95","Ticker","Name"
"^SSMI",0.008,0.023,1,-0.009,-0.004,-0.002,-0.001,0,0.002,0.004,0.007,0.013,"-","-"
"^STOXX",0.01,0.026,1,-0.007,-0.003,-0.001,-0.001,0,0.002,0.004,0.006,0.01,"-","-"
"^STOXX50E",0.01,0.025,1,-0.008,-0.004,-0.002,-0.001,0,0.002,0.005,0.006,0.011,"-","-"
"SXPIEX.SW",0.006,0.02,1,-0.009,-0.002,0,0,0,0.002,0.004,0.007,0.01,"SXPIEX.SW","iShares STOXX Europe 600 UCITS ETF (DE)"
"^SPEUP",0.005,0.018,2,-0.007,-0.003,-0.002,0,0.001,0.003,0.004,0.007,0.01,"-","-"
"SXDPEX.SW",0.002,0.006,2,0,0,0,0,0,0,0,0,0.015,"SXDPEX.SW","iShares (DE) I - iShares STOXX Europe 600 Health Care UCITS ETF (DE)"
"SX8PEX.SW",0.002,0.007,2,-0.006,0,0,0,0,0,0,0.002,0.015,"SX8PEX.SW","iShares (DE) I - iShares STOXX Europe 600 Technology UCITS ETF (DE)"
"SXPPEX.SW",0.002,0.007,2,-0.007,0,0,0,0,0,0,0,0.023,"SXPPEX.SW","iShares (DE) I - iShares STOXX Europe 600 Basic Resources UCITS ETF (DE)"
"SX6PEX.SW",0.002,0.007,2,-0.003,0,0,0,0,0,0,0.001,0.009,"SX6PEX.SW","iShares (DE) I - iShares STOXX Europe 600 Utilities UCITS ETF (DE)"
"SXEPEX.SW",0.003,0.011,2,-0.007,0,0,0,0,0,0.001,0.007,0.015,"SXEPEX.SW","iShares (DE) I - iShares STOXX Europe 600 Oil & Gas UCITS ETF (DE)"
"EXSAN.MX",0.001,0.003,2,0,0,0,0,0,0,0,0,0,"EXSAN.MX","iShares STOXX Europe 600 UCITS ETF (DE)"
"SXIPEX.SW",0.002,0.009,2,-0.002,0,0,0,0,0,0,0,0.007,"SXIPEX.SW","iShares (DE) I - iShares STOXX Europe 600 Insurance UCITS ETF (DE)"
"SX7PEX.SW",0.004,0.013,2,-0.012,-0.002,0,0,0,0,0,0.005,0.017,"SX7PEX.SW","iShares (DE) I - iShares STOXX Europe 600 Banks UCITS ETF (DE)"
"^FTSE",0.006,0.021,3,-0.009,-0.003,-0.001,0,0.001,0.003,0.004,0.006,0.01,"-","-"
"EUN.L",0.006,0.018,3,-0.008,-0.003,-0.002,0,0,0.002,0.004,0.007,0.01,"EUN.L","iShares II Public Limited Company - iShares STOXX Europe 50 UCITS ETF"
"ISPA.DE",0.021,0.067,4,-0.007,-0.003,-0.002,-0.001,0,0.002,0.004,0.006,0.008,"ISPA.DE","iShares (DE) I - iShares STOXX Global Select Dividend 100 UCITS ETF (DE)"
"ISPA.F",0.024,0.077,4,-0.007,-0.003,-0.002,0,0,0.002,0.004,0.006,0.01,"ISPA.F","iShares (DE) I - iShares STOXX Global Select Dividend 100 UCITS ETF (DE)"
"EXH1.F",0.007,0.025,4,-0.011,-0.004,-0.002,0,0.001,0.004,0.007,0.01,0.014,"EXH1.F","iShares (DE) I - iShares STOXX Europe 600 Oil & Gas UCITS ETF (DE)"
