"","StationaryDistribution","GOP","Membership","QuantileDR.10","QuantileDR.25","QuantileDR.35","QuantileDR.45","QuantileDR.50","QuantileDR.65","QuantileDR.75","QuantileDR.85","QuantileDR.95","Ticker","Name"
"EXI5.DE",0.005,0.02,1,-0.007,-0.004,-0.002,-0.001,0,0.002,0.005,0.007,0.011,"EXI5.DE","iShares (DE) I - iShares STOXX Europe 600 Real Estate UCITS ETF (DE)"
"EXH9.F",0.009,0.028,1,-0.011,-0.005,-0.003,0,0,0.003,0.005,0.007,0.014,"EXH9.F","iShares (DE) I - iShares STOXX Europe 600 Utilities UCITS ETF (DE)"
"ISPA.F",0.024,0.076,1,-0.007,-0.003,-0.002,0,0,0.002,0.004,0.006,0.01,"ISPA.F","iShares (DE) I - iShares STOXX Global Select Dividend 100 UCITS ETF (DE)"
"EXH9.DE",0.009,0.027,1,-0.01,-0.005,-0.003,0,0.001,0.003,0.005,0.007,0.013,"EXH9.DE","iShares (DE) I - iShares STOXX Europe 600 Utilities UCITS ETF (DE)"
"EXV1.DE",0.012,0.037,1,-0.011,-0.006,-0.003,-0.001,0,0.003,0.005,0.007,0.014,"EXV1.DE","iShares (DE) I - iShares STOXX Europe 600 Banks UCITS ETF (DE)"
"EXSH.DE",0.032,0.102,1,-0.007,-0.004,-0.001,0,0.001,0.002,0.004,0.006,0.009,"EXSH.DE","iShares STOXX Europe Select Dividend 30 UCITS ETF (DE)"
"EXV1.F",0.013,0.042,1,-0.011,-0.007,-0.003,-0.001,0,0.003,0.005,0.008,0.015,"EXV1.F","iShares (DE) I - iShares STOXX Europe 600 Banks UCITS ETF (DE)"
"EXH1.F",0.007,0.025,1,-0.011,-0.004,-0.002,0,0.001,0.004,0.007,0.01,0.014,"EXH1.F","iShares (DE) I - iShares STOXX Europe 600 Oil & Gas UCITS ETF (DE)"
"EXSH.F",0.027,0.086,1,-0.008,-0.004,-0.002,0,0.001,0.002,0.004,0.006,0.009,"EXSH.F","iShares STOXX Europe Select Dividend 30 UCITS ETF (DE)"
"ISPA.DE",0.021,0.067,1,-0.007,-0.003,-0.002,-0.001,0,0.002,0.004,0.006,0.008,"ISPA.DE","iShares (DE) I - iShares STOXX Global Select Dividend 100 UCITS ETF (DE)"
"EXV2.F",0.007,0.026,1,-0.011,-0.005,-0.003,-0.001,0,0.002,0.005,0.007,0.014,"EXV2.F","iShares (DE) I - iShares STOXX Europe 600 Telecommunications UCITS ETF (DE)"
"^GDAXI",0.033,0.1,2,-0.012,-0.004,-0.002,0,0.001,0.003,0.005,0.008,0.014,"-","-"
"^FCHI",0.042,0.126,2,-0.007,-0.004,-0.002,0,0,0.003,0.004,0.007,0.011,"-","-"
"^N100",0.049,0.146,2,-0.007,-0.004,-0.002,0,0.001,0.003,0.004,0.006,0.01,"-","-"
"^CXKCX",0.019,0.056,2,-0.013,-0.006,-0.003,-0.001,0,0.004,0.006,0.01,0.015,"-","-"
"EXV6.DE",0.007,0.021,2,-0.016,-0.007,-0.003,0,0.001,0.006,0.009,0.013,0.019,"EXV6.DE","iShares (DE) I - iShares STOXX Europe 600 Basic Resources UCITS ETF (DE)"
"EXV7.F",0.026,0.08,2,-0.011,-0.004,-0.002,0,0.001,0.003,0.005,0.008,0.013,"EXV7.F","iShares (DE) I - iShares STOXX Europe 600 Chemicals UCITS ETF (DE)"
"EXV5.F",0.009,0.031,2,-0.013,-0.005,-0.003,-0.001,0,0.003,0.006,0.01,0.016,"EXV5.F","iShares (DE) I - iShares STOXX Europe 600 Automobiles & Parts UCITS ETF (DE)"
"EXSD.DE",0.033,0.101,2,-0.009,-0.004,-0.001,0,0.001,0.003,0.004,0.007,0.01,"EXSD.DE","iShares STOXX Europe Mid 200 UCITS ETF (DE)"
"EXSA.DE",0.068,0.205,2,-0.008,-0.003,-0.002,0,0.001,0.002,0.004,0.007,0.01,"EXSA.DE","iShares STOXX Europe 600 UCITS ETF (DE)"
"EXSE.DE",0.027,0.085,2,-0.008,-0.004,-0.002,0,0,0.003,0.005,0.007,0.011,"EXSE.DE","iShares STOXX Europe Small 200 UCITS ETF (DE)"
"EXV6.F",0.007,0.022,2,-0.018,-0.007,-0.004,0,0.001,0.005,0.009,0.013,0.019,"EXV6.F","iShares (DE) I - iShares STOXX Europe 600 Basic Resources UCITS ETF (DE)"
"EXSC.DE",0.039,0.12,2,-0.007,-0.003,-0.001,0,0,0.002,0.004,0.006,0.01,"EXSC.DE","iShares STOXX Europe Large 200 UCITS ETF (DE)"
"^SSMI",0.008,0.023,3,-0.009,-0.004,-0.002,-0.001,0,0.002,0.004,0.007,0.013,"-","-"
"^STOXX",0.01,0.026,3,-0.007,-0.003,-0.001,-0.001,0,0.002,0.004,0.006,0.01,"-","-"
"^STOXX50E",0.01,0.025,3,-0.008,-0.004,-0.002,-0.001,0,0.002,0.005,0.006,0.011,"-","-"
"EXH6.F",0.008,0.027,4,-0.009,-0.004,-0.002,0,0.001,0.003,0.005,0.007,0.012,"EXH6.F","iShares (DE) I - iShares STOXX Europe 600 Media UCITS ETF (DE)"
"EXH8.F",0.007,0.025,4,-0.009,-0.004,-0.002,0,0.001,0.003,0.005,0.008,0.012,"EXH8.F","iShares (DE) I - iShares STOXX Europe 600 Retail UCITS ETF (DE)"
"EXV8.F",0.027,0.088,4,-0.01,-0.005,-0.002,-0.001,0,0.003,0.005,0.008,0.012,"EXV8.F","iShares (DE) I - iShares STOXX Europe 600 Construction & Materials UCITS ETF (DE)"
"EXSD.F",0.054,0.162,4,-0.008,-0.003,-0.001,0,0.001,0.003,0.004,0.006,0.01,"EXSD.F","iShares STOXX Europe Mid 200 UCITS ETF (DE)"
"EXV9.F",0.008,0.029,4,-0.01,-0.004,-0.002,0,0.001,0.003,0.004,0.007,0.012,"EXV9.F","iShares (DE) I - iShares STOXX Europe 600 Travel & Leisure UCITS ETF (DE)"
"EXSE.F",0.047,0.141,4,-0.009,-0.004,-0.001,0,0.001,0.003,0.005,0.007,0.01,"EXSE.F","iShares STOXX Europe Small 200 UCITS ETF (DE)"
"EXH3.F",0.008,0.028,4,-0.01,-0.004,-0.002,0,0,0.003,0.004,0.007,0.011,"EXH3.F","iShares (DE) I - iShares STOXX Europe 600 Food & Beverage UCITS ETF (DE)"
"EXSC.F",0.063,0.19,4,-0.009,-0.004,-0.002,0,0.001,0.003,0.004,0.006,0.011,"EXSC.F","iShares STOXX Europe Large 200 UCITS ETF (DE)"
"EXSA.F",0.07,0.212,4,-0.008,-0.003,-0.002,0,0.001,0.003,0.004,0.006,0.01,"EXSA.F","iShares STOXX Europe 600 UCITS ETF (DE)"
"EXV3.F",0.012,0.042,4,-0.012,-0.004,-0.003,0,0.001,0.004,0.007,0.01,0.015,"EXV3.F","iShares (DE) I - iShares STOXX Europe 600 Technology UCITS ETF (DE)"
"EXH7.F",0.01,0.035,4,-0.01,-0.005,-0.003,0,0.001,0.003,0.005,0.008,0.013,"EXH7.F","iShares (DE) I - iShares STOXX Europe 600 Personal & Household Goods UCITS ETF (DE)"
"EXH2.F",0.025,0.083,4,-0.01,-0.005,-0.002,0,0.001,0.004,0.005,0.007,0.012,"EXH2.F","iShares (DE) I - iShares STOXX Europe 600 Financial Services UCITS ETF (DE)"
"EXV4.F",0.015,0.051,4,-0.009,-0.004,-0.002,0,0,0.003,0.005,0.007,0.012,"EXV4.F","iShares (DE) I - iShares STOXX Europe 600 Health Care UCITS ETF (DE)"
"EXH4.F",0.05,0.154,4,-0.009,-0.004,-0.002,0,0.001,0.003,0.005,0.008,0.012,"EXH4.F","iShares (DE) I - iShares STOXX Europe 600 Industrial Goods & Services UCITS ETF (DE)"
"SXEPEX.SW",0.003,0.011,5,-0.007,0,0,0,0,0,0.001,0.007,0.015,"SXEPEX.SW","iShares (DE) I - iShares STOXX Europe 600 Oil & Gas UCITS ETF (DE)"
"SXIPEX.SW",0.002,0.009,5,-0.002,0,0,0,0,0,0,0,0.007,"SXIPEX.SW","iShares (DE) I - iShares STOXX Europe 600 Insurance UCITS ETF (DE)"
"EXSAN.MX",0.001,0.003,5,0,0,0,0,0,0,0,0,0,"EXSAN.MX","iShares STOXX Europe 600 UCITS ETF (DE)"
"SX7PEX.SW",0.004,0.013,5,-0.012,-0.002,0,0,0,0,0,0.005,0.017,"SX7PEX.SW","iShares (DE) I - iShares STOXX Europe 600 Banks UCITS ETF (DE)"
"SX8PEX.SW",0.002,0.007,5,-0.006,0,0,0,0,0,0,0.002,0.015,"SX8PEX.SW","iShares (DE) I - iShares STOXX Europe 600 Technology UCITS ETF (DE)"
"^SPEUP",0.005,0.018,6,-0.007,-0.003,-0.002,0,0.001,0.003,0.004,0.007,0.01,"-","-"
"SXDPEX.SW",0.002,0.006,6,0,0,0,0,0,0,0,0,0.015,"SXDPEX.SW","iShares (DE) I - iShares STOXX Europe 600 Health Care UCITS ETF (DE)"
