"","so","mem","Q%10","Q%25","Q%35","Q%45","Q%50","Q%65","Q%75","Q%85","Q%95"
"ADS.DE",0.008,1,-0.026,-0.012,-0.008,-0.003,0,0.008,0.014,0.021,0.035
"TKA.DE",0.009,1,-0.027,-0.016,-0.007,-0.002,0,0.007,0.013,0.021,0.029
"RWE.DE",0.011,1,-0.031,-0.015,-0.009,0,0.004,0.014,0.022,0.029,0.044
"DPW.DE",0.015,1,-0.023,-0.009,-0.003,0.001,0.002,0.009,0.017,0.025,0.039
"EOAN.DE",0.012,1,-0.03,-0.015,-0.009,-0.003,0,0.01,0.014,0.022,0.036
"VNA.DE",0.01,1,-0.024,-0.005,0,0.004,0.005,0.011,0.017,0.021,0.035
"DB1.DE",0.007,1,-0.019,-0.006,0,0.004,0.005,0.013,0.017,0.022,0.032
"LHA.DE",0.011,1,-0.019,-0.01,-0.003,0.006,0.01,0.018,0.023,0.028,0.042
"DTE.DE",0.012,1,-0.035,-0.02,-0.015,-0.012,-0.009,-0.001,0.007,0.016,0.03
"GIVN.VX",0.018,1,-0.018,-0.007,-0.002,0.001,0.004,0.01,0.014,0.021,0.035
"ABBN.VX",0.025,1,-0.027,-0.013,-0.006,-0.001,0.002,0.012,0.018,0.026,0.039
"SGSN.VX",0.016,1,-0.024,-0.01,-0.002,0.004,0.008,0.015,0.02,0.028,0.042
"BWO.VI",0.007,1,-0.015,-0.006,-0.002,0,0.002,0.006,0.009,0.015,0.027
"TKA.VI",0.01,1,-0.024,-0.012,-0.007,-0.003,0,0.008,0.012,0.019,0.038
"POST.VI",0.009,1,-0.023,-0.011,-0.005,0.001,0.004,0.01,0.015,0.022,0.032
"SPI.VI",0.01,1,-0.016,-0.005,-0.001,0.002,0.004,0.011,0.016,0.022,0.03
"LNZ.VI",0.007,1,-0.024,-0.014,-0.011,-0.008,-0.005,0,0.005,0.013,0.021
"IIA.VI",0.011,1,-0.026,-0.016,-0.012,-0.006,-0.002,0.007,0.014,0.023,0.033
"SBO.VI",0.012,1,-0.031,-0.006,0,0.005,0.008,0.015,0.021,0.029,0.042
"ANDR.VI",0.008,1,-0.027,-0.016,-0.01,-0.005,-0.003,0.005,0.01,0.016,0.026
"RBI.VI",0.007,1,-0.014,-0.008,-0.002,0.002,0.005,0.01,0.013,0.02,0.029
"VER.VI",0.008,1,-0.012,-0.002,0.003,0.008,0.011,0.018,0.022,0.026,0.034
"CAI.VI",0.01,1,-0.012,-0.002,0.003,0.007,0.009,0.013,0.019,0.027,0.034
"WIE.VI",0.014,1,-0.023,-0.012,-0.006,0.001,0.003,0.011,0.017,0.03,0.047
"ATS.VI",0.01,1,-0.015,-0.006,-0.001,0.002,0.004,0.014,0.019,0.028,0.039
"MUV2.DE",0.013,2,-0.022,-0.011,-0.005,0,0.003,0.01,0.017,0.025,0.042
"ALV.DE",0.02,2,-0.019,-0.01,-0.005,0.001,0.004,0.015,0.022,0.03,0.047
"PSM.DE",0.011,2,-0.029,-0.018,-0.012,-0.003,0,0.011,0.017,0.025,0.036
"CBK.DE",0.014,2,-0.024,-0.009,-0.006,-0.001,0.001,0.009,0.015,0.02,0.032
"DBK.DE",0.014,2,-0.034,-0.019,-0.013,-0.009,-0.006,0.004,0.01,0.016,0.033
"SIK.VX",0.013,2,-0.016,-0.006,0,0.005,0.007,0.015,0.019,0.026,0.036
"UHR.VX",0.013,2,-0.02,-0.009,-0.003,0.002,0.004,0.013,0.021,0.033,0.047
"LONN.VX",0.01,2,-0.017,-0.006,0.001,0.004,0.007,0.013,0.019,0.024,0.035
"CFR.VX",0.013,2,-0.018,-0.008,-0.004,0.002,0.004,0.012,0.018,0.026,0.043
"ADEN.VX",0.022,3,-0.03,-0.015,-0.01,-0.006,-0.004,0.006,0.012,0.02,0.04
"NESN.VX",0.01,3,-0.021,-0.012,-0.008,-0.004,-0.002,0.003,0.006,0.011,0.019
"SLHN.VX",0.018,3,-0.02,-0.009,-0.005,0,0.003,0.01,0.02,0.031,0.045
"ROG.VX",0.012,3,-0.032,-0.022,-0.014,-0.006,-0.003,0.004,0.01,0.017,0.026
"SREN.VX",0.014,3,-0.022,-0.012,-0.006,-0.001,0.001,0.007,0.014,0.019,0.039
"ZURN.VX",0.016,3,-0.023,-0.011,-0.006,0,0.002,0.008,0.014,0.024,0.04
"BAER.VX",0.018,3,-0.016,-0.008,-0.004,0.002,0.005,0.014,0.019,0.032,0.048
"SCMN.VX",0.012,3,-0.02,-0.009,-0.005,0.001,0.003,0.009,0.014,0.022,0.034
"GEBN.VX",0.015,3,-0.026,-0.014,-0.006,0.001,0.004,0.01,0.016,0.022,0.031
"NOVN.VX",0.011,3,-0.018,-0.009,-0.005,-0.001,0,0.006,0.01,0.016,0.024
"UBSG.VX",0.019,3,-0.023,-0.013,-0.008,-0.001,0.002,0.013,0.018,0.026,0.037
