"","so","mem"
"ILMN",0.013,1
"JAZZ",0.02,1
"TECH",0.011,1
"CBPO",0.009,1
"XON",0.015,1
"INSM",0.014,1
"RGEN",0.013,1
"EPZM",0.016,1
"ITCI",0.016,1
"IMGN",0.011,1
"PACB",0.013,1
"INO",0.017,1
"BCRX",0.012,1
"PGNX",0.023,1
"ALNY",0.013,2
"EXEL",0.011,2
"SGEN",0.015,2
"TSRO",0.013,2
"BLUE",0.012,2
"ACAD",0.015,2
"PBYI",0.012,2
"CLVS",0.017,2
"OPK",0.012,2
"PTLA",0.013,2
"NKTR",0.014,2
"PRTA",0.016,2
"HALO",0.016,2
"EBS",0.013,2
"GBT",0.01,2
"SGMO",0.019,2
"ACOR",0.011,2
"FPRX",0.012,2
"ARNA",0.009,2
"ENTA",0.011,2
"PTCT",0.015,2
"CYTK",0.018,2
"MGNX",0.011,2
"SVA",0.01,2
"ABUS",0.012,2
"CCXI",0.013,2
"CDXS",0.019,2
"QURE",0.01,2
"AMGN",0.03,3
"CELG",0.017,3
"GILD",0.025,3
"BIIB",0.016,3
"REGN",0.017,3
"VRTX",0.019,3
"ALXN",0.018,3
"INCY",0.016,3
"BMRN",0.021,3
"AGIO",0.017,3
"SRPT",0.016,3
"ICPT",0.013,3
"RARE",0.02,3
"CBM",0.017,3
"LXRX",0.018,3
"SPPI",0.014,3
"ANIK",0.013,3
"^NBI",0.049,3
"^BTK",0.042,3
"^DRG",0.027,3
