"","so","mem"
"CHTR",0.006,1
"CMCSA",0.005,1
"COST",0.006,1
"DISCA",0.008,1
"DISCK",0.008,1
"DISH",0.004,1
"DLTR",0.005,1
"FOX",0.006,1
"FOXA",0.006,1
"HAS",0.005,1
"HSIC",0.005,1
"MAT",0.005,1
"ROST",0.008,1
"TSCO",0.007,1
"TMUS",0.004,1
"ULTA",0.005,1
"VIAB",0.006,1
"VOD",0.005,1
"ORLY",0.007,1
"NKE",0.004,1
"VZ",0.006,1
"HD",0.006,1
"DIS",0.006,1
"WMT",0.007,1
"ADP",0.007,2
"AKAM",0.005,2
"ALXN",0.006,2
"AMGN",0.009,2
"BIIB",0.006,2
"BMRN",0.006,2
"CA",0.006,2
"CELG",0.006,2
"CERN",0.006,2
"CHKP",0.006,2
"CTAS",0.008,2
"CSCO",0.007,2
"EBAY",0.005,2
"ESRX",0.007,2
"FISV",0.008,2
"GILD",0.007,2
"HOLX",0.006,2
"MAR",0.009,2
"MDLZ",0.004,2
"MNST",0.005,2
"MYL",0.007,2
"NCLH",0.005,2
"NTES",0.004,2
"PAYX",0.006,2
"REGN",0.005,2
"SHPG",0.005,2
"SYMC",0.005,2
"WBA",0.006,2
"XRAY",0.005,2
"TSLA",0.004,2
"VRSK",0.006,2
"WYNN",0.004,2
"MRK",0.006,2
"PFE",0.006,2
"UNH",0.005,2
"PG",0.005,2
"MCD",0.004,2
"KO",0.005,2
"^GSPC",0.016,2
"^RUT",0.011,2
"LBTYK",0.006,3
"LBTYA",0.006,3
"AAL",0.006,4
"CSX",0.006,4
"FAST",0.006,4
"JBHT",0.005,4
"PCAR",0.009,4
"IBM",0.008,4
"TRV",0.007,4
"MMM",0.007,4
"CVX",0.007,4
"XOM",0.009,4
"UTX",0.008,4
"AXP",0.006,4
"GS",0.008,4
"JNJ",0.006,4
"JPM",0.011,4
"GE",0.005,4
"BA",0.008,4
"CAT",0.01,4
"C",0.01,4
"BAC",0.011,4
"AIG",0.007,4
"MS",0.011,4
"^DJI",0.014,4
"^NYA",0.016,4
"^XAX",0.007,4
"AAPL",0.007,5
"ADBE",0.012,5
"ADI",0.011,5
"ADSK",0.01,5
"ALGN",0.007,5
"AMAT",0.013,5
"AMZN",0.01,5
"ATVI",0.006,5
"AVGO",0.005,5
"BIDU",0.007,5
"CTRP",0.006,5
"CTXS",0.008,5
"CTSH",0.009,5
"EA",0.006,5
"EXPE",0.004,5
"FB",0.006,5
"GOOG",0.014,5
"GOOGL",0.014,5
"ILMN",0.005,5
"INCY",0.006,5
"INTC",0.006,5
"INTU",0.007,5
"ISRG",0.005,5
"JD",0.006,5
"KLAC",0.011,5
"MELI",0.006,5
"MSFT",0.014,5
"MU",0.007,5
"MXIM",0.011,5
"NFLX",0.009,5
"NVDA",0.01,5
"QCOM",0.005,5
"SIRI",0.005,5
"SWKS",0.01,5
"SBUX",0.004,5
"TXN",0.014,5
"VRTX",0.007,5
"WDC",0.006,5
"IDXX",0.008,5
"LRCX",0.012,5
"MCHP",0.012,5
"STX",0.006,5
"XLNX",0.009,5
"^IXIC",0.019,5
"SPLK",0.007,5
"V",0.008,5
