"","StationaryDistribution","Membership","QuantileSR%10","QuantileSR%25","QuantileSR%35","QuantileSR%45","QuantileSR%50","QuantileSR%65","QuantileSR%75","QuantileSR%85","QuantileSR%95"
"PIKK.ME",0.004,1,-0.015,-0.009,-0.005,-0.002,0.001,0.009,0.015,0.019,0.028
"IRAO.ME",0.004,1,-0.018,-0.008,-0.003,0,0.001,0.005,0.008,0.014,0.023
"MSFT",0.007,1,-0.01,-0.004,0.002,0.006,0.009,0.017,0.021,0.028,0.047
"AAPL",0.006,1,-0.02,-0.006,-0.003,0.002,0.004,0.014,0.02,0.029,0.047
"V",0.006,1,-0.008,0,0.006,0.01,0.012,0.017,0.022,0.036,0.053
"INTC",0.007,1,-0.024,-0.009,-0.001,0.007,0.01,0.019,0.025,0.032,0.043
"ADS.DE",0.004,1,-0.026,-0.013,-0.008,-0.004,0,0.008,0.014,0.021,0.035
"TKA.DE",0.005,1,-0.027,-0.016,-0.008,-0.002,0,0.008,0.014,0.021,0.029
"LR.PA",0.008,1,-0.021,-0.009,-0.004,0.002,0.005,0.014,0.018,0.026,0.038
"ANTO.L",0.006,1,-0.027,-0.009,-0.003,0.001,0.004,0.014,0.023,0.036,0.049
"CCH.L",0.005,1,-0.027,-0.014,-0.005,0.002,0.005,0.01,0.015,0.023,0.037
"AHT.L",0.008,1,-0.014,-0.006,-0.001,0.004,0.008,0.017,0.022,0.028,0.047
"SDR.L",0.009,1,-0.022,-0.01,-0.006,0.001,0.004,0.013,0.023,0.031,0.039
"BATS.L",0.005,1,-0.028,-0.016,-0.011,-0.008,-0.006,0.001,0.005,0.012,0.025
"CCL.L",0.005,1,-0.017,-0.01,-0.006,-0.002,0,0.006,0.01,0.017,0.034
"GFS.L",0.006,1,-0.029,-0.015,-0.008,-0.002,0,0.007,0.012,0.018,0.029
"NMC.L",0.005,1,-0.016,-0.006,-0.001,0.003,0.005,0.012,0.018,0.027,0.036
"SMIN.L",0.007,1,-0.023,-0.009,-0.005,-0.001,0.001,0.01,0.022,0.03,0.04
"PRU.L",0.007,1,-0.019,-0.01,-0.004,0.001,0.004,0.012,0.016,0.022,0.028
"SMT.L",0.005,1,-0.016,-0.003,0.001,0.005,0.007,0.013,0.017,0.022,0.034
"DLG.L",0.005,1,-0.023,-0.011,-0.007,-0.003,-0.001,0.008,0.013,0.022,0.037
"EXPN.L",0.006,1,-0.019,-0.01,-0.004,0.001,0.004,0.013,0.018,0.024,0.044
"RTO.L",0.007,1,-0.022,-0.011,-0.004,0.003,0.007,0.016,0.024,0.031,0.061
"STJ.L",0.007,1,-0.022,-0.013,-0.006,-0.001,0.002,0.008,0.014,0.021,0.046
"CPG.L",0.005,1,-0.03,-0.013,-0.008,-0.002,0,0.005,0.01,0.018,0.032
"^FTSE",0.01,1,-0.021,-0.013,-0.008,-0.003,0.001,0.009,0.019,0.031,0.043
"NLMK.ME",0.005,2,-0.013,-0.005,0.001,0.005,0.006,0.01,0.015,0.023,0.052
"PLZL.ME",0.005,2,-0.022,-0.015,-0.008,-0.004,-0.001,0.013,0.018,0.026,0.037
"MTSS.ME",0.005,2,-0.021,-0.009,-0.005,0,0.002,0.012,0.019,0.026,0.038
"AFLT.ME",0.005,2,-0.035,-0.019,-0.014,-0.009,-0.006,0.002,0.009,0.017,0.03
"FEES.ME",0.005,2,-0.02,-0.009,-0.002,0.001,0.003,0.008,0.011,0.016,0.027
"NMTP.ME",0.006,2,-0.027,-0.017,-0.009,-0.005,-0.002,0.007,0.012,0.021,0.033
"ALRS.ME",0.006,2,-0.023,-0.013,-0.006,0,0.002,0.01,0.016,0.023,0.041
"GMKN.ME",0.005,2,-0.014,-0.006,-0.002,0.002,0.005,0.015,0.022,0.03,0.038
"NVTK.ME",0.006,2,-0.014,-0.003,0,0.002,0.004,0.009,0.014,0.021,0.04
"PSM.DE",0.006,2,-0.031,-0.019,-0.012,-0.003,0,0.011,0.017,0.025,0.036
"DB1.DE",0.004,2,-0.019,-0.006,0,0.004,0.005,0.013,0.017,0.022,0.032
"CA.PA",0.005,2,-0.033,-0.021,-0.016,-0.011,-0.009,0.001,0.006,0.015,0.031
"SKY.L",0.005,2,-0.024,-0.012,-0.007,-0.002,0,0.01,0.017,0.023,0.037
"PPB.L",0.006,2,-0.033,-0.02,-0.012,-0.005,-0.001,0.008,0.017,0.028,0.051
"MVID.ME",0.004,3,-0.024,-0.008,-0.004,0,0.002,0.008,0.011,0.017,0.03
"POLY.ME",0.006,3,-0.025,-0.016,-0.01,-0.006,-0.004,0.004,0.01,0.015,0.029
"RWE.DE",0.006,3,-0.032,-0.015,-0.009,0,0.003,0.012,0.02,0.028,0.044
"EOAN.DE",0.006,3,-0.03,-0.015,-0.01,-0.004,-0.001,0.008,0.014,0.019,0.033
"VNA.DE",0.005,3,-0.024,-0.005,0,0.004,0.005,0.011,0.016,0.02,0.035
"DTE.DE",0.006,3,-0.031,-0.02,-0.015,-0.011,-0.007,-0.001,0.008,0.017,0.03
"FP.PA",0.009,3,-0.019,-0.009,-0.005,0.001,0.004,0.016,0.026,0.032,0.044
"ENGI.PA",0.008,3,-0.033,-0.013,-0.005,0.001,0.004,0.009,0.015,0.021,0.038
"VIE.PA",0.006,3,-0.018,-0.008,-0.004,-0.001,0.002,0.011,0.017,0.024,0.035
"ORA.PA",0.006,3,-0.024,-0.011,-0.007,-0.003,-0.002,0.006,0.012,0.024,0.042
"RDSA.L",0.005,3,-0.021,-0.01,-0.004,0,0.003,0.01,0.019,0.027,0.054
"CNA.L",0.005,3,-0.029,-0.017,-0.014,-0.01,-0.009,0.002,0.009,0.018,0.033
"SSE.L",0.006,3,-0.02,-0.013,-0.01,-0.006,-0.003,0.006,0.01,0.019,0.033
"VOD.L",0.005,3,-0.024,-0.016,-0.012,-0.006,-0.002,0.006,0.012,0.019,0.033
"TRNFP.ME",0.004,4,-0.013,-0.006,-0.003,-0.001,0,0.005,0.009,0.014,0.024
"^DJI",0.012,4,-0.011,-0.002,0.003,0.01,0.014,0.025,0.03,0.038,0.055
"MRK",0.006,4,-0.029,-0.018,-0.012,-0.002,0.002,0.009,0.014,0.023,0.034
"DIS",0.005,4,-0.019,-0.011,-0.005,-0.002,0,0.005,0.01,0.015,0.029
"NKE",0.005,4,-0.019,-0.005,0,0.006,0.008,0.015,0.018,0.026,0.037
"JNJ",0.006,4,-0.023,-0.014,-0.008,-0.004,-0.001,0.004,0.011,0.019,0.042
"HD",0.006,4,-0.015,-0.009,-0.003,0.004,0.008,0.018,0.028,0.036,0.055
"KO",0.005,4,-0.023,-0.012,-0.008,-0.002,0,0.009,0.014,0.022,0.043
"MMM",0.008,4,-0.02,-0.013,-0.007,0,0.003,0.015,0.022,0.029,0.042
"GE",0.005,4,-0.033,-0.022,-0.018,-0.014,-0.013,-0.006,-0.001,0.009,0.025
"VZ",0.005,4,-0.026,-0.016,-0.009,-0.005,-0.001,0.007,0.014,0.023,0.038
"UTX",0.008,4,-0.019,-0.012,-0.005,0.003,0.005,0.014,0.021,0.029,0.048
"TRV",0.007,4,-0.018,-0.011,-0.006,-0.003,0,0.008,0.017,0.026,0.046
"IBM",0.007,4,-0.025,-0.013,-0.007,-0.002,0.001,0.008,0.013,0.018,0.035
