"","so","mem","Q%10","Q%25","Q%35","Q%45","Q%50","Q%65","Q%75","Q%85","Q%95"
"CVX",0.008,1,-0.02,-0.007,-0.001,0.005,0.009,0.018,0.024,0.031,0.04
"INTC",0.007,1,-0.024,-0.01,-0.002,0.007,0.01,0.019,0.025,0.032,0.043
"MCD",0.004,1,-0.014,-0.006,-0.001,0.003,0.005,0.011,0.015,0.02,0.033
"GE",0.005,1,-0.033,-0.021,-0.018,-0.014,-0.012,-0.005,0,0.01,0.025
"ORLY",0.007,1,-0.023,-0.013,-0.007,-0.001,0.002,0.012,0.019,0.024,0.035
"TD",0.008,1,-0.019,-0.007,0,0.007,0.01,0.019,0.025,0.031,0.052
"RY",0.012,1,-0.019,-0.009,-0.004,0.001,0.004,0.016,0.023,0.029,0.042
"CM",0.008,1,-0.018,-0.009,-0.003,0.001,0.004,0.012,0.018,0.027,0.043
"BNS",0.007,1,-0.02,-0.007,0,0.006,0.008,0.013,0.019,0.023,0.031
"ENB.TO",0.006,1,-0.032,-0.018,-0.013,-0.007,-0.004,0.004,0.009,0.016,0.038
"MOZ.TO",0.004,1,-0.021,-0.01,-0.007,-0.004,-0.002,0.001,0.005,0.011,0.026
"ESN.TO",0.006,1,-0.024,-0.014,-0.01,-0.006,-0.005,0,0.005,0.013,0.023
"AC.TO",0.004,1,-0.024,-0.014,-0.006,-0.001,0.003,0.011,0.017,0.024,0.034
"^GSPTSE",0.011,1,-0.018,-0.006,-0.002,0.003,0.005,0.012,0.023,0.032,0.056
"BMO.TO",0.011,1,-0.021,-0.011,-0.004,0.006,0.01,0.02,0.031,0.046,0.066
"BNS.TO",0.007,1,-0.023,-0.012,-0.007,-0.001,0.002,0.012,0.023,0.032,0.049
"CM.TO",0.009,1,-0.023,-0.013,-0.003,0.003,0.007,0.015,0.02,0.031,0.059
"RY.TO",0.012,1,-0.022,-0.011,-0.005,0.002,0.004,0.011,0.018,0.036,0.064
"TD.TO",0.009,1,-0.021,-0.009,0.001,0.006,0.009,0.019,0.028,0.043,0.063
"NA.TO",0.009,1,-0.021,-0.006,0.001,0.007,0.01,0.02,0.027,0.037,0.05
"^XAX",0.01,1,-0.024,-0.011,-0.007,-0.002,0.002,0.012,0.019,0.027,0.043
"MRK",0.007,2,-0.029,-0.018,-0.013,-0.003,0,0.009,0.014,0.022,0.034
"CSCO",0.006,2,-0.015,-0.004,0.001,0.006,0.01,0.017,0.02,0.026,0.04
"PG",0.005,2,-0.027,-0.016,-0.007,-0.001,0.002,0.011,0.016,0.021,0.031
"KO",0.005,2,-0.023,-0.012,-0.008,-0.002,-0.001,0.008,0.014,0.022,0.043
"VZ",0.005,2,-0.026,-0.016,-0.009,-0.004,-0.001,0.007,0.015,0.023,0.038
"PFE",0.006,2,-0.019,-0.007,-0.001,0.005,0.006,0.012,0.018,0.023,0.034
"WMT",0.006,2,-0.018,-0.012,-0.006,-0.001,0.002,0.009,0.015,0.025,0.047
"UNH",0.005,2,-0.013,-0.002,0.004,0.007,0.009,0.014,0.018,0.023,0.034
"AMGN",0.009,2,-0.022,-0.012,-0.005,-0.001,0.004,0.016,0.021,0.03,0.042
"BIDU",0.007,2,-0.025,-0.012,-0.001,0.005,0.009,0.017,0.022,0.029,0.038
"EBAY",0.005,2,-0.022,-0.011,-0.006,-0.001,0.001,0.007,0.013,0.023,0.038
"ESRX",0.006,2,-0.028,-0.01,-0.004,0.002,0.005,0.014,0.022,0.031,0.045
"EXPE",0.004,2,-0.021,-0.008,-0.002,0.002,0.004,0.009,0.015,0.021,0.03
"FISV",0.007,2,-0.013,-0.005,-0.001,0.003,0.005,0.012,0.018,0.029,0.042
"GILD",0.008,2,-0.024,-0.012,-0.007,-0.003,-0.001,0.006,0.02,0.029,0.041
"ILMN",0.005,2,-0.019,-0.005,0.001,0.003,0.006,0.013,0.021,0.03,0.039
"INCY",0.006,2,-0.028,-0.017,-0.012,-0.008,-0.006,0.001,0.008,0.015,0.026
"VRTX",0.007,2,-0.024,-0.012,-0.006,-0.002,0.001,0.011,0.017,0.022,0.03
"MCHP",0.009,2,-0.018,-0.01,-0.004,0.004,0.007,0.017,0.025,0.033,0.054
"STX",0.006,2,-0.016,-0.009,-0.004,0.001,0.004,0.011,0.018,0.028,0.045
"TSLA",0.004,2,-0.024,-0.014,-0.009,-0.004,-0.001,0.009,0.013,0.019,0.027
"QCOM",0.006,2,-0.022,-0.013,-0.009,-0.005,-0.003,0.007,0.011,0.021,0.033
"REGN",0.006,2,-0.03,-0.016,-0.013,-0.008,-0.006,0.002,0.009,0.016,0.025
"SIRI",0.006,2,-0.016,-0.005,0.001,0.005,0.007,0.014,0.019,0.026,0.041
"SBUX",0.005,2,-0.027,-0.012,-0.008,-0.003,-0.001,0.007,0.014,0.019,0.034
"SYMC",0.005,2,-0.026,-0.014,-0.009,-0.005,-0.002,0.005,0.012,0.027,0.038
"TXN",0.013,2,-0.013,-0.005,0,0.005,0.01,0.022,0.029,0.036,0.049
"TMUS",0.004,2,-0.025,-0.016,-0.01,-0.002,0,0.007,0.012,0.016,0.031
"VIAB",0.005,2,-0.026,-0.015,-0.011,-0.006,-0.003,0.002,0.008,0.017,0.036
"BBD-B.TO",0.004,2,-0.021,-0.01,-0.003,0.004,0.006,0.015,0.02,0.03,0.039
"ELD.TO",0.005,2,-0.031,-0.02,-0.013,-0.009,-0.005,0.003,0.008,0.015,0.028
"LUN.TO",0.007,2,-0.017,-0.009,-0.005,0,0.002,0.011,0.015,0.023,0.038
"FM.TO",0.006,2,-0.017,-0.01,-0.003,0.001,0.003,0.015,0.023,0.029,0.04
"AKG.TO",0.006,2,-0.041,-0.019,-0.011,-0.004,-0.001,0.008,0.013,0.027,0.039
"HBM.TO",0.007,2,-0.025,-0.012,-0.004,-0.001,0,0.009,0.015,0.022,0.036
"YRI.TO",0.006,2,-0.022,-0.011,-0.007,-0.002,0,0.007,0.012,0.017,0.028
"K.TO",0.005,2,-0.028,-0.012,-0.009,-0.005,-0.003,0.006,0.011,0.017,0.029
