"","so","mem","Q%10","Q%25","Q%35","Q%45","Q%50","Q%65","Q%75","Q%85","Q%95"
"5225.KL",0.006,1,-0.018,-0.007,-0.004,0,0.001,0.005,0.009,0.016,0.033
"6888.KL",0.009,1,-0.022,-0.011,-0.004,0,0.003,0.011,0.019,0.028,0.052
"5183.KL",0.006,1,-0.014,-0.009,-0.003,0.001,0.006,0.012,0.016,0.023,0.032
"5246.KL",0.006,1,-0.02,-0.011,-0.009,-0.006,-0.004,0.001,0.006,0.01,0.017
"6012.KL",0.008,1,-0.024,-0.012,-0.006,-0.002,0,0.007,0.014,0.024,0.06
"5235SS.KL",0.004,1,-0.018,-0.005,-0.002,0,0,0.001,0.004,0.009,0.02
"6399.KL",0.006,1,-0.03,-0.016,-0.012,-0.006,-0.002,0.003,0.007,0.011,0.023
"^KLSE",0.007,1,-0.027,-0.015,-0.009,-0.005,-0.002,0.008,0.015,0.024,0.036
"T39.SI",0.006,1,-0.023,-0.014,-0.01,-0.006,-0.005,0.002,0.006,0.012,0.024
"S68.SI",0.013,1,-0.023,-0.011,-0.006,-0.001,0,0.006,0.014,0.021,0.031
"J37.SI",0.006,1,-0.021,-0.011,-0.007,-0.003,-0.002,0.003,0.007,0.011,0.017
"S63.SI",0.009,1,-0.028,-0.015,-0.01,-0.002,0,0.006,0.013,0.02,0.033
"S58.SI",0.008,1,-0.023,-0.012,-0.007,-0.004,0,0.006,0.01,0.016,0.026
"H78.SI",0.006,1,-0.023,-0.013,-0.007,-0.003,-0.001,0.006,0.01,0.016,0.024
"J36.SI",0.007,1,-0.019,-0.013,-0.008,-0.004,-0.002,0.004,0.009,0.015,0.024
"Z74.SI",0.01,1,-0.031,-0.017,-0.009,-0.003,0,0.005,0.011,0.022,0.03
"A17U.SI",0.009,1,-0.019,-0.01,-0.005,0,0,0.007,0.014,0.022,0.03
"F34.SI",0.008,1,-0.026,-0.014,-0.007,-0.003,0,0.006,0.013,0.021,0.028
"C61U.SI",0.007,1,-0.022,-0.01,-0.005,0,0.002,0.007,0.012,0.017,0.035
