"","so","mem","Q%10","Q%25","Q%35","Q%45","Q%50","Q%65","Q%75","Q%85","Q%95"
"IBN",0.005,1,-0.028,-0.018,-0.011,-0.005,-0.002,0.006,0.012,0.02,0.031
"BAP",0.004,1,-0.014,-0.004,-0.001,0.004,0.005,0.014,0.018,0.026,0.04
"BSAC",0.005,1,-0.019,-0.007,-0.002,0.003,0.004,0.013,0.019,0.026,0.041
"EGDW",0.004,1,-0.192,-0.023,-0.017,-0.009,0,0.017,0.017,0.019,0.051
"CBKM",0.003,1,-0.026,-0.015,-0.006,0.001,0.003,0.01,0.017,0.02,0.032
"GLE.PA",0.006,1,-0.033,-0.019,-0.011,-0.006,-0.003,0.006,0.011,0.017,0.031
"LLOY.L",0.006,1,-0.029,-0.018,-0.012,-0.007,-0.005,0.008,0.012,0.02,0.035
"DB",0.005,1,-0.03,-0.017,-0.012,-0.008,-0.006,0.002,0.009,0.018,0.039
"HSBC",0.007,1,-0.024,-0.01,-0.004,0.001,0.004,0.014,0.02,0.026,0.034
"ING",0.011,1,-0.031,-0.019,-0.012,-0.005,-0.001,0.007,0.017,0.031,0.043
"RBS",0.005,1,-0.026,-0.015,-0.007,0.001,0.003,0.011,0.018,0.028,0.039
"UBS",0.008,1,-0.027,-0.015,-0.01,-0.002,0.001,0.011,0.019,0.026,0.043
"WF",0.004,1,-0.02,-0.01,-0.005,0,0.002,0.009,0.015,0.025,0.039
"ZBK",0.003,1,-0.015,-0.008,-0.005,-0.001,0,0.004,0.007,0.013,0.023
"CS",0.008,1,-0.021,-0.01,-0.001,0.003,0.004,0.012,0.019,0.024,0.043
"DSEEY",0.006,1,-0.019,-0.012,-0.009,-0.006,-0.005,0.003,0.012,0.021,0.04
"MCILX",0.009,1,-0.018,-0.01,-0.004,0.004,0.005,0.016,0.02,0.031,0.055
"NMR",0.006,1,-0.025,-0.017,-0.012,-0.007,-0.005,0.003,0.009,0.014,0.028
"SCGLY",0.009,1,-0.025,-0.014,-0.009,-0.004,-0.003,0.006,0.013,0.022,0.03
"BNP.PA",0.007,1,-0.03,-0.02,-0.013,-0.005,-0.003,0.007,0.014,0.023,0.042
"BBVA",0.009,1,-0.021,-0.013,-0.009,-0.003,-0.001,0.005,0.011,0.018,0.035
