"","so","mem"
"^GSPTSE",0.016,1
"^XAX",0.015,1
"^FTSE",0.013,1
"^STOXX50E",0.016,1
"^N225",0.012,1
"^HSI",0.01,1
"^STI",0.013,1
"^AXJO",0.015,1
"^AORD",0.015,1
"^JKSE",0.008,1
"^KLSE",0.009,1
"^NZ50",0.01,1
"^KS11",0.009,1
"^TWII",0.007,1
"^BVSP",0.009,1
"^MXX",0.009,1
"^IPSA",0.017,1
"^MERV",0.012,1
"^ATX",0.01,1
"^OSEAX",0.012,1
"^SSMI",0.008,1
"^XAU",0.01,1
"^DJU",0.008,1
"^KFX",0.007,1
"^XU100",0.009,1
"^DJT",0.017,1
"^DJAT",0.016,1
"000001.SS",0.009,1
"^BUX",0.011,1
"MOEX.ME",0.008,1
"^GSPC",0.045,2
"^DJI",0.03,2
"^IXIC",0.023,2
"^NYA",0.039,2
"^RUT",0.025,2
"^XMI",0.031,2
"^OEX",0.039,2
"^MID",0.032,2
"^NBI",0.012,2
"^NWX",0.009,2
"^PSE",0.024,2
"^RUA",0.025,2
"^RUI",0.044,2
"^GDAXI",0.028,3
"^FCHI",0.032,3
"^N100",0.035,3
"^BFX",0.02,3
"^OMXSPI",0.019,3
"^AEX",0.028,3
"^SMSI",0.022,3
"^IBEX",0.022,3
"^OMX",0.022,3
"^BSESN",0.016,4
"^NSEI",0.017,4
"BSE-500.BO",0.019,4
