"","so","mem"
"PSM.DE",0.008,1
"CBK.DE",0.01,1
"DBK.DE",0.01,1
"ADEN.VX",0.016,1
"NESN.VX",0.007,1
"SLHN.VX",0.013,1
"ROG.VX",0.009,1
"SREN.VX",0.01,1
"ZURN.VX",0.012,1
"LHN.VX",0.009,1
"BAER.VX",0.014,1
"SCMN.VX",0.009,1
"GEBN.VX",0.011,1
"SIK.VX",0.01,1
"NOVN.VX",0.008,1
"UBSG.VX",0.013,1
"UHR.VX",0.009,1
"CSGN.VX",0.014,1
"LONN.VX",0.008,1
"CFR.VX",0.009,1
"^SSMI",0.015,1
"SIE.DE",0.023,2
"BEI.DE",0.009,2
"BAS.DE",0.024,2
"FRE.DE",0.009,2
"BAYN.DE",0.012,2
"RWE.DE",0.008,2
"LIN.DE",0.01,2
"VOW3.DE",0.011,2
"DAI.DE",0.02,2
"EOAN.DE",0.009,2
"VNA.DE",0.007,2
"HEI.DE",0.008,2
"CON.DE",0.014,2
"SAP.DE",0.013,2
"MRK.DE",0.011,2
"IFX.DE",0.012,2
"HEN3.DE",0.009,2
"FME.DE",0.012,2
"BMW.DE",0.015,2
"^GDAXI",0.033,2
"SWMA.ST",0.009,2
"AZN.ST",0.009,2
"ADS.DE",0.006,3
"TKA.DE",0.007,3
"DPW.DE",0.012,3
"LHA.DE",0.009,3
"GIVN.VX",0.012,3
"ABBN.VX",0.02,3
"SGSN.VX",0.012,3
"ABB.ST",0.023,3
"FING-B.ST",0.007,3
"MUV2.DE",0.011,4
"ALV.DE",0.016,4
"DTE.DE",0.009,4
"BOL.ST",0.008,4
"ERIC-B.ST",0.008,4
"SCA-B.ST",0.011,4
"TEL2-B.ST",0.008,4
"ELUX-B.ST",0.006,4
"ALFA.ST",0.02,4
"HM-B.ST",0.008,4
"SSAB-A.ST",0.01,4
"DB1.DE",0.006,5
"INVE-B.ST",0.02,5
"TELIA.ST",0.007,5
"KINV-B.ST",0.018,5
"SECU-B.ST",0.01,5
"ASSA-B.ST",0.009,5
"ALIV-SDB.ST",0.006,5
"SKA-B.ST",0.007,5
"^OMX",0.026,5
"SWED-A.ST",0.01,6
"SHB-A.ST",0.012,6
"SEB-A.ST",0.013,6
"NDA-SEK.ST",0.01,6
"GETI-B.ST",0.007,7
"ATCO-A.ST",0.023,7
"VOLV-B.ST",0.022,7
"ATCO-B.ST",0.021,7
"SKF-B.ST",0.021,7
"SAND.ST",0.021,7
