"","so","mem","Q%10","Q%25","Q%35","Q%45","Q%50","Q%65","Q%75","Q%85","Q%95"
"ACD.TO",0.007,1,-0.024,-0.01,-0.005,0,0.001,0.007,0.014,0.017,0.027
"AC.TO",0.007,1,-0.024,-0.014,-0.007,-0.001,0.002,0.011,0.017,0.024,0.034
"AD.TO",0.008,1,-0.027,-0.015,-0.012,-0.007,-0.006,0.002,0.006,0.016,0.03
"AKG.TO",0.008,1,-0.041,-0.019,-0.01,-0.004,0,0.008,0.013,0.027,0.039
"AOT.V",0.006,1,-0.03,-0.017,-0.011,-0.008,-0.006,0.001,0.005,0.011,0.021
"BBDB.TO",0.007,1,-0.023,-0.011,-0.006,0.001,0.004,0.012,0.018,0.023,0.041
"BOS.TO",0.008,1,-0.023,-0.013,-0.006,-0.002,0.001,0.006,0.013,0.022,0.036
"BTO.TO",0.006,1,-0.022,-0.013,-0.007,-0.002,0.001,0.007,0.012,0.017,0.026
"CBL.TO",0.008,1,-0.036,-0.022,-0.017,-0.013,-0.011,-0.001,0.004,0.014,0.029
"CFP.TO",0.006,1,-0.009,-0.001,0.005,0.01,0.012,0.017,0.02,0.025,0.038
"CNE.TO",0.007,1,-0.021,-0.01,-0.005,0,0.002,0.007,0.011,0.017,0.029
"CTO.V",0.006,1,-0.017,-0.006,-0.003,0,0.002,0.008,0.013,0.022,0.027
"CWB.TO",0.011,1,-0.023,-0.005,0.004,0.009,0.01,0.017,0.024,0.029,0.041
"DIIB.TO",0.008,1,-0.024,-0.014,-0.007,-0.003,0,0.005,0.012,0.018,0.034
"DRM.TO",0.008,1,-0.02,-0.008,-0.001,0.005,0.007,0.014,0.019,0.029,0.043
"EFL.TO",0.006,1,-0.034,-0.024,-0.018,-0.013,-0.01,-0.003,0,0.005,0.012
"EFN.TO",0.007,1,-0.026,-0.014,-0.009,-0.002,0.001,0.009,0.011,0.018,0.031
"ELD.TO",0.008,1,-0.031,-0.019,-0.013,-0.008,-0.004,0.004,0.008,0.015,0.028
"ENB.TO",0.01,1,-0.032,-0.018,-0.012,-0.005,-0.003,0.005,0.01,0.017,0.038
"ESP.TO",0.008,1,-0.03,-0.018,-0.013,-0.009,-0.007,-0.002,0.005,0.011,0.026
"EXE.TO",0.007,1,-0.03,-0.017,-0.013,-0.009,-0.008,-0.003,0.001,0.01,0.02
"FSW.V",0.008,1,-0.185,-0.12,-0.018,-0.011,-0.01,0,0,0.007,0.013
"FSZ.TO",0.007,1,-0.022,-0.014,-0.009,-0.004,-0.003,0.004,0.009,0.018,0.026
"GDC.TO",0.006,1,-0.018,-0.009,-0.003,0,0.003,0.009,0.013,0.017,0.029
"GWR.TO",0.007,1,-0.02,-0.012,-0.008,-0.004,-0.002,0.004,0.009,0.019,0.027
"INE.TO",0.006,1,-0.022,-0.011,-0.007,-0.002,-0.001,0.006,0.011,0.018,0.027
