"","StationaryDistribution","Membership","QuantileSR.10","QuantileSR.25","QuantileSR.35","QuantileSR.45","QuantileSR.50","QuantileSR.65","QuantileSR.75","QuantileSR.85","QuantileSR.95","Name","Exchange","Category.Name","Country"
"GBT",0.009,1,-0.018,-0.007,-0.004,0.001,0.003,0.008,0.012,0.017,0.027,"Global Blood Therapeutics Inc.","NMS","Biotechnology","USA"
"^GSPC",0.023,1,-0.011,-0.002,0.004,0.009,0.012,0.02,0.025,0.034,0.047,"-","-","-","-"
"^DJI",0.018,1,-0.011,-0.003,0.002,0.01,0.013,0.024,0.03,0.038,0.055,"-","-","-","-"
"^IXIC",0.021,1,-0.011,-0.002,0.005,0.009,0.011,0.019,0.025,0.033,0.048,"-","-","-","-"
"^NYA",0.023,1,-0.015,-0.005,0,0.005,0.008,0.018,0.025,0.035,0.045,"-","-","-","-"
"CELG",0.014,2,-0.024,-0.014,-0.009,-0.006,-0.004,0.004,0.013,0.021,0.04,"Celgene Corporation","NMS","Biotechnology","USA"
"GILD",0.024,2,-0.024,-0.012,-0.007,-0.003,-0.001,0.006,0.022,0.029,0.041,"Gilead Sciences, Inc.","NMS","Biotechnology","USA"
"BIIB",0.014,2,-0.021,-0.009,-0.004,0.003,0.007,0.011,0.017,0.026,0.041,"Biogen Inc.","NMS","Biotechnology","USA"
"REGN",0.016,2,-0.03,-0.016,-0.013,-0.008,-0.005,0.003,0.01,0.017,0.026,"Regeneron Pharmaceuticals, Inc.","NMS","Biotechnology","USA"
"VRTX",0.016,2,-0.024,-0.012,-0.006,-0.002,0.001,0.011,0.018,0.023,0.03,"Vertex Pharmaceuticals Incorporated","NMS","Biotechnology","USA"
"ALXN",0.015,2,-0.027,-0.009,-0.003,0.001,0.003,0.009,0.014,0.022,0.035,"Alexion Pharmaceuticals, Inc.","NMS","Biotechnology","USA"
"INCY",0.017,2,-0.025,-0.015,-0.011,-0.007,-0.004,0.003,0.01,0.017,0.028,"Incyte Corporation","NMS","Biotechnology","USA"
"BMRN",0.017,2,-0.019,-0.011,-0.006,-0.001,0.002,0.01,0.013,0.017,0.029,"BioMarin Pharmaceutical Inc.","NMS","Biotechnology","USA"
"EXEL",0.009,2,-0.022,-0.01,-0.006,-0.003,-0.001,0.005,0.011,0.021,0.032,"Exelixis, Inc.","NMS","Biotechnology","USA"
"SGEN",0.014,2,-0.023,-0.013,-0.008,-0.002,0.002,0.012,0.018,0.025,0.038,"Seattle Genetics, Inc.","NMS","Biotechnology","USA"
"OPK",0.012,2,-0.025,-0.013,-0.01,-0.006,-0.004,0.002,0.007,0.014,0.029,"Opko Health, Inc.","NMS","Biotechnology","USA"
"PTLA",0.012,2,-0.024,-0.013,-0.008,-0.003,0,0.006,0.012,0.017,0.048,"Portola Pharmaceuticals, Inc.","NMS","Biotechnology","USA"
"SRPT",0.015,2,-0.015,-0.003,0.003,0.01,0.012,0.018,0.021,0.026,0.037,"Sarepta Therapeutics, Inc.","NMS","Biotechnology","USA"
"ICPT",0.012,2,-0.024,-0.014,-0.007,-0.002,0.001,0.009,0.015,0.02,0.028,"Intercept Pharmaceuticals, Inc.","NMS","Biotechnology","USA"
"CBM",0.014,2,-0.026,-0.015,-0.011,-0.005,-0.003,0.01,0.017,0.025,0.041,"Cambrex Corporation","NYQ","Biotechnology","USA"
"ACOR",0.011,2,-0.013,-0.002,0.002,0.006,0.008,0.014,0.017,0.026,0.041,"Acorda Therapeutics, Inc.","NMS","Biotechnology","USA"
"ARNA",0.008,2,-0.015,-0.001,0.006,0.009,0.012,0.018,0.023,0.03,0.045,"Arena Pharmaceuticals, Inc.","NMS","Biotechnology","USA"
"ENTA",0.009,2,-0.009,-0.001,0.005,0.012,0.015,0.019,0.024,0.034,0.068,"Enanta Pharmaceuticals, Inc.","NMS","Biotechnology","USA"
