"","StationaryDistribution","GOP","Membership","QuantileSR.10","QuantileSR.25","QuantileSR.35","QuantileSR.45","QuantileSR.50","QuantileSR.65","QuantileSR.75","QuantileSR.85","QuantileSR.95","Name","Exchange","Category.Name","Country"
"NKE",0.006,0.026,1,-0.028,-0.011,-0.003,0.003,0.005,0.016,0.026,0.04,0.063,"NIKE, Inc.","NYQ","Textile - Apparel Footwear & Accessories","USA"
"GE",0.006,0.028,1,-0.056,-0.028,-0.021,-0.013,-0.009,0,0.009,0.022,0.039,"General Electric Company","NYQ","Diversified Machinery","USA"
"VZ",0.007,0.034,1,-0.036,-0.019,-0.01,-0.003,0.003,0.015,0.02,0.035,0.068,"Verizon Communications Inc.","NYQ","Telecom Services - Domestic","USA"
"MCD",0.006,0.028,1,-0.03,-0.015,-0.008,-0.002,0.002,0.013,0.022,0.034,0.071,"McDonald's Corporation","NYQ","Restaurants","USA"
"FRE.DE",0.007,0.03,1,-0.04,-0.021,-0.011,-0.005,0,0.011,0.018,0.027,0.058,"Fresenius SE & Co. KGaA","GER","Hospitals","Germany"
"ADS.DE",0.006,0.026,1,-0.043,-0.023,-0.015,-0.009,-0.005,0.008,0.018,0.027,0.062,"Adidas AG","GER","Textile - Apparel Footwear & Accessories","Germany"
"TKA.DE",0.006,0.029,1,-0.047,-0.021,-0.014,-0.004,0,0.014,0.019,0.031,0.061,"ThyssenKrupp AG","GER","Steel & Iron","Germany"
"PSM.DE",0.005,0.025,1,-0.037,-0.022,-0.012,-0.001,0.001,0.014,0.026,0.038,0.055,"ProSiebenSat.1 Media SE","GER","Broadcasting - TV","Germany"
"VNA.DE",0.006,0.027,1,-0.027,-0.008,-0.001,0.004,0.007,0.016,0.02,0.035,0.07,"Vonovia SE","GER","","Germany"
"DB1.DE",0.005,0.025,1,-0.034,-0.011,-0.004,0.001,0.006,0.018,0.029,0.044,0.064,"Deutsche Börse Aktiengesellschaft","GER","Asset Management","Germany"
"CBK.DE",0.009,0.038,1,-0.043,-0.021,-0.012,-0.003,0,0.011,0.019,0.028,0.048,"Commerzbank AG","GER","Money Center Banks","Germany"
"LHA.DE",0.007,0.032,1,-0.033,-0.015,-0.007,0.001,0.006,0.016,0.025,0.035,0.059,"Deutsche Lufthansa Aktiengesellschaft","GER","Major Airlines","Germany"
"DBK.DE",0.008,0.035,1,-0.047,-0.024,-0.015,-0.009,-0.006,0.011,0.019,0.03,0.052,"Deutsche Bank Aktiengesellschaft","GER","Money Center Banks","Germany"
"CCH.L",0.006,0.028,1,-0.039,-0.022,-0.011,-0.003,0.002,0.016,0.025,0.043,0.074,"Coca-Cola HBC AG","LSE","","United Kingdom"
"SDR.L",0.008,0.034,1,-0.032,-0.018,-0.01,-0.002,0.002,0.012,0.02,0.036,0.066,"Schroders plc","LSE","Asset Management","United Kingdom"
"BATS.L",0.005,0.025,1,-0.044,-0.021,-0.013,-0.006,-0.001,0.008,0.015,0.025,0.045,"British American Tobacco p.l.c.","LSE","Tobacco Products, Other","United Kingdom"
"EZJ.L",0.006,0.028,1,-0.037,-0.013,-0.005,0.001,0.003,0.013,0.024,0.033,0.054,"easyJet plc","LSE","Major Airlines","United Kingdom"
"SHP.L",0.007,0.032,1,-0.048,-0.025,-0.016,-0.007,-0.002,0.012,0.023,0.036,0.071,"Shire plc","LSE","Biotechnology","United Kingdom"
"CCL.L",0.006,0.026,1,-0.029,-0.017,-0.01,-0.003,-0.001,0.01,0.018,0.032,0.063,"Carnival plc","LSE","Recreational Goods, Other","United Kingdom"
"CNA.L",0.007,0.031,1,-0.051,-0.025,-0.017,-0.01,-0.007,0.005,0.014,0.036,0.063,"Centrica plc","LSE","Diversified Utilities","United Kingdom"
"SSE.L",0.006,0.026,1,-0.034,-0.017,-0.009,-0.003,0.001,0.009,0.018,0.027,0.049,"SSE plc","LSE","Diversified Utilities","United Kingdom"
"GFS.L",0.007,0.032,1,-0.041,-0.019,-0.009,-0.004,0,0.011,0.018,0.026,0.045,"G4S plc","LSE","Security & Protection Services","United Kingdom"
"SMIN.L",0.008,0.037,1,-0.027,-0.013,-0.009,-0.003,0.002,0.015,0.025,0.039,0.074,"Smiths Group plc","LSE","Diversified Machinery","United Kingdom"
"PRU.L",0.007,0.03,1,-0.028,-0.016,-0.008,-0.001,0.002,0.014,0.02,0.033,0.049,"Prudential plc","LSE","Life Insurance","United Kingdom"
"SKY.L",0.006,0.026,1,-0.039,-0.019,-0.009,0,0.005,0.014,0.022,0.041,0.081,"Sky plc","LSE","","United Kingdom"
