"","StationaryDistribution","Membership","QuantileSR.10","QuantileSR.25","QuantileSR.35","QuantileSR.45","QuantileSR.50","QuantileSR.65","QuantileSR.75","QuantileSR.85","QuantileSR.95","Name","Exchange","Category.Name","Country"
"AFLT.ME",NA,1,-0.048,-0.031,-0.022,-0.014,-0.01,0.002,0.013,0.023,0.046,"Public Joint Stock Company Aeroflot - Russian Airlines","MCX","","Russia"
"MTLR.ME",NA,1,-0.037,-0.027,-0.02,-0.012,-0.009,0.001,0.013,0.028,0.054,"Mechel PAO","MCX","","Russia"
"^DJI",NA,1,-0.023,-0.008,-0.001,0.007,0.015,0.032,0.041,0.059,0.11,"-","-","-","-"
"MSFT",NA,1,-0.022,-0.006,0.001,0.007,0.011,0.021,0.032,0.047,0.079,"Microsoft Corporation","NMS","Business Software & Services","USA"
"MRK",NA,1,-0.046,-0.018,-0.011,-0.005,0,0.014,0.023,0.037,0.057,"Merck & Co., Inc.","NYQ","Drug Manufacturers - Major","USA"
"DIS",NA,1,-0.037,-0.018,-0.01,-0.001,0.001,0.013,0.02,0.03,0.05,"The Walt Disney Company","NYQ","Entertainment - Diversified","USA"
"NKE",NA,1,-0.028,-0.012,-0.003,0.003,0.006,0.016,0.026,0.04,0.063,"NIKE, Inc.","NYQ","Textile - Apparel Footwear & Accessories","USA"
"JNJ",NA,1,-0.039,-0.022,-0.011,-0.004,-0.001,0.01,0.018,0.033,0.062,"Johnson & Johnson","NYQ","Drug Manufacturers - Major","USA"
"HD",NA,1,-0.028,-0.014,-0.003,0.005,0.01,0.024,0.035,0.055,0.084,"The Home Depot, Inc.","NYQ","Home Improvement Stores","USA"
"KO",NA,1,-0.033,-0.017,-0.009,0,0.004,0.017,0.026,0.039,0.068,"The Coca-Cola Company","NYQ","Beverages - Soft Drinks","USA"
"MMM",NA,1,-0.037,-0.02,-0.008,0.001,0.006,0.019,0.028,0.043,0.075,"3M Company","NYQ","Diversified Machinery","USA"
"AAPL",NA,1,-0.038,-0.014,-0.005,0.004,0.009,0.02,0.03,0.048,0.072,"Apple Inc.","NMS","Electronic Equipment","USA"
"UTX",NA,1,-0.031,-0.015,-0.008,-0.001,0.006,0.017,0.028,0.04,0.092,"United Technologies Corporation","NYQ","Aerospace/Defense Products & Services","USA"
"TRV",NA,1,-0.031,-0.016,-0.009,-0.001,0.002,0.011,0.023,0.039,0.061,"The Travelers Companies, Inc.","NYQ","Property & Casualty Insurance","USA"
"IBM",NA,1,-0.044,-0.02,-0.011,-0.003,0.001,0.011,0.021,0.034,0.076,"International Business Machines Corporation","NYQ","Information Technology Services","USA"
"BA",NA,1,-0.021,-0.006,0,0.007,0.01,0.02,0.027,0.038,0.066,"The Boeing Company","NYQ","Aerospace/Defense Products & Services","USA"
"GS",NA,1,-0.042,-0.017,-0.01,-0.004,-0.001,0.01,0.021,0.033,0.055,"The Goldman Sachs Group, Inc.","NYQ","Investment Brokerage - National","USA"
"V",NA,1,-0.016,-0.003,0.003,0.01,0.013,0.029,0.041,0.05,0.079,"Visa Inc.","NYQ","Credit Services","USA"
"WMT",NA,1,-0.031,-0.013,-0.006,0.002,0.005,0.015,0.023,0.035,0.075,"Wal-Mart Stores, Inc.","NYQ","Discount, Variety Stores","USA"
"JPM",NA,1,-0.035,-0.018,-0.009,0.003,0.006,0.015,0.025,0.039,0.06,"JPMorgan Chase & Co.","NYQ","Money Center Banks","USA"
"PFE",NA,1,-0.032,-0.013,-0.002,0.004,0.008,0.02,0.026,0.034,0.052,"Pfizer Inc.","NYQ","Drug Manufacturers - Major","USA"
"CSCO",NA,1,-0.024,-0.01,-0.002,0.008,0.011,0.022,0.032,0.042,0.061,"Cisco Systems, Inc.","NMS","Networking & Communication Devices","USA"
"PG",NA,1,-0.037,-0.015,-0.008,-0.001,0.004,0.015,0.021,0.03,0.054,"The Procter & Gamble Company","NYQ","Personal Products","USA"
"AXP",NA,1,-0.032,-0.011,-0.003,0.004,0.009,0.021,0.029,0.04,0.071,"American Express Company","NYQ","Credit Services","USA"
"UNH",NA,1,-0.024,-0.009,-0.003,0.004,0.006,0.018,0.027,0.046,0.077,"UnitedHealth Group Incorporated","NYQ","Health Care Plans","USA"
"DWDP",NA,1,-0.034,-0.018,-0.007,0.001,0.004,0.012,0.021,0.036,0.071,"-","-","-","-"
"CAT",NA,1,-0.025,-0.009,0.001,0.01,0.014,0.02,0.028,0.046,0.078,"Caterpillar Inc.","NYQ","Farm & Construction Machinery","USA"
"INTC",NA,1,-0.034,-0.016,-0.004,0.007,0.011,0.024,0.032,0.047,0.07,"Intel Corporation","NMS","Semiconductor - Broad Line","USA"
"XOM",NA,1,-0.035,-0.011,-0.002,0.004,0.007,0.016,0.024,0.038,0.071,"Exxon Mobil Corporation","NYQ","Major Integrated Oil & Gas","USA"
"CVX",NA,1,-0.03,-0.01,-0.003,0.006,0.011,0.022,0.029,0.041,0.067,"Chevron Corporation","NYQ","Major Integrated Oil & Gas","USA"
"TKA.DE",NA,1,-0.048,-0.022,-0.017,-0.008,-0.003,0.012,0.019,0.03,0.061,"ThyssenKrupp AG","GER","Steel & Iron","Germany"
"AHT.L",NA,1,-0.025,-0.008,-0.001,0.008,0.01,0.022,0.032,0.046,0.078,"Ashtead Group plc","LSE","Rental & Leasing Services","United Kingdom"
"NMC.L",NA,1,-0.042,-0.01,-0.004,0.005,0.009,0.017,0.024,0.038,0.068,"NMC Health Plc","LSE","Hospitals","United Kingdom"
"SMT.L",NA,1,-0.032,-0.01,-0.001,0.005,0.008,0.017,0.026,0.038,0.065,"Scottish Mortgage Investment Trust PLC","LSE","","United Kingdom"
"NLMK.ME",NA,2,-0.027,-0.013,-0.005,0.001,0.003,0.012,0.022,0.032,0.051,"Novolipetsk Steel","MCX","","Russia"
"MVID.ME",NA,2,-0.042,-0.015,-0.008,-0.002,0,0.008,0.013,0.02,0.039,"Public Joint Stock Company M.video","MCX","","Russia"
"POLY.ME",NA,2,-0.041,-0.021,-0.012,-0.004,-0.001,0.007,0.016,0.027,0.061,"Polymetal International Plc","MCX","","Russia"
"VZ",NA,2,-0.035,-0.017,-0.009,0.001,0.004,0.017,0.023,0.035,0.068,"Verizon Communications Inc.","NYQ","Telecom Services - Domestic","USA"
"ANTO.L",NA,2,-0.04,-0.018,-0.011,-0.002,0.002,0.017,0.034,0.052,0.094,"Antofagasta plc","LSE","Industrial Metals & Minerals","United Kingdom"
"SDR.L",NA,2,-0.032,-0.016,-0.008,0.002,0.005,0.014,0.027,0.039,0.069,"Schroders plc","LSE","Asset Management","United Kingdom"
"GFS.L",NA,2,-0.04,-0.018,-0.009,-0.003,0.001,0.011,0.018,0.026,0.045,"G4S plc","LSE","Security & Protection Services","United Kingdom"
"SMIN.L",NA,2,-0.03,-0.014,-0.01,-0.003,0.001,0.015,0.025,0.039,0.074,"Smiths Group plc","LSE","Diversified Machinery","United Kingdom"
"PRU.L",NA,2,-0.028,-0.016,-0.008,0,0.004,0.014,0.02,0.031,0.049,"Prudential plc","LSE","Life Insurance","United Kingdom"
"EXPN.L",NA,2,-0.036,-0.012,-0.002,0.003,0.007,0.017,0.025,0.038,0.067,"Experian plc","LSE","Business Services","United Kingdom"
"RTO.L",NA,2,-0.031,-0.01,-0.003,0.004,0.007,0.019,0.028,0.049,0.095,"Rentokil Initial plc","LSE","Business Services","United Kingdom"
"STJ.L",NA,2,-0.039,-0.018,-0.008,-0.001,0.002,0.013,0.023,0.038,0.077,"St. James's Place plc","LSE","Life Insurance","United Kingdom"
"CPG.L",NA,2,-0.035,-0.016,-0.011,-0.003,-0.001,0.008,0.016,0.029,0.047,"Compass Group PLC","LSE","Restaurants","United Kingdom"
"^FTSE",NA,2,-0.027,-0.014,-0.005,0.002,0.005,0.014,0.026,0.037,0.057,"-","-","-","-"
"VTBR.ME",NA,3,-0.045,-0.025,-0.017,-0.01,-0.007,0.004,0.013,0.025,0.046,"VTB Bank (public joint-stock company)","MCX","","Russia"
"ALRS.ME",NA,3,-0.034,-0.019,-0.01,-0.001,0.004,0.018,0.026,0.035,0.073,"Public Joint Stock Company ALROSA","MCX","","Russia"
"GE",NA,3,-0.055,-0.028,-0.02,-0.012,-0.009,0,0.01,0.024,0.041,"General Electric Company","NYQ","Diversified Machinery","USA"
"CNA.L",NA,3,-0.049,-0.023,-0.016,-0.008,-0.005,0.006,0.017,0.036,0.064,"Centrica plc","LSE","Diversified Utilities","United Kingdom"
"SSE.L",NA,3,-0.033,-0.017,-0.009,-0.002,0.001,0.009,0.018,0.027,0.049,"SSE plc","LSE","Diversified Utilities","United Kingdom"
"ROSN.ME",NA,4,-0.047,-0.02,-0.009,0.001,0.003,0.013,0.019,0.029,0.057,"Public Joint Stock Company Rosneft Oil Company","MCX","","Russia"
"SNGS.ME",NA,4,-0.03,-0.013,-0.005,0.002,0.005,0.012,0.018,0.028,0.051,"""Surgutneftegas"" Open Joint Stock Company","MCX","","Russia"
"GAZP.ME",NA,4,-0.044,-0.02,-0.01,0,0.004,0.013,0.024,0.039,0.063,"Public Joint Stock Company Gazprom","MCX","","Russia"
"PHOR.ME",NA,4,-0.039,-0.022,-0.016,-0.004,0,0.012,0.022,0.036,0.058,"PJSC PhosAgro","MCX","","Russia"
"MTSS.ME",NA,4,-0.038,-0.014,-0.005,0.003,0.007,0.016,0.028,0.038,0.056,"Public Joint-Stock Company Mobile TeleSystems","MCX","","Russia"
"LKOH.ME",NA,4,-0.04,-0.013,-0.006,0.001,0.007,0.019,0.027,0.037,0.06,"PJSC LUKOIL","MCX","","Russia"
"TATN.ME",NA,4,-0.023,-0.007,0.001,0.008,0.01,0.019,0.025,0.039,0.077,"PJSC Tatneft","MCX","","Russia"
"TATNP.ME",NA,4,-0.029,-0.012,-0.004,0.006,0.008,0.021,0.032,0.042,0.063,"PJSC Tatneft","MCX","","Russia"
"NMTP.ME",NA,4,-0.042,-0.024,-0.014,-0.007,-0.001,0.005,0.013,0.027,0.048,"Public Joint Stock Company Novorossiysk Commercial Sea Port","MCX","","Russia"
"HYDR.ME",NA,4,-0.043,-0.018,-0.012,-0.005,-0.002,0.01,0.017,0.029,0.052,"Public Joint-Stock Company Federal Hydro-Generating Company - RusHydro","MCX","","Russia"
"GMKN.ME",NA,4,-0.026,-0.011,-0.005,0.001,0.005,0.018,0.026,0.04,0.062,"Public Joint Stock Company Mining and Metallurgical Company Norilsk Nickel","MCX","","Russia"
"MAGN.ME",NA,4,-0.027,-0.014,-0.006,0,0.003,0.013,0.023,0.035,0.068,"Public Joint Stock Company Magnitogorsk Iron & Steel Works","MCX","","Russia"
"NVTK.ME",NA,4,-0.02,-0.011,-0.004,0.003,0.007,0.017,0.025,0.038,0.065,"PAO NOVATEK","MCX","","Russia"
"MICEXINDEXCF.ME",NA,4,-0.035,-0.014,-0.005,0.005,0.009,0.017,0.027,0.04,0.076,"-","-","-","-"
"MOEX.ME",NA,5,-0.045,-0.022,-0.013,-0.003,0,0.008,0.018,0.03,0.054,"Public Joint-Stock Company Moscow Exchange MICEX-RTS","MCX","","Russia"
"PLZL.ME",NA,5,-0.03,-0.013,-0.005,0.003,0.007,0.018,0.023,0.034,0.056,"Public Joint Stock Company Polyus","MCX","","Russia"
"ADS.DE",NA,5,-0.045,-0.024,-0.015,-0.01,-0.005,0.008,0.019,0.028,0.064,"Adidas AG","GER","Textile - Apparel Footwear & Accessories","Germany"
"MUV2.DE",NA,5,-0.038,-0.018,-0.009,0,0.006,0.015,0.026,0.039,0.063,"Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft","GER","Property & Casualty Insurance","Germany"
"ALV.DE",NA,5,-0.037,-0.016,-0.01,0,0.005,0.017,0.025,0.038,0.068,"Allianz SE","GER","Property & Casualty Insurance","Germany"
"VNA.DE",NA,5,-0.031,-0.01,-0.001,0.003,0.006,0.016,0.02,0.033,0.065,"Vonovia SE","GER","","Germany"
"CBK.DE",NA,5,-0.048,-0.023,-0.014,-0.004,0,0.011,0.017,0.025,0.048,"Commerzbank AG","GER","Money Center Banks","Germany"
"DBK.DE",NA,5,-0.048,-0.028,-0.016,-0.011,-0.008,0.004,0.018,0.027,0.048,"Deutsche Bank Aktiengesellschaft","GER","Money Center Banks","Germany"
"AIR.PA",NA,5,-0.029,-0.013,-0.007,0,0.004,0.014,0.023,0.038,0.072,"Airbus SE","PAR","","France"
"AC.PA",NA,5,-0.037,-0.018,-0.011,0.001,0.004,0.019,0.035,0.056,0.088,"Accor SA","PAR","Lodging","France"
"LR.PA",NA,5,-0.031,-0.014,-0.007,0.002,0.005,0.015,0.024,0.034,0.065,"Legrand SA","PAR","Diversified Machinery","France"
"ENGI.PA",NA,5,-0.044,-0.016,-0.007,-0.001,0.004,0.013,0.023,0.04,0.07,"ENGIE SA","PAR","","France"
"GLE.PA",NA,5,-0.052,-0.031,-0.02,-0.012,-0.008,0.004,0.017,0.035,0.052,"Societe Generale Group","PAR","Money Center Banks","France"
"SU.PA",NA,5,-0.035,-0.015,-0.008,-0.001,0.001,0.013,0.02,0.033,0.07,"Schneider Electric S.E.","PAR","Diversified Machinery","France"
"BNP.PA",NA,5,-0.047,-0.024,-0.017,-0.01,-0.004,0.009,0.017,0.03,0.075,"BNP Paribas SA","PAR","Money Center Banks","France"
