"","StationaryDistribution","Membership","QuantileSR.10","QuantileSR.25","QuantileSR.35","QuantileSR.45","QuantileSR.50","QuantileSR.65","QuantileSR.75","QuantileSR.85","QuantileSR.95","Name","Exchange","Category.Name","Country"
"MRK",0.007,1,-0.029,-0.018,-0.012,-0.002,0.002,0.009,0.014,0.023,0.034,"Merck & Co., Inc.","NYQ","Drug Manufacturers - Major","USA"
"CSCO",0.006,1,-0.015,-0.003,0.001,0.007,0.01,0.017,0.021,0.027,0.04,"Cisco Systems, Inc.","NMS","Networking & Communication Devices","USA"
"PG",0.005,1,-0.027,-0.016,-0.007,-0.001,0.002,0.01,0.016,0.021,0.031,"The Procter & Gamble Company","NYQ","Personal Products","USA"
"IBM",0.007,1,-0.025,-0.013,-0.007,-0.002,0.001,0.008,0.013,0.018,0.035,"International Business Machines Corporation","NYQ","Information Technology Services","USA"
"KO",0.005,1,-0.023,-0.012,-0.008,-0.002,0,0.009,0.014,0.022,0.043,"The Coca-Cola Company","NYQ","Beverages - Soft Drinks","USA"
"VZ",0.005,1,-0.026,-0.016,-0.009,-0.005,-0.001,0.006,0.014,0.023,0.038,"Verizon Communications Inc.","NYQ","Telecom Services - Domestic","USA"
"MCD",0.004,1,-0.014,-0.006,-0.001,0.003,0.005,0.011,0.015,0.02,0.033,"McDonald's Corporation","NYQ","Restaurants","USA"
"DWDP",0.009,1,-0.02,-0.01,-0.004,0.001,0.004,0.01,0.018,0.023,0.033,"-","-","-","-"
"PFE",0.006,1,-0.019,-0.007,-0.001,0.005,0.006,0.013,0.018,0.023,0.034,"Pfizer Inc.","NYQ","Drug Manufacturers - Major","USA"
"JNJ",0.006,1,-0.022,-0.013,-0.008,-0.003,-0.001,0.005,0.011,0.02,0.043,"Johnson & Johnson","NYQ","Drug Manufacturers - Major","USA"
"WMT",0.006,1,-0.018,-0.012,-0.006,-0.001,0.002,0.009,0.015,0.025,0.047,"Wal-Mart Stores, Inc.","NYQ","Discount, Variety Stores","USA"
"UNH",0.005,1,-0.013,-0.002,0.004,0.007,0.009,0.015,0.019,0.024,0.037,"UnitedHealth Group Incorporated","NYQ","Health Care Plans","USA"
"AMGN",0.009,1,-0.022,-0.012,-0.005,-0.001,0.004,0.016,0.02,0.028,0.04,"Amgen Inc.","NMS","Biotechnology","USA"
"BIDU",0.007,1,-0.024,-0.01,0,0.006,0.009,0.018,0.024,0.03,0.038,"Baidu, Inc.","NMS","Internet Information Providers","USA"
"EBAY",0.005,1,-0.022,-0.011,-0.005,0,0.001,0.008,0.014,0.024,0.038,"eBay Inc.","NMS","Specialty Retail, Other","USA"
"ESRX",0.007,1,-0.028,-0.01,-0.004,0.002,0.005,0.014,0.023,0.03,0.045,"Express Scripts Holding Company","NMS","Health Care Plans","USA"
"EXPE",0.004,1,-0.021,-0.008,-0.002,0.002,0.004,0.011,0.016,0.021,0.03,"Expedia, Inc.","NMS","Lodging","USA"
"FISV",0.008,1,-0.013,-0.005,-0.001,0.004,0.005,0.013,0.019,0.031,0.042,"Fiserv, Inc.","NMS","Business Services","USA"
"GILD",0.008,1,-0.024,-0.012,-0.007,-0.003,-0.001,0.006,0.022,0.029,0.041,"Gilead Sciences, Inc.","NMS","Biotechnology","USA"
"ILMN",0.005,1,-0.019,-0.005,0.001,0.004,0.007,0.013,0.022,0.03,0.04,"Illumina, Inc.","NMS","Biotechnology","USA"
"INCY",0.006,1,-0.026,-0.016,-0.012,-0.007,-0.004,0.002,0.009,0.016,0.028,"Incyte Corporation","NMS","Biotechnology","USA"
"VRTX",0.007,1,-0.024,-0.013,-0.007,-0.003,0.001,0.01,0.017,0.022,0.03,"Vertex Pharmaceuticals Incorporated","NMS","Biotechnology","USA"
"STX",0.005,1,-0.016,-0.009,-0.003,0.001,0.004,0.011,0.018,0.028,0.045,"Seagate Technology plc","NMS","Data Storage Devices","USA"
"TSLA",0.004,1,-0.024,-0.014,-0.009,-0.004,-0.001,0.009,0.013,0.019,0.027,"Tesla, Inc.","NMS","Auto Manufacturers - Major","USA"
"QCOM",0.006,1,-0.022,-0.013,-0.008,-0.005,-0.003,0.008,0.012,0.021,0.033,"QUALCOMM Incorporated","NMS","Communication Equipment","USA"
"REGN",0.006,1,-0.03,-0.016,-0.013,-0.008,-0.006,0.002,0.009,0.017,0.025,"Regeneron Pharmaceuticals, Inc.","NMS","Biotechnology","USA"
"SIRI",0.006,1,-0.016,-0.005,0.001,0.006,0.008,0.014,0.02,0.028,0.042,"Sirius XM Holdings Inc.","NMS","Broadcasting - Radio","USA"
"SBUX",0.005,1,-0.027,-0.011,-0.008,-0.003,-0.001,0.007,0.014,0.019,0.034,"Starbucks Corporation","NMS","Specialty Eateries","USA"
"SYMC",0.005,1,-0.026,-0.013,-0.009,-0.005,-0.001,0.005,0.012,0.027,0.038,"Symantec Corporation","NMS","Security Software & Services","USA"
"TXN",0.013,1,-0.013,-0.004,0.001,0.007,0.011,0.022,0.029,0.036,0.049,"Texas Instruments Incorporated","NMS","Semiconductor - Broad Line","USA"
"TMUS",0.005,1,-0.025,-0.014,-0.009,-0.001,0.001,0.008,0.012,0.017,0.032,"T-Mobile US, Inc.","NMS","Wireless Communications","USA"
"VIAB",0.005,1,-0.026,-0.015,-0.011,-0.006,-0.003,0.002,0.009,0.018,0.036,"Viacom, Inc.","NMS","Entertainment - Diversified","USA"
"BBD-B.TO",0.004,1,-0.021,-0.01,-0.003,0.003,0.005,0.016,0.02,0.03,0.039,"Bombardier Inc.","TOR","Aerospace/Defense - Major Diversified","Canada"
"ELD.TO",0.005,1,-0.031,-0.019,-0.013,-0.008,-0.004,0.004,0.008,0.015,0.028,"Eldorado Gold Corporation","TOR","Gold","Canada"
"LUN.TO",0.007,1,-0.017,-0.009,-0.004,0.001,0.003,0.011,0.016,0.023,0.038,"Lundin Mining Corporation","TOR","Industrial Metals & Minerals","Canada"
"FM.TO",0.006,1,-0.017,-0.01,-0.003,0.001,0.005,0.017,0.023,0.029,0.04,"First Quantum Minerals Ltd.","TOR","Industrial Metals & Minerals","Canada"
"AKG.TO",0.006,1,-0.041,-0.019,-0.01,-0.004,0,0.008,0.013,0.027,0.039,"Asanko Gold Inc.","TOR","Gold","Canada"
"HBM.TO",0.007,1,-0.025,-0.012,-0.004,-0.001,0,0.009,0.015,0.022,0.036,"Hudbay Minerals Inc.","TOR","Industrial Metals & Minerals","Canada"
"YRI.TO",0.006,1,-0.022,-0.011,-0.006,-0.002,0.001,0.007,0.012,0.017,0.029,"Yamana Gold Inc.","TOR","Gold","Canada"
"K.TO",0.005,1,-0.028,-0.012,-0.009,-0.005,-0.003,0.006,0.012,0.019,0.029,"Kinross Gold Corporation","TOR","","Canada"
"BTO.TO",0.004,1,-0.022,-0.013,-0.007,-0.002,0.001,0.007,0.012,0.017,0.026,"B2Gold Corp.","TOR","Gold","Canada"
"AC.TO",0.004,1,-0.024,-0.014,-0.007,-0.001,0.002,0.011,0.017,0.024,0.034,"Air Canada","TOR","","Canada"
"ABX.TO",0.005,1,-0.03,-0.019,-0.011,-0.005,-0.003,0.004,0.01,0.016,0.027,"Barrick Gold Corporation","TOR","Gold","Canada"
"^GSPC",0.017,1,-0.011,-0.001,0.004,0.009,0.011,0.02,0.025,0.034,0.047,"-","-","-","-"
"^RUT",0.013,1,-0.018,-0.006,0.001,0.006,0.009,0.018,0.022,0.03,0.044,"-","-","-","-"
"^NBI",0.01,1,-0.024,-0.01,-0.003,0.003,0.005,0.014,0.019,0.025,0.033,"-","-","-","-"
