"","StationaryDistribution","GOP","Membership","QuantileSR.10","QuantileSR.25","QuantileSR.35","QuantileSR.45","QuantileSR.50","QuantileSR.65","QuantileSR.75","QuantileSR.85","QuantileSR.95","Symbol","Name"
"^RUT",0.019,0.063,1,-0.028,-0.015,-0.004,0.005,0.009,0.022,0.032,0.045,0.081,"-","-"
"FYC",0.037,0.111,1,-0.022,-0.01,-0.002,0.006,0.01,0.022,0.031,0.04,0.088,"FYC","First Trust Small Cap Gr AlphaDEX ETF"
"FNX",0.052,0.161,1,-0.024,-0.009,0,0.008,0.01,0.022,0.028,0.045,0.072,"FNX","First Trust Mid Cap Core AlphaDEX ETF"
"FDM",0.029,0.088,1,-0.037,-0.016,-0.004,0.004,0.009,0.019,0.028,0.047,0.073,"FDM","First Trust Dow Jones Sel MicroCap ETF"
"FYX",0.041,0.123,1,-0.024,-0.013,-0.004,0.006,0.009,0.021,0.029,0.047,0.082,"FYX","First Trust Small Cap Core AlphaDEX ETF"
"QABA",0.015,0.051,1,-0.033,-0.016,-0.008,-0.001,0.003,0.014,0.025,0.039,0.07,"QABA","First Trust NASDAQ ABA Community Bk ETF"
"FBT",0.015,0.052,2,-0.03,-0.013,-0.005,0,0.004,0.014,0.024,0.034,0.066,"FBT","First Trust NYSE Arca Biotech ETF"
"FXH",0.02,0.066,2,-0.035,-0.011,-0.003,0.004,0.008,0.021,0.033,0.049,0.074,"FXH","First Trust Health Care AlphaDEX ETF"
"FEX",0.049,0.154,2,-0.024,-0.01,0.001,0.009,0.012,0.024,0.032,0.045,0.076,"FEX","First Trust Large Cap Core AlphaDEX ETF"
"FXO",0.021,0.069,2,-0.022,-0.008,-0.001,0.007,0.011,0.021,0.027,0.038,0.075,"FXO","First Trust Financials AlphaDEX ETF"
"FTCS",0.03,0.096,2,-0.027,-0.008,0.003,0.01,0.015,0.026,0.037,0.048,0.078,"FTCS","First Trust Capital Strength ETF"
"FTHI",0.023,0.076,2,-0.024,-0.011,-0.001,0.006,0.008,0.017,0.026,0.039,0.064,"FTHI","First Trust BuyWrite Income ETF"
"FVD",0.013,0.041,2,-0.024,-0.008,-0.002,0.003,0.005,0.017,0.026,0.039,0.06,"FVD","First Trust Value Line Dividend ETF"
"FXZ",0.025,0.086,2,-0.032,-0.011,-0.004,0.003,0.007,0.018,0.028,0.045,0.066,"FXZ","First Trust Materials AlphaDEX ETF"
"FTLB",0.023,0.077,2,-0.024,-0.008,-0.002,0.005,0.009,0.017,0.024,0.031,0.054,"FTLB","First Trust Hedged BuyWrite Income ETF"
"FXG",0.009,0.03,2,-0.036,-0.018,-0.01,-0.003,-0.001,0.013,0.021,0.031,0.058,"FXG","First Trust Cnsmr Staples AlphaDEX ETF"
"FMB",0.008,0.027,2,-0.036,-0.015,-0.008,-0.004,-0.002,0.008,0.014,0.031,0.07,"FMB","First Trust Managed Municipal ETF"
"RDVY",0.028,0.088,2,-0.026,-0.012,-0.003,0.005,0.009,0.018,0.028,0.04,0.071,"RDVY","First Trust Rising Dividend Achiev ETF"
"FTA",0.032,0.098,2,-0.029,-0.013,-0.005,0.004,0.008,0.016,0.026,0.037,0.074,"FTA","First Trust Large Cap Val AlphaDEX ETF"
