"","StationaryDistribution","GOP","Membership","QuantileSR.10","QuantileSR.25","QuantileSR.35","QuantileSR.45","QuantileSR.50","QuantileSR.65","QuantileSR.75","QuantileSR.85","QuantileSR.95","Symbol","Name"
"^GSPC",0.032,0.102,1,-0.021,-0.006,0.001,0.008,0.012,0.023,0.036,0.048,0.085,"-","-"
"^DJI",0.015,0.06,1,-0.022,-0.008,0,0.009,0.015,0.032,0.04,0.054,0.107,"-","-"
"^NYA",0.03,0.107,1,-0.025,-0.01,-0.001,0.009,0.012,0.023,0.033,0.044,0.081,"-","-"
"^RUA",0.03,0.113,1,-0.023,-0.006,0.001,0.01,0.012,0.024,0.033,0.05,0.113,"-","-"
"^RUI",0.034,0.108,1,-0.02,-0.005,0.002,0.008,0.012,0.024,0.034,0.046,0.083,"-","-"
"^SPEUP",0.004,0.017,1,-0.024,-0.013,-0.002,0.005,0.008,0.017,0.026,0.042,0.071,"-","-"
"IPKW",0.007,0.027,1,-0.036,-0.014,-0.004,0.005,0.01,0.024,0.035,0.056,0.107,"IPKW","PowerShares Intl BuyBack Achiev ETF"
"SSO",0.032,0.104,1,-0.021,-0.005,0,0.008,0.012,0.025,0.036,0.049,0.087,"SSO","ProShares Trust - ProShares Ultra S&P500"
"SMDD",0.015,0.059,1,-0.057,-0.031,-0.021,-0.015,-0.011,0,0.009,0.021,0.036,"SMDD","ProShares Trust - ProShares UltraPro Short MidCap400"
"SPHB",0.023,0.09,1,-0.027,-0.012,0,0.007,0.01,0.022,0.033,0.049,0.075,"SPHB","Invesco S&P 500 High Beta ETF"
"SPHQ",0.019,0.068,1,-0.024,-0.009,-0.001,0.008,0.01,0.023,0.032,0.048,0.083,"SPHQ","Invesco S&P 500 Quality ETF"
"RSP",0.025,0.09,1,-0.024,-0.008,0.001,0.007,0.011,0.021,0.031,0.045,0.086,"RSP","Invesco S&P 500 Equal Weight ETF"
"CZA",0.018,0.071,1,-0.023,-0.009,-0.002,0.005,0.01,0.023,0.032,0.045,0.076,"CZA","Invesco Zacks Mid-Cap ETF"
"KBWP",0.005,0.022,1,-0.029,-0.016,-0.01,-0.003,0.004,0.016,0.024,0.032,0.064,"KBWP","Invesco KBW Property & Casualty Ins ETF"
"RFV",0.016,0.06,1,-0.034,-0.011,-0.002,0.003,0.006,0.015,0.026,0.043,0.085,"RFV","Invesco S&P MidCap 400 Pure Value ETF"
"PRF",0.031,0.107,1,-0.024,-0.009,0.002,0.009,0.013,0.021,0.032,0.046,0.082,"PRF","Invesco FTSE RAFI US 1000 ETF"
"RTM",0.012,0.045,1,-0.028,-0.011,-0.003,0.004,0.007,0.019,0.027,0.038,0.086,"RTM","Invesco S&P 500 Equal Weight Matrls ETF"
"PWV",0.015,0.058,1,-0.037,-0.015,-0.007,0.002,0.005,0.018,0.028,0.042,0.064,"PWV","Invesco Dynamic Large Cap Value ETF"
"PKW",0.018,0.065,1,-0.029,-0.015,-0.008,0.001,0.008,0.022,0.034,0.049,0.079,"PKW","Invesco BuyBack Achievers ETF"
"RGI",0.017,0.066,1,-0.028,-0.013,-0.001,0.008,0.013,0.023,0.036,0.051,0.085,"RGI","Invesco S&P 500 Equal Wt Indls ETF"
"PPA",0.006,0.027,1,-0.028,-0.007,0,0.008,0.012,0.023,0.037,0.052,0.089,"PPA","Invesco Aerospace & Defense ETF"
"NFO",0.012,0.05,1,-0.023,-0.004,0.003,0.007,0.01,0.019,0.031,0.043,0.091,"NFO","Invesco Insider Sentiment ETF"
"PDN",0.007,0.028,1,-0.029,-0.015,-0.004,0.004,0.007,0.018,0.028,0.041,0.069,"PDN","Invesco FTSE RAFI Dev Mkts ex-US S/M ETF"
"PYZ",0.011,0.041,1,-0.03,-0.013,-0.005,0.003,0.007,0.019,0.029,0.044,0.071,"PYZ","Invesco DWA Basic Materials Momentum ETF"
"CUT",0.006,0.024,1,-0.03,-0.013,-0.004,0.006,0.01,0.021,0.031,0.043,0.068,"CUT","Invesco MSCI Global Timber ETF"
"EQWL",0.018,0.071,1,-0.018,-0.006,0.002,0.01,0.013,0.023,0.032,0.042,0.08,"EQWL","Invesco Russell Top 200 Equal Weight ETF"
"RYF",0.012,0.046,1,-0.032,-0.012,-0.005,0.002,0.006,0.018,0.028,0.045,0.091,"RYF","Invesco S&P 500 Equal Weight Fincl ETF"
"RPV",0.015,0.057,1,-0.035,-0.013,-0.003,0.007,0.01,0.019,0.03,0.048,0.088,"RPV","Invesco S&P 500 Pure Value ETF"
"PXLV",0.015,0.055,1,-0.026,-0.012,-0.005,0.003,0.006,0.017,0.029,0.042,0.067,"PXLV","Invesco Russell Top 200 Pure Value ETF"
"PSCM",0.013,0.048,1,-0.031,-0.015,-0.004,0.006,0.01,0.023,0.032,0.046,0.08,"PSCM","Invesco S&P SmallCap Materials ETF"
"KBWB",0.009,0.032,1,-0.026,-0.015,-0.006,0.002,0.006,0.017,0.029,0.044,0.088,"KBWB","Invesco KBW Bank ETF"
"KBWR",0.007,0.029,1,-0.031,-0.017,-0.009,-0.001,0.003,0.013,0.022,0.04,0.07,"KBWR","Invesco KBW Regional Banking ETF"
"^STOXX",0.004,0.016,2,-0.037,-0.014,-0.004,0.004,0.007,0.015,0.027,0.034,0.071,"-","-"
"CBND",0.004,0.019,2,-0.036,-0.018,-0.01,-0.005,-0.004,0.007,0.012,0.018,0.039,"CBND","SPDR Series Trust - SPDR Bloomberg Barclays Issuer Scored Corporate Bond ETF"
"FCOM",0.005,0.02,2,-0.042,-0.022,-0.011,-0.006,-0.002,0.009,0.019,0.033,0.062,"FCOM","Fidelity MSCI Telecommunication Svc ETF"
"GCE",0.004,0.016,2,-0.125,-0.024,-0.019,-0.008,-0.003,0.007,0.012,0.02,0.06,"GCE","Claymore CEF Index-Linked GS Connect Exchange Traded Notes"
"BOM",0.004,0.015,2,-0.285,-0.147,-0.117,-0.094,-0.087,-0.021,-0.007,0.021,16414.45,"BOM","DB Base Metals Double Short ETN"
"KBWY",0.007,0.026,2,-0.039,-0.021,-0.012,-0.005,-0.001,0.013,0.026,0.037,0.055,"KBWY","Invesco KBW Premium Yield Eq REIT ETF"
"PZT",0.005,0.019,2,-0.026,-0.015,-0.009,-0.005,-0.003,0.005,0.012,0.022,0.039,"PZT","Invesco New York AMT-Free Muni Bd ETF"
"XMLV",0.008,0.029,2,-0.023,-0.009,-0.004,0.004,0.006,0.017,0.026,0.035,0.058,"XMLV","Invesco S&P MidCap Low Volatility ETF"
"PSR",0.006,0.024,2,-0.044,-0.02,-0.01,-0.003,0.002,0.014,0.028,0.04,0.081,"PSR","Invesco Active US Real Estate"
"SPHD",0.006,0.026,2,-0.024,-0.009,-0.004,0.002,0.006,0.015,0.021,0.03,0.059,"SPHD","Invesco S&P 500 High Div Low Vol ETF"
"PUI",0.006,0.022,2,-0.04,-0.016,-0.005,0.001,0.004,0.014,0.025,0.04,0.06,"PUI","Invesco DWA Utilities Momentum ETF"
"SPLV",0.007,0.027,2,-0.02,-0.006,0.001,0.006,0.008,0.015,0.022,0.035,0.066,"SPLV","Invesco S&P 500 Low Volatility ETF"
"WREI",0.007,0.026,2,-0.037,-0.017,-0.011,-0.003,-0.001,0.014,0.021,0.034,0.071,"WREI","Invesco Wilshire US REIT ETF"
"PGHY",0.003,0.015,2,-0.033,-0.016,-0.011,-0.006,-0.004,0.004,0.011,0.021,0.038,"PGHY","Invesco Global Short Term Hi Yld Bd ETF"
"PEY",0.007,0.027,2,-0.032,-0.01,-0.002,0.004,0.007,0.016,0.021,0.032,0.051,"PEY","Invesco High Yield Eq Div Achiev ETF"
"GSY",0.004,0.015,2,-0.032,-0.01,0,0.011,0.015,0.022,0.032,0.042,0.064,"GSY","Invesco Ultra Short Duration ETF"
"RYU",0.006,0.021,2,-0.039,-0.02,-0.009,-0.001,0.003,0.012,0.023,0.04,0.077,"RYU","Invesco S&P 500 Equal Weight Utilts ETF"
"BSCJ",0.003,0.013,2,-0.031,-0.015,-0.011,-0.007,-0.004,0.005,0.011,0.017,0.036,"BSCJ","Invesco BulletShares 2019 Corp Bd ETF"
"DSUM",0.004,0.019,2,-0.032,-0.014,-0.006,-0.002,0,0.009,0.016,0.029,0.052,"DSUM","Invesco Chinese Yuan Dim Sum Bond ETF"
"PZA",0.006,0.023,2,-0.038,-0.019,-0.01,-0.005,0,0.008,0.018,0.029,0.057,"PZA","Invesco National AMT-Free Muni Bd ETF"
"BAB",0.006,0.022,2,-0.039,-0.022,-0.013,-0.007,-0.002,0.009,0.015,0.023,0.043,"BAB","Invesco Taxable Municipal Bond ETF"
"PCEF",0.005,0.022,2,-0.029,-0.014,-0.007,0.001,0.005,0.016,0.026,0.044,0.074,"PCEF","Invesco CEF Income Composite ETF"
"PSCU",0.005,0.02,2,-0.036,-0.013,-0.006,-0.001,0.001,0.012,0.02,0.03,0.059,"PSCU","Invesco S&P SmallCap Utilities ETF"
"^IXIC",0.019,0.067,3,-0.024,-0.007,0,0.009,0.015,0.023,0.032,0.046,0.071,"-","-"
"SCHG",0.021,0.071,3,-0.022,-0.006,0.001,0.01,0.013,0.026,0.035,0.051,0.079,"SCHG","Schwab US Large-Cap Growth ETF"
"DWAQ",0.01,0.04,3,-0.025,-0.009,-0.001,0.007,0.011,0.023,0.031,0.046,0.084,"DWAQ","Invesco DWA NASDAQ Momentum ETF"
