"","StationaryDistribution","GOP","Membership","QuantileSR.10","QuantileSR.25","QuantileSR.35","QuantileSR.45","QuantileSR.50","QuantileSR.65","QuantileSR.75","QuantileSR.85","QuantileSR.95","Symbol","Name"
"^GSPC",NA,NA,1,-0.021,-0.006,0.002,0.009,0.013,0.023,0.036,0.048,0.085,"-","-"
"^DJI",NA,NA,2,-0.022,-0.007,0.001,0.009,0.015,0.033,0.043,0.06,0.112,"-","-"
"^IXIC",NA,NA,3,-0.024,-0.007,0,0.009,0.015,0.023,0.032,0.046,0.071,"-","-"
"^NYA",NA,NA,4,-0.025,-0.01,0,0.008,0.012,0.023,0.033,0.046,0.081,"-","-"
"^RUT",NA,NA,5,-0.028,-0.015,-0.004,0.005,0.009,0.022,0.032,0.045,0.081,"-","-"
"^STOXX",NA,NA,6,-0.037,-0.014,-0.004,0.003,0.006,0.015,0.025,0.034,0.071,"-","-"
"^RUA",NA,NA,7,-0.024,-0.006,0.002,0.01,0.012,0.024,0.033,0.05,0.113,"-","-"
"^RUI",NA,NA,8,-0.02,-0.005,0.002,0.009,0.012,0.024,0.034,0.046,0.083,"-","-"
"^SPEUP",NA,NA,9,-0.024,-0.013,-0.002,0.005,0.007,0.017,0.026,0.042,0.071,"-","-"
"LDUR",NA,NA,10,-0.03,-0.014,-0.009,-0.006,-0.003,0.003,0.009,0.015,0.027,"LDUR","PIMCO Enhanced Low Duration Active ETF"
"MINT",NA,NA,11,-0.023,-0.013,0,0.01,0.013,0.024,0.031,0.042,0.063,"MINT","PIMCO Enhanced Short Maturity Active ETF"
"BOND",NA,NA,12,-0.039,-0.023,-0.015,-0.008,-0.004,0.005,0.011,0.018,0.046,"BOND","PIMCO Active Bond ETF"
"ZROZ",NA,NA,13,-0.031,-0.017,-0.008,-0.001,0.001,0.01,0.015,0.025,0.051,"ZROZ","PIMCO 25+ Year Zero Coupon US Trs ETF"
"LTPZ",NA,NA,14,-0.03,-0.017,-0.007,-0.002,0.003,0.011,0.019,0.028,0.059,"LTPZ","PIMCO 15+ Year US TIPS ETF"
