"","StationaryDistribution","GOP","Membership","QuantileSR.10","QuantileSR.25","QuantileSR.35","QuantileSR.45","QuantileSR.50","QuantileSR.65","QuantileSR.75","QuantileSR.85","QuantileSR.95","Symbol","Name"
"^RUT",0.031,0.095,1,-0.027,-0.015,-0.004,0.005,0.009,0.022,0.032,0.045,0.081,"-","-"
"BIL",0.006,0.022,1,-0.022,-0.011,0,0.011,0.014,0.021,0.03,0.041,0.073,"BIL","SPDR Blmbg Barclays 1-3 Mth T-Bill ETF"
"XTL",0.011,0.041,1,-0.035,-0.02,-0.011,-0.005,-0.002,0.01,0.024,0.037,0.072,"XTL","SPDR S&P Telecom ETF"
"XPH",0.01,0.037,1,-0.037,-0.019,-0.006,0.003,0.007,0.018,0.026,0.039,0.067,"XPH","SPDR Series Trust - SPDR S&P Pharmaceuticals ETF"
"SLYV",0.029,0.087,1,-0.032,-0.019,-0.01,0.002,0.005,0.02,0.029,0.048,0.076,"SLYV","SPDR Series Trust - SPDR S&P 600 Small Cap Value ETF"
"MDY",0.036,0.11,1,-0.025,-0.009,-0.002,0.006,0.009,0.018,0.031,0.045,0.07,"MDY","SPDR S&P MidCap 400 ETF Trust"
"XHE",0.011,0.039,1,-0.02,-0.006,0.002,0.008,0.011,0.024,0.033,0.042,0.077,"XHE","SPDR S&P Health Care Equipment ETF"
"XBI",0.007,0.027,1,-0.036,-0.016,-0.008,-0.002,0.002,0.012,0.025,0.038,0.069,"XBI","SPDR S&P Biotech ETF"
"SLY",0.034,0.098,1,-0.027,-0.016,-0.004,0.004,0.009,0.02,0.032,0.049,0.08,"SLY","SPDR S&P 600 Small Cap ETF"
"SLYG",0.026,0.081,1,-0.029,-0.014,-0.004,0.006,0.011,0.023,0.031,0.042,0.072,"SLYG","SPDR S&P 600 Small Cap Growth ETF"
"MDYG",0.034,0.108,1,-0.027,-0.01,-0.001,0.007,0.011,0.022,0.028,0.045,0.074,"MDYG","SPDR S&P 400 Mid Cap Growth ETF"
"SMLV",0.017,0.057,1,-0.03,-0.015,-0.007,0,0.005,0.016,0.023,0.037,0.071,"SMLV","SPDR SSGA US Small Cap Low Volatil ETF"
"MDYV",0.033,0.101,1,-0.025,-0.011,-0.004,0.002,0.005,0.016,0.028,0.042,0.076,"MDYV","SPDR S&P 400 Mid Cap Value ETF"
"XLU",0.007,0.026,1,-0.037,-0.019,-0.009,0,0.006,0.014,0.022,0.039,0.078,"XLU","Utilities Select Sector SPDR ETF"
"VLU",0.009,0.034,1,-0.035,-0.008,-0.001,0.003,0.009,0.023,0.037,0.051,0.099,"VLU","SPDR S&P 1500 Value Tilt ETF"
"KRE",0.014,0.044,1,-0.028,-0.014,-0.006,0,0.002,0.015,0.025,0.042,0.068,"KRE","SPDR S&P Regional Banking ETF"
"KBE",0.014,0.046,1,-0.027,-0.016,-0.007,0,0.004,0.017,0.025,0.043,0.073,"KBE","SPDR S&P Bank ETF"
"KCE",0.015,0.052,1,-0.026,-0.01,-0.005,0.002,0.006,0.02,0.03,0.046,0.085,"KCE","SPDR S&P Capital Markets ETF"
"^STOXX",0.006,0.022,2,-0.037,-0.013,-0.003,0.004,0.007,0.016,0.027,0.035,0.073,"-","-"
"^SPEUP",0.007,0.027,2,-0.024,-0.013,-0.002,0.005,0.008,0.017,0.026,0.042,0.071,"-","-"
"XLP",0.007,0.028,2,-0.047,-0.016,-0.006,-0.001,0.003,0.015,0.02,0.03,0.062,"XLP","Consumer Staples Select Sector SPDR ETF"
"MMTM",0.015,0.058,2,-0.025,-0.008,0.001,0.01,0.014,0.027,0.035,0.045,0.072,"MMTM","SPDR Series Trust - SPDR S&P 1500 Momentum Tilt ETF"
"BWZ",0.009,0.033,2,-0.036,-0.017,-0.009,-0.004,-0.001,0.007,0.014,0.026,0.043,"BWZ","SPDR Series Trust - SPDR Bloomberg Barclays Short Term International Treasury Bond ETF"
