"","StationaryDistribution","GOP","Membership","QuantileSR.10","QuantileSR.25","QuantileSR.35","QuantileSR.45","QuantileSR.50","QuantileSR.65","QuantileSR.75","QuantileSR.85","QuantileSR.95","Symbol","Name"
"^STOXX",0.012,0.039,1,-0.037,-0.014,-0.004,0.003,0.006,0.015,0.025,0.034,0.071,"-","-"
"^SPEUP",0.01,0.031,1,-0.024,-0.013,-0.002,0.005,0.007,0.017,0.026,0.042,0.071,"-","-"
"SCHP",0.015,0.039,1,-0.036,-0.018,-0.01,-0.004,0,0.01,0.015,0.022,0.041,"SCHP","Schwab U.S. TIPS ETF"
"SCHZ",0.016,0.041,1,-0.042,-0.025,-0.019,-0.009,-0.005,0.005,0.011,0.023,0.045,"SCHZ","Schwab U.S. Aggregate Bond ETF"
"SCHH",0.009,0.03,1,-0.042,-0.017,-0.01,-0.004,0.001,0.014,0.026,0.038,0.066,"SCHH","Schwab US REIT ETF"
"SCHR",0.017,0.046,1,-0.045,-0.021,-0.015,-0.008,-0.003,0.002,0.008,0.016,0.032,"SCHR","Schwab Intermediate-Term U.S. Treasury ETF"
"SCHO",0.012,0.04,1,-0.043,-0.024,-0.015,-0.012,-0.009,-0.002,0.003,0.017,0.036,"SCHO","Schwab Short-Term U.S. Treasury ETF"
"^RUT",0.021,0.059,2,-0.028,-0.015,-0.004,0.005,0.009,0.022,0.032,0.045,0.081,"-","-"
"SCHA",0.035,0.092,2,-0.03,-0.013,-0.003,0.005,0.01,0.021,0.033,0.05,0.078,"SCHA","Schwab US Small-Cap ETF"
"SCHG",0.037,0.1,2,-0.022,-0.005,0.001,0.01,0.013,0.026,0.036,0.052,0.079,"SCHG","Schwab US Large-Cap Growth ETF"
"SCHM",0.046,0.124,2,-0.023,-0.007,0.002,0.009,0.012,0.023,0.032,0.047,0.079,"SCHM","Schwab US Mid-Cap ETF"
"SCHX",0.061,0.156,2,-0.021,-0.005,0.002,0.008,0.012,0.025,0.035,0.046,0.087,"SCHX","Schwab US Large-Cap ETF"
"SCHB",0.066,0.171,2,-0.02,-0.005,0.001,0.009,0.012,0.024,0.035,0.045,0.083,"SCHB","Schwab US Broad Market ETF"
"FNDX",0.055,0.142,2,-0.028,-0.008,0.002,0.011,0.014,0.024,0.034,0.05,0.082,"FNDX","Schwab Fundamental US Large Company ETF"
"SCHD",0.029,0.081,2,-0.025,-0.005,0.002,0.009,0.013,0.025,0.036,0.051,0.096,"SCHD","Schwab US Dividend Equity ETF"
"SCHV",0.057,0.155,2,-0.023,-0.008,-0.001,0.006,0.01,0.021,0.033,0.045,0.068,"SCHV","Schwab US Large-Cap Value ETF"
"FNDB",0.049,0.144,2,-0.026,-0.009,0.002,0.01,0.013,0.023,0.034,0.05,0.117,"FNDB","Schwab Fundamental US Broad Market ETF"
"FNDA",0.034,0.092,2,-0.029,-0.013,-0.004,0.004,0.009,0.018,0.032,0.045,0.075,"FNDA","Schwab Fundamental U.S. Small Company Index ETF"
"^GSPC",0.046,0.112,3,-0.021,-0.006,0.002,0.009,0.013,0.023,0.036,0.048,0.085,"-","-"
"^DJI",0.032,0.097,3,-0.022,-0.007,0.001,0.009,0.015,0.033,0.043,0.06,0.112,"-","-"
"^IXIC",0.022,0.065,3,-0.024,-0.007,0,0.009,0.015,0.023,0.032,0.046,0.071,"-","-"
"^NYA",0.037,0.104,3,-0.025,-0.01,0,0.008,0.012,0.023,0.033,0.046,0.081,"-","-"
"^RUA",0.042,0.119,3,-0.024,-0.006,0.002,0.01,0.012,0.024,0.033,0.05,0.113,"-","-"
"^RUI",0.046,0.113,3,-0.02,-0.005,0.002,0.009,0.012,0.024,0.034,0.046,0.083,"-","-"
"FNDC",0.035,0.089,4,-0.027,-0.013,-0.005,0.004,0.009,0.02,0.033,0.05,0.075,"FNDC","Schwab Fundamental Intl Sm Co ETF"
"FNDF",0.034,0.086,4,-0.029,-0.014,-0.005,0.004,0.01,0.022,0.03,0.045,0.073,"FNDF","Schwab Fundamental Intl Lg Co ETF"
"FNDE",0.027,0.072,4,-0.037,-0.017,-0.009,-0.003,0.001,0.014,0.021,0.035,0.072,"FNDE","Schwab Fundamental Emerg Mkts Lg Co ETF"
"SCHF",0.038,0.096,4,-0.029,-0.016,-0.006,0.004,0.008,0.02,0.029,0.047,0.07,"SCHF","Schwab International Equity ETF"
"SCHE",0.026,0.07,4,-0.038,-0.016,-0.008,0,0.004,0.014,0.024,0.038,0.077,"SCHE","Schwab Emerging Markets Equity ETF"
"SCHC",0.032,0.085,4,-0.03,-0.016,-0.007,0.003,0.008,0.019,0.031,0.042,0.078,"SCHC","Schwab International Small-Cap Equity ETF"
