"","StationaryDistribution","GOP","Membership","QuantileSR.10","QuantileSR.25","QuantileSR.35","QuantileSR.45","QuantileSR.50","QuantileSR.65","QuantileSR.75","QuantileSR.85","QuantileSR.95","Symbol","Name"
"^STOXX",0.002,0.009,1,-0.037,-0.014,-0.004,0.004,0.007,0.015,0.027,0.034,0.071,"-","-"
"BLV",0.007,0.022,1,-0.035,-0.017,-0.01,-0.005,-0.002,0.007,0.016,0.024,0.046,"BLV","Vanguard Long-Term Bond ETF"
"BNDX",0.005,0.019,1,-0.034,-0.016,-0.006,0.002,0.004,0.015,0.027,0.039,0.062,"BNDX","Vanguard Total International Bond ETF"
"VGLT",0.009,0.026,1,-0.033,-0.018,-0.011,-0.002,0,0.01,0.015,0.025,0.044,"VGLT","Vanguard Scottsdale Funds - Vanguard Long-Term Government Bond ETF"
"VWOB",0.003,0.014,1,-0.046,-0.025,-0.016,-0.006,-0.003,0.006,0.013,0.024,0.057,"VWOB","Vanguard Whitehall Funds - Vanguard Emerging Markets Government Bond ETF"
"BIV",0.009,0.025,1,-0.044,-0.024,-0.017,-0.009,-0.007,0.001,0.007,0.016,0.032,"BIV","Vanguard Bond Index Funds - Vanguard Intermediate-Term Bond ETF"
"VTIP",0.003,0.012,1,-0.033,-0.017,-0.011,-0.005,0,0.012,0.019,0.027,0.047,"VTIP","Vanguard Short-Term Infl-Prot Secs ETF"
"EDV",0.008,0.026,1,-0.034,-0.015,-0.01,-0.002,0.001,0.009,0.016,0.027,0.053,"EDV","Vanguard Extended Duration Trs ETF"
"BSV",0.006,0.019,1,-0.048,-0.025,-0.017,-0.012,-0.01,-0.001,0.004,0.014,0.026,"BSV","Vanguard Bond Index Funds - Vanguard Short-Term Bond ETF"
"VGIT",0.008,0.028,1,-0.047,-0.026,-0.016,-0.009,-0.006,0.002,0.006,0.014,0.03,"VGIT","Vanguard Scottsdale Funds - Vanguard Intermediate-Term Government Bond ETF"
"VPU",0.003,0.012,1,-0.035,-0.016,-0.008,0.001,0.006,0.013,0.024,0.039,0.076,"VPU","Vanguard Utilities ETF"
"VCSH",0.006,0.02,1,-0.044,-0.025,-0.016,-0.012,-0.01,0,0.007,0.014,0.029,"VCSH","Vanguard Short-Term Corporate Bond ETF"
"VMBS",0.007,0.023,1,-0.038,-0.022,-0.015,-0.008,-0.005,0.005,0.008,0.017,0.034,"VMBS","Vanguard Mortgage-Backed Secs ETF"
"VCLT",0.004,0.015,1,-0.042,-0.019,-0.011,-0.002,0,0.008,0.015,0.027,0.05,"VCLT","Vanguard Long-Term Corporate Bd ETF"
"^DJI",0.017,0.058,2,-0.022,-0.008,0,0.009,0.015,0.032,0.04,0.054,0.107,"-","-"
"^SPEUP",0.003,0.011,2,-0.024,-0.013,-0.002,0.005,0.008,0.017,0.026,0.042,0.071,"-","-"
"VOOV",0.016,0.05,2,-0.028,-0.011,-0.003,0.007,0.009,0.02,0.03,0.045,0.08,"VOOV","Vanguard Admiral Funds - Vanguard S&P 500 Value ETF"
"VNQ",0.003,0.012,2,-0.039,-0.02,-0.011,-0.004,-0.001,0.015,0.027,0.044,0.062,"VNQ","Vanguard Real Estate ETF"
