"","StationaryDistribution","GOP","Membership","QuantileSR.10","QuantileSR.25","QuantileSR.35","QuantileSR.45","QuantileSR.50","QuantileSR.65","QuantileSR.75","QuantileSR.85","QuantileSR.95","Symbol","Name"
"^STOXX",0.014,0.045,1,-0.037,-0.014,-0.004,0.003,0.006,0.015,0.025,0.034,0.071,"-","-"
"^SPEUP",0.016,0.045,1,-0.024,-0.013,-0.002,0.005,0.007,0.017,0.026,0.042,0.071,"-","-"
"HEDJ",0.019,0.054,1,-0.028,-0.012,-0.003,0.004,0.008,0.019,0.028,0.042,0.075,"HEDJ","WisdomTree Europe Hedged Equity ETF"
"IHDG",0.018,0.051,1,-0.024,-0.008,-0.001,0.005,0.008,0.019,0.028,0.042,0.086,"IHDG","WisdomTree Intl Hdgd Qual Div Gr ETF"
"HYZD",0.009,0.03,1,-0.024,-0.012,-0.006,0,0.002,0.01,0.016,0.024,0.045,"HYZD","WisdomTree Interest Rt Hdg Hi Yld Bd ETF"
"DXJS",0.018,0.056,1,-0.027,-0.01,-0.001,0.005,0.009,0.02,0.028,0.04,0.077,"DXJS","WisdomTree Japan Hedged SmallCap Eq ETF"
"^GSPC",0.049,0.115,2,-0.021,-0.006,0.002,0.009,0.013,0.023,0.036,0.048,0.085,"-","-"
"^DJI",0.039,0.118,2,-0.022,-0.007,0.001,0.009,0.015,0.033,0.043,0.06,0.112,"-","-"
"^IXIC",0.022,0.063,2,-0.024,-0.007,0,0.009,0.015,0.023,0.032,0.046,0.071,"-","-"
"^NYA",0.047,0.127,2,-0.025,-0.01,0,0.008,0.012,0.023,0.033,0.046,0.081,"-","-"
"^RUT",0.022,0.066,2,-0.028,-0.015,-0.004,0.005,0.009,0.022,0.032,0.045,0.081,"-","-"
"^RUA",0.045,0.129,2,-0.024,-0.006,0.002,0.01,0.012,0.024,0.033,0.05,0.113,"-","-"
"^RUI",0.049,0.114,2,-0.02,-0.005,0.002,0.009,0.012,0.024,0.034,0.046,0.083,"-","-"
"CXSE",0.017,0.053,3,-0.039,-0.014,-0.006,0.004,0.008,0.021,0.032,0.048,0.073,"CXSE","WisdomTree China ex-State-Owd Entpr ETF"
"GULF",0.009,0.031,3,-0.022,-0.01,-0.004,0,0.005,0.013,0.02,0.029,0.072,"GULF","WisdomTree Middle East Dividend ETF"
"DLS",0.038,0.102,3,-0.031,-0.017,-0.005,0.005,0.01,0.024,0.033,0.05,0.075,"DLS","WisdomTree International SmallCp Div ETF"
"DRW",0.017,0.051,3,-0.031,-0.015,-0.006,0.002,0.007,0.019,0.026,0.038,0.068,"DRW","WisdomTree Global ex-US Real Estate ETF"
"DWM",0.031,0.086,3,-0.03,-0.016,-0.006,0.003,0.008,0.017,0.025,0.041,0.065,"DWM","WisdomTree International Equity ETF"
"DGS",0.02,0.058,3,-0.04,-0.019,-0.007,0.001,0.004,0.014,0.022,0.037,0.072,"DGS","WisdomTree Emerging Markets SmCp Div ETF"
"DFE",0.031,0.085,3,-0.038,-0.017,-0.011,0.001,0.007,0.021,0.03,0.044,0.084,"DFE","WisdomTree Europe SmallCap Dividend ETF"
"DFJ",0.019,0.058,3,-0.027,-0.011,-0.003,0.004,0.007,0.021,0.031,0.058,0.08,"DFJ","WisdomTree Japan SmallCap Dividend ETF"
"AUSE",0.012,0.038,3,-0.032,-0.014,-0.007,-0.001,0.002,0.011,0.017,0.03,0.052,"AUSE","WisdomTree Australia Dividend ETF"
"DES",0.03,0.081,4,-0.033,-0.015,-0.007,0.002,0.008,0.016,0.028,0.043,0.077,"DES","WisdomTree US SmallCap Dividend ETF"
"EES",0.031,0.083,4,-0.03,-0.017,-0.005,0.005,0.009,0.019,0.033,0.048,0.071,"EES","WisdomTree US SmallCap Earnings ETF"
"EZM",0.035,0.092,4,-0.023,-0.012,-0.002,0.003,0.007,0.018,0.027,0.039,0.071,"EZM","WisdomTree US MidCap Earnings ETF"
"DON",0.039,0.105,4,-0.019,-0.006,0.002,0.007,0.009,0.017,0.024,0.037,0.078,"DON","WisdomTree US MidCap Dividend ETF"
"DGRW",0.055,0.141,5,-0.026,-0.007,0.003,0.01,0.014,0.027,0.036,0.05,0.082,"DGRW","WisdomTree US Quality Dividend Gr ETF"
"DTN",0.033,0.091,5,-0.025,-0.011,-0.003,0.004,0.007,0.019,0.027,0.041,0.074,"DTN","WisdomTree US Dividend ex-Financials ETF"
"EPS",0.057,0.15,5,-0.023,-0.007,0,0.006,0.009,0.023,0.032,0.043,0.074,"EPS","WisdomTree US Earnings 500 ETF"
"EXT",0.037,0.101,5,-0.025,-0.006,0,0.007,0.009,0.022,0.031,0.041,0.073,"EXT","WisdomTree US Total Earnings ETF"
"DTD",0.063,0.17,5,-0.022,-0.006,0.001,0.008,0.01,0.019,0.031,0.042,0.089,"DTD","WisdomTree US Total Dividend ETF"
"DLN",0.061,0.16,5,-0.023,-0.007,-0.001,0.008,0.011,0.022,0.035,0.047,0.076,"DLN","WisdomTree US LargeCap Dividend ETF"
