"","StationaryDistribution","GOP","Membership","QuantileSR.10","QuantileSR.25","QuantileSR.35","QuantileSR.45","QuantileSR.50","QuantileSR.65","QuantileSR.75","QuantileSR.85","QuantileSR.95","Symbol","Name"
"^NYA",0.02,0.076,1,-0.025,-0.01,-0.001,0.009,0.012,0.023,0.033,0.044,0.081,"-","-"
"ACWV",0.008,0.034,1,-0.027,-0.01,-0.001,0.006,0.009,0.022,0.03,0.049,0.087,"ACWV","iShares, Inc. - iShares Edge MSCI Min Vol Global ETF"
"LQDH",0.003,0.013,1,-0.039,-0.016,-0.007,0.002,0.007,0.02,0.03,0.052,0.079,"LQDH","iShares Interest Rate Hedged Corp Bd ETF"
"AAIT",0.003,0.012,1,-53.931,-0.075,-0.042,-0.03,-0.025,-0.005,0.01,0.024,0.064,"AAIT","iShares MSCI All Country Asia Info Tech"
"HEWJ",0.004,0.016,1,-0.024,-0.01,-0.002,0.007,0.01,0.023,0.03,0.039,0.06,"HEWJ","iShares Trust - iShares Currency Hedged MSCI Japan ETF"
"GSG",0.003,0.015,1,-0.024,-0.012,-0.002,0.007,0.011,0.02,0.028,0.043,0.067,"GSG","iShares S&P GSCI Commodity-Indexed Trust"
"IVE",0.014,0.055,1,-0.029,-0.012,-0.003,0.006,0.01,0.021,0.031,0.046,0.079,"IVE","iShares Trust - iShares S&P 500 Value ETF"
"IBMG",0.002,0.009,1,-0.022,-0.011,-0.006,0,0,0.004,0.008,0.012,0.026,"IBMG","iShares iBonds Sep 2018 Term Muni Bd ETF"
"EMHY",0.004,0.016,1,-0.045,-0.023,-0.011,-0.005,-0.002,0.006,0.016,0.022,0.044,"EMHY","iShares Emerging Markets High Yld Bd ETF"
"IYR",0.004,0.017,1,-0.039,-0.018,-0.009,-0.004,0,0.016,0.028,0.043,0.074,"IYR","iShares US Real Estate ETF"
"IYJ",0.011,0.046,1,-0.026,-0.009,0.001,0.01,0.013,0.023,0.034,0.05,0.082,"IYJ","iShares US Industrials ETF"
"IYE",0.005,0.019,1,-0.038,-0.012,-0.003,0.003,0.008,0.017,0.028,0.041,0.069,"IYE","iShares US Energy ETF"
"AOR",0.011,0.046,1,-0.026,-0.013,-0.004,0.003,0.008,0.02,0.027,0.036,0.068,"AOR","iShares Core Growth Allocation ETF"
"CIU",0.003,0.012,1,-0.046,-0.024,-0.019,-0.012,-0.008,0.002,0.007,0.019,0.032,"CIU","iShares Intermediate Credit Bond ETF"
"HYGH",0.004,0.016,1,-0.037,-0.014,-0.008,-0.003,0.001,0.015,0.028,0.043,0.086,"HYGH","iShares U.S. ETF Trust - iShares Interest Rate Hedged High Yield Bond ETF"
"KXI",0.003,0.014,1,-0.032,-0.013,-0.005,0.001,0.004,0.015,0.021,0.032,0.053,"KXI","iShares Global Consumer Staples ETF"
"FLOT",0.003,0.011,1,-0.022,-0.011,-0.003,0.004,0.007,0.017,0.025,0.034,0.063,"FLOT","iShares Trust - iShares Floating Rate Bond ETF"
"IYM",0.008,0.031,1,-0.029,-0.012,-0.005,0.005,0.009,0.018,0.025,0.041,0.072,"IYM","iShares US Basic Materials ETF"
"ITA",0.004,0.016,1,-0.03,-0.008,0,0.006,0.009,0.023,0.035,0.048,0.088,"ITA","iShares US Aerospace & Defense ETF"
"JKI",0.011,0.045,1,-0.026,-0.012,-0.003,0.005,0.008,0.018,0.027,0.04,0.079,"JKI","iShares Trust - iShares Morningstar Mid-Cap Value ETF"
"REM",0.003,0.013,1,-0.027,-0.015,-0.007,-0.001,0.004,0.015,0.027,0.037,0.068,"REM","iShares Trust - iShares Mortgage Real Estate Capped ETF"
"FILL",0.005,0.019,1,-0.028,-0.01,-0.001,0.007,0.01,0.019,0.032,0.046,0.067,"FILL","iShares MSCI Global Energy Producers ETF"
"REZ",0.004,0.016,1,-0.046,-0.021,-0.012,-0.004,0.002,0.013,0.025,0.042,0.06,"REZ","iShares Residential Real Estate Capd ETF"
"AOA",0.014,0.054,1,-0.028,-0.012,-0.004,0.005,0.01,0.021,0.029,0.039,0.065,"AOA","iShares Core Aggressive Allocation ETF"
"IDU",0.003,0.012,1,-0.035,-0.018,-0.008,0,0.005,0.014,0.025,0.039,0.084,"IDU","iShares US Utilities ETF"
"WOOD",0.005,0.024,1,-0.028,-0.009,0,0.007,0.011,0.024,0.037,0.044,0.07,"WOOD","iShares Global Timber & Forestry ETF"
"EWD",0.006,0.025,1,-0.036,-0.017,-0.01,-0.003,0.003,0.015,0.026,0.041,0.073,"EWD","iShares MSCI Sweden Capped ETF"
"EWC",0.005,0.02,1,-0.031,-0.013,-0.004,0.005,0.007,0.02,0.028,0.041,0.071,"EWC","iShares MSCI Canada ETF"
"AOM",0.007,0.028,1,-0.027,-0.011,-0.005,0.002,0.005,0.015,0.023,0.033,0.063,"AOM","iShares Core Moderate Allocation ETF"
"IXC",0.005,0.02,1,-0.037,-0.01,0,0.007,0.01,0.022,0.034,0.049,0.094,"IXC","iShares Global Energy ETF"
"IBMH",0.003,0.011,1,-0.032,-0.013,-0.007,-0.003,0,0.004,0.009,0.021,0.035,"IBMH","iShares iBonds Sep 2019 Term Muni Bd ETF"
"IYF",0.009,0.033,1,-0.025,-0.009,-0.003,0.003,0.007,0.021,0.028,0.043,0.088,"IYF","iShares U.S. Financials ETF"
"EUFN",0.006,0.025,1,-0.036,-0.02,-0.012,-0.003,-0.001,0.011,0.02,0.033,0.063,"EUFN","iShares MSCI Europe Financials ETF"
"IYG",0.007,0.028,1,-0.026,-0.012,-0.006,0.004,0.008,0.021,0.029,0.045,0.082,"IYG","iShares U.S. Financial Services ETF"
"IAT",0.006,0.024,1,-0.028,-0.013,-0.006,0.001,0.004,0.016,0.028,0.043,0.077,"IAT","iShares U.S. Regional Banks ETF"
"IXG",0.009,0.035,1,-0.032,-0.017,-0.007,0.001,0.006,0.017,0.028,0.047,0.069,"IXG","iShares Global Financials ETF"
