"","StationaryDistribution","GOP","Membership","QuantileSR.10","QuantileSR.25","QuantileSR.35","QuantileSR.45","QuantileSR.50","QuantileSR.65","QuantileSR.75","QuantileSR.85","QuantileSR.95","Symbol","Name"
"INDA",0.007,0.027,1,-0.037,-0.016,-0.006,0.002,0.007,0.016,0.024,0.035,0.055,"INDA","iShares Trust - iShares MSCI India ETF"
"EWM",0.007,0.03,1,-0.037,-0.016,-0.009,0.003,0.005,0.014,0.023,0.037,0.097,"EWM","iShares MSCI Malaysia ETF"
"EEM",0.027,0.093,1,-0.036,-0.015,-0.008,-0.001,0.003,0.015,0.024,0.034,0.071,"EEM","iShares MSCI Emerging Markets ETF"
"UAE",0.005,0.021,1,-0.038,-0.019,-0.012,-0.004,0,0.008,0.018,0.031,0.07,"UAE","iShares MSCI UAE Capped ETF"
"EWZS",0.007,0.026,1,-0.028,-0.019,-0.012,-0.006,-0.002,0.011,0.023,0.044,0.076,"EWZS","iShares Trust - iShares MSCI Brazil Small-Cap ETF"
"SMIN",0.006,0.024,1,-0.044,-0.019,-0.009,-0.003,0.006,0.022,0.031,0.044,0.071,"SMIN","iShares MSCI India Small-Cap ETF"
"EPU",0.006,0.024,1,-0.045,-0.016,-0.004,0.002,0.006,0.02,0.028,0.038,0.065,"EPU","iShares MSCI All Peru Capped ETF"
"AAIT",0.005,0.022,1,-53.685,-0.075,-0.042,-0.03,-0.025,-0.003,0.01,0.024,0.064,"AAIT","iShares MSCI All Country Asia Info Tech"
"EWY",0.007,0.028,1,-0.033,-0.015,-0.008,-0.003,0.001,0.01,0.021,0.032,0.054,"EWY","iShares MSCI South Korea Capped ETF"
"ECNS",0.007,0.026,1,-0.035,-0.015,-0.009,-0.001,0.004,0.016,0.029,0.05,0.077,"ECNS","iShares MSCI China Small-Cap ETF"
"PICK",0.006,0.025,1,-0.036,-0.017,-0.01,-0.001,0.004,0.014,0.025,0.041,0.086,"PICK","iShares, Inc. - iShares MSCI Global Metals & Mining Producers ETF"
"TUR",0.005,0.021,1,-0.047,-0.024,-0.014,-0.008,-0.005,0.004,0.011,0.024,0.05,"TUR","iShares MSCI Turkey ETF"
"EEMS",0.016,0.06,1,-0.033,-0.017,-0.006,0,0.003,0.014,0.022,0.033,0.071,"EEMS","iShares, Inc. - iShares MSCI Emerging Markets Small-Cap ETF"
"EPOL",0.01,0.041,1,-0.042,-0.023,-0.014,-0.007,0,0.013,0.027,0.04,0.08,"EPOL","iShares Trust - iShares MSCI Poland Capped ETF"
"EWS",0.007,0.03,1,-0.043,-0.016,-0.009,-0.001,0.001,0.018,0.028,0.036,0.059,"EWS","iShares MSCI Singapore Capped ETF"
"EPHE",0.006,0.024,1,-0.044,-0.017,-0.012,-0.006,0.001,0.012,0.019,0.032,0.058,"EPHE","iShares MSCI Philippines ETF"
"AAXJ",0.024,0.08,1,-0.034,-0.015,-0.007,0.001,0.005,0.015,0.025,0.038,0.056,"AAXJ","iShares MSCI All Country Asia ex Jpn ETF"
"KLD",0.006,0.024,1,-121.343,-0.033,-0.01,0.01,0.021,0.051,11.822,40.289,79.24,"KLD","iShares MSCI USA ESG Select ETF"
"THD",0.007,0.028,1,-0.029,-0.011,-0.003,0.003,0.007,0.019,0.026,0.036,0.058,"THD","iShares, Inc. - iShares MSCI Thailand Capped ETF"
"EIDO",0.006,0.026,1,-0.05,-0.021,-0.01,-0.004,0.001,0.011,0.017,0.033,0.07,"EIDO","iShares MSCI Indonesia ETF"
"EZA",0.007,0.029,1,-0.037,-0.018,-0.013,-0.005,-0.003,0.01,0.024,0.038,0.071,"EZA","iShares, Inc. - iShares MSCI South Africa ETF"
"EWZ",0.008,0.028,1,-0.032,-0.017,-0.01,-0.004,-0.001,0.011,0.023,0.036,0.066,"EWZ","iShares MSCI Brazil Capped ETF"
"SLVP",0.006,0.022,1,-0.04,-0.022,-0.015,-0.006,-0.005,0.007,0.014,0.026,0.042,"SLVP","iShares, Inc. - iShares MSCI Global Silver Miners ETF"
