"","StationaryDistribution","Membership","QuantileSR.10","QuantileSR.25","QuantileSR.35","QuantileSR.45","QuantileSR.50","QuantileSR.65","QuantileSR.75","QuantileSR.85","QuantileSR.95","Name","Exchange","Category.Name","Country"
"ABX.TO",NA,1,-0.025,-0.016,-0.009,-0.004,-0.002,0.004,0.009,0.015,0.025,"Barrick Gold Corporation","TOR","Gold","Canada"
"AC.TO",NA,1,-0.022,-0.011,-0.005,-0.001,0.002,0.01,0.015,0.022,0.031,"Air Canada","TOR","","Canada"
"AD.TO",NA,1,-0.025,-0.014,-0.011,-0.007,-0.005,0.002,0.006,0.016,0.028,"Alaris Royalty Corp.","TOR","Credit Services","Canada"
"AEM.TO",NA,1,-0.021,-0.011,-0.006,0,0.003,0.009,0.013,0.018,0.027,"Agnico Eagle Mines Limited","TOR","Gold","Canada"
"AKG.TO",NA,1,-0.038,-0.017,-0.009,-0.004,-0.001,0.007,0.012,0.024,0.035,"Asanko Gold Inc.","TOR","Gold","Canada"
"AOT.V",NA,1,-0.028,-0.015,-0.01,-0.007,-0.006,0,0.004,0.01,0.019,"Ascot Resources Ltd.","VAN","Industrial Metals & Minerals","Canada"
"ATA.TO",NA,1,-0.019,-0.009,-0.001,0.003,0.007,0.015,0.02,0.031,0.049,"ATS Automation Tooling Systems Inc.","TOR","Diversified Machinery","Canada"
"BMO.TO",NA,1,-0.019,-0.01,-0.004,0.005,0.009,0.023,0.03,0.043,0.06,"Bank of Montreal","TOR","Money Center Banks","Canada"
"BNS.TO",NA,1,-0.023,-0.012,-0.008,-0.002,0,0.008,0.02,0.029,0.045,"The Bank of Nova Scotia","TOR","Money Center Banks","Canada"
"BOS.TO",NA,1,-0.021,-0.012,-0.006,-0.001,0.001,0.006,0.013,0.021,0.034,"Airboss of America Corp.","TOR","Rubber & Plastics","Canada"
"BTO.TO",NA,1,-0.022,-0.012,-0.007,-0.004,0,0.005,0.01,0.014,0.024,"B2Gold Corp.","TOR","Gold","Canada"
"CBL.TO",NA,1,-0.033,-0.022,-0.017,-0.013,-0.011,-0.002,0.003,0.012,0.027,"Callidus Capital Corporation","TOR","Credit Services","Canada"
"CFP.TO",NA,1,-0.011,-0.001,0.005,0.009,0.011,0.016,0.019,0.023,0.035,"Canfor Corporation","TOR","Lumber, Wood Production","Canada"
"CM.TO",NA,1,-0.021,-0.012,-0.003,0.004,0.008,0.015,0.021,0.029,0.054,"Canadian Imperial Bank of Commerce","TOR","Money Center Banks","Canada"
"CNE.TO",NA,1,-0.02,-0.009,-0.004,0,0.001,0.006,0.01,0.015,0.027,"Canacol Energy Ltd","TOR","Industrial Metals & Minerals","Canada"
"CTO.V",NA,1,-0.016,-0.006,-0.003,0,0.001,0.008,0.013,0.02,0.024,"Circa Enterprises Inc.","VAN","Diversified Electronics","Canada"
"CWB.TO",NA,1,-0.021,-0.005,0.003,0.008,0.009,0.015,0.022,0.027,0.038,"Canadian Western Bank","TOR","Money Center Banks","Canada"
"DRM.TO",NA,1,-0.02,-0.008,-0.001,0.005,0.007,0.013,0.017,0.027,0.04,"Dream Unlimited Corp.","TOR","Real Estate Development","Canada"
"EFL.TO",NA,1,-0.031,-0.022,-0.016,-0.012,-0.009,-0.002,0.001,0.005,0.011,"Electrovaya Inc.","TOR","Diversified Electronics","Canada"
"EFN.TO",NA,1,-0.024,-0.013,-0.008,-0.001,0.001,0.008,0.012,0.017,0.03,"Element Fleet Management Corp.","TOR","Credit Services","Canada"
"ELD.TO",NA,1,-0.028,-0.017,-0.011,-0.006,-0.003,0.004,0.007,0.014,0.026,"Eldorado Gold Corporation","TOR","Gold","Canada"
"ENB.TO",NA,1,-0.029,-0.016,-0.01,-0.004,-0.002,0.006,0.011,0.016,0.035,"Enbridge Inc.","TOR","Oil & Gas Pipelines","Canada"
"ESP.TO",NA,1,-0.026,-0.016,-0.012,-0.007,-0.006,-0.002,0.004,0.011,0.024,"Espial Group Inc.","TOR","Technical & System Software","Canada"
"EXE.TO",NA,1,-0.028,-0.015,-0.012,-0.009,-0.007,-0.002,0.001,0.009,0.018,"Extendicare Inc.","TOR","Long-Term Care Facilities","Canada"
"FM.TO",NA,1,-0.016,-0.009,-0.003,0.001,0.005,0.015,0.021,0.027,0.036,"First Quantum Minerals Ltd.","TOR","Industrial Metals & Minerals","Canada"
"FSW.V",NA,1,-0.154,-0.124,-0.016,-0.009,-0.008,0,0,0.006,0.012,"Fireswirl Technologies Inc.","VAN","Internet Information Providers","Canada"
"FSZ.TO",NA,1,-0.021,-0.013,-0.008,-0.003,-0.002,0.005,0.009,0.017,0.025,"Fiera Capital Corporation","TOR","Asset Management","Canada"
"GDC.TO",NA,1,-0.016,-0.007,-0.003,0,0.002,0.008,0.011,0.016,0.025,"Genesis Land Development Corp.","TOR","Real Estate Development","Canada"
"GWR.TO",NA,1,-0.018,-0.011,-0.007,-0.004,-0.002,0.003,0.008,0.017,0.024,"Global Water Resources, Inc.","TOR","Water Utilities","Canada"
"HBM.TO",NA,1,-0.023,-0.012,-0.004,-0.001,0.001,0.009,0.014,0.02,0.033,"Hudbay Minerals Inc.","TOR","Industrial Metals & Minerals","Canada"
"INE.TO",NA,1,-0.02,-0.01,-0.006,-0.003,-0.001,0.006,0.01,0.016,0.025,"Innergex Renewable Energy Inc.","TOR","Diversified Utilities","Canada"
"K.TO",NA,1,-0.021,-0.01,-0.008,-0.004,-0.001,0.007,0.012,0.019,0.028,"Kinross Gold Corporation","TOR","","Canada"
"KUB.V",NA,1,-0.151,-0.016,-0.009,0,0,0,0,0.009,0.016,"CUB Energy Inc.","VAN","Independent Oil & Gas","Canada"
"LB.TO",NA,1,-0.023,-0.015,-0.011,-0.005,-0.003,0.005,0.01,0.018,0.033,"Laurentian Bank of Canada","TOR","Money Center Banks","Canada"
"LUN.TO",NA,1,-0.017,-0.009,-0.004,0.001,0.002,0.01,0.014,0.021,0.035,"Lundin Mining Corporation","TOR","Industrial Metals & Minerals","Canada"
"LYD.TO",NA,1,-0.021,-0.01,-0.007,0,0,0.005,0.009,0.014,0.019,"Lydian International Limited","TOR","Industrial Metals & Minerals","Canada"
"MDV.V",NA,1,-0.14,-0.107,-0.017,-0.012,-0.007,0,0.008,0.016,0.024,"Megastar Development Corp.","VAN","Industrial Metals & Minerals","Canada"
"MFC.TO",NA,1,-0.021,-0.009,-0.005,-0.001,0.002,0.01,0.017,0.024,0.031,"Manulife Financial Corporation","TOR","Life Insurance","Canada"
"MIT.V",NA,1,-0.019,-0.01,-0.006,-0.003,0,0.005,0.009,0.014,0.023,"The Mint Corporation","VAN","Credit Services","Canada"
"MMA.V",NA,1,-0.023,-0.011,-0.006,-0.003,-0.002,0.002,0.005,0.011,0.019,"Midnight Sun Mining Corp","VAN","Industrial Metals & Minerals","Canada"
"MOZ.TO",NA,1,-0.019,-0.01,-0.007,-0.003,-0.002,0.001,0.004,0.01,0.024,"Marathon Gold Corporation","TOR","Gold","Canada"
"MPC.TO",NA,1,-0.022,-0.008,-0.004,0,0,0.005,0.008,0.015,0.021,"Madison Pacific Properties Inc.","TOR","Diversified Electronics","Canada"
"MRD.TO",NA,1,-0.019,-0.01,-0.007,-0.001,0,0.006,0.01,0.014,0.023,"Melcor Developments Ltd.","TOR","Real Estate Development","Canada"
"NA.TO",NA,1,-0.02,-0.006,0,0.007,0.009,0.021,0.027,0.036,0.047,"National Bank of Canada","TOR","Money Center Banks","Canada"
"NPS.TO",NA,1,-0.165,-0.051,-0.017,-0.016,-0.014,0,0.005,0.011,0.02,"Northern Power Systems Corp.","TOR","Diversified Machinery","Canada"
"NVX.V",NA,1,-0.021,-0.013,-0.009,-0.006,-0.004,0,0.006,0.013,0.023,"NV Gold Corporation","VAN","Gold","Canada"
"PWF.TO",NA,1,-0.026,-0.011,-0.007,-0.003,0,0.007,0.013,0.023,0.044,"Power Financial Corporation","TOR","Life Insurance","Canada"
"RFC.V",NA,1,-0.018,-0.01,-0.006,-0.003,0,0.003,0.006,0.011,0.024,"RIFCO Inc.","VAN","Credit Services","Canada"
"RY.TO",NA,1,-0.02,-0.011,-0.004,0.002,0.005,0.011,0.02,0.041,0.059,"Royal Bank of Canada","TOR","Money Center Banks","Canada"
"SSC.V",NA,1,-0.117,-0.016,-0.009,0,0,0,0.009,0.013,0.023,"SmartCool Systems Inc.","VAN","Diversified Electronics","Canada"
"TD.TO",NA,1,-0.02,-0.009,0,0.005,0.008,0.017,0.025,0.04,0.058,"The Toronto-Dominion Bank","TOR","Money Center Banks","Canada"
