"","StationaryDistribution","GOP","Membership","QuantileSR.10","QuantileSR.25","QuantileSR.35","QuantileSR.45","QuantileSR.50","QuantileSR.65","QuantileSR.75","QuantileSR.85","QuantileSR.95","Name","Exchange","Category.Name","Country"
"TGV.V",0.004,0.018,2,-0.159,-0.021,-0.017,0,0,0,0,0.016,0.023,"Tango Mining Limited","VAN","","Canada"
"GPV.V",0.004,0.019,4,-0.036,-0.016,-0.01,-0.005,-0.002,0.005,0.012,0.021,0.038,"GreenPower Motor Company Inc.","VAN","Auto Manufacturers - Major","Canada"
"ACD.TO",0.005,0.02,2,-0.091,-0.021,-0.011,0,0,0.012,0.021,0.027,0.072,"Accord Financial Corp.","TOR","Credit Services","Canada"
"CNE.TO",0.005,0.02,2,-0.045,-0.019,-0.009,-0.004,0,0.011,0.018,0.027,0.05,"Canacol Energy Ltd","TOR","Industrial Metals & Minerals","Canada"
"RFC.V",0.004,0.02,2,-0.035,-0.019,-0.011,-0.004,-0.002,0.004,0.011,0.024,0.063,"RIFCO Inc.","VAN","Credit Services","Canada"
"EXE.TO",0.004,0.021,2,-0.044,-0.029,-0.019,-0.013,-0.01,0,0.008,0.018,0.043,"Extendicare Inc.","TOR","Long-Term Care Facilities","Canada"
"GDC.TO",0.004,0.021,2,-0.04,-0.017,-0.008,-0.002,0,0.009,0.017,0.023,0.051,"Genesis Land Development Corp.","TOR","Real Estate Development","Canada"
"MPC.TO",0.005,0.021,3,-0.291,-0.029,-0.021,-0.001,0,0.01,0.021,0.022,0.257,"Madison Pacific Properties Inc.","TOR","Diversified Electronics","Canada"
"MRD.TO",0.004,0.021,2,-0.035,-0.017,-0.008,-0.002,0,0.008,0.017,0.025,0.043,"Melcor Developments Ltd.","TOR","Real Estate Development","Canada"
"TSP.V",0.004,0.021,2,-0.354,-0.192,-0.14,-0.12,-0.099,-0.021,-0.011,0.004,0.041,"TitanStar Properties Inc.","VAN","Real Estate Development","Canada"
"DVG.V",0.004,0.021,4,-0.454,-0.124,-0.021,-0.013,-0.011,0,0,0.021,0.045,"Divergent Energy Services Corp.","VAN","","Canada"
"RBA.TO",0.004,0.021,2,-0.03,-0.012,0,0.009,0.012,0.021,0.027,0.037,0.052,"Ritchie Bros. Auctioneers Incorporated","TOR","Business Services","Canada"
"AVX.V",0.004,0.021,2,-0.311,-0.11,-0.036,-0.021,-0.021,-0.007,0,0,0.021,"Altair Resources Inc.","VAN","","Canada"
"TVL.V",0.004,0.021,2,-0.043,-0.022,-0.016,-0.008,-0.006,0.003,0.013,0.021,0.055,"Traverse Energy Ltd.","VAN","Independent Oil & Gas","Canada"
