"","StationaryDistribution","GOP","Membership","QuantileSR.10","QuantileSR.25","QuantileSR.35","QuantileSR.45","QuantileSR.50","QuantileSR.65","QuantileSR.75","QuantileSR.85","QuantileSR.95","Name","Exchange","Category.Name","Country"
"^IBEX",0.02,0.079,1,-0.039,-0.019,-0.011,-0.004,0,0.013,0.022,0.034,0.066,"-","-","-","-"
"ABE.MC",0.006,0.023,1,-0.034,-0.016,-0.006,0,0.003,0.017,0.024,0.032,0.064,"Abertis Infraestructuras, S.A.","MCE","General Contractors","Spain"
"IAG.MC",0.007,0.032,1,-0.03,-0.008,-0.004,0.002,0.004,0.015,0.023,0.037,0.059,"International Consolidated Airlines Group, S.A.","MCE","","Spain"
"TEF.MC",0.012,0.047,1,-0.056,-0.029,-0.022,-0.012,-0.008,0.005,0.013,0.023,0.047,"Telefónica, S.A.","MCE","Wireless Communications","Spain"
"ENG.MC",0.008,0.033,1,-0.032,-0.019,-0.012,-0.002,0.001,0.012,0.021,0.035,0.059,"Enagás, S.A.","MCE","Gas Utilities","Spain"
"REE.MC",0.008,0.034,1,-0.04,-0.02,-0.011,-0.005,-0.003,0.008,0.017,0.03,0.063,"Red Eléctrica Corporación, S.A.","MCE","Electric Utilities","Spain"
"FER.MC",0.01,0.043,1,-0.048,-0.023,-0.015,-0.003,0,0.011,0.019,0.032,0.059,"Ferrovial, S.A.","MCE","Heavy Construction","Spain"
"ANA.MC",0.007,0.032,1,-0.039,-0.022,-0.017,-0.007,-0.004,0.007,0.018,0.029,0.073,"Acciona, S.A.","MCE","General Contractors","Spain"
"IBE.MC",0.011,0.044,1,-0.047,-0.024,-0.014,-0.002,0.002,0.012,0.021,0.034,0.053,"Iberdrola, S.A.","MCE","Diversified Utilities","Spain"
"MEL.MC",0.008,0.035,1,-0.044,-0.025,-0.015,-0.005,-0.001,0.009,0.015,0.024,0.05,"Meliá Hotels International, S.A.","MCE","","Spain"
"ITX.MC",0.008,0.034,1,-0.048,-0.023,-0.015,-0.009,-0.004,0.01,0.018,0.029,0.052,"Industria de Diseño Textil, S.A.","MCE","Apparel Stores","Spain"
"MRL.MC",0.007,0.031,1,-0.035,-0.017,-0.009,0.001,0.004,0.017,0.023,0.036,0.053,"Merlin Properties Socimi, S.A.","MCE","","Spain"
"ELE.MC",0.011,0.047,1,-0.044,-0.021,-0.011,-0.001,0.002,0.012,0.021,0.033,0.059,"Endesa, S.A.","MCE","Diversified Utilities","Spain"
"TRE.MC",0.006,0.028,1,-0.043,-0.022,-0.016,-0.008,-0.004,0.01,0.021,0.036,0.067,"Técnicas Reunidas, S.A.","MCE","General Contractors","Spain"
"SAB.MC",0.01,0.043,1,-0.038,-0.024,-0.017,-0.008,-0.006,0.005,0.011,0.024,0.057,"Banco de Sabadell, S.A.","MCE","Money Center Banks","Spain"
"DIA.MC",0.008,0.036,1,-0.07,-0.038,-0.024,-0.014,-0.011,0,0.006,0.016,0.047,"Distribuidora Internacional de Alimentación, S.A.","MCE","","Spain"
"DTE.DE",0.008,0.033,1,-0.046,-0.024,-0.018,-0.011,-0.007,0.005,0.016,0.026,0.047,"Deutsche Telekom AG","GER","Wireless Communications","Germany"
"VNA.DE",0.007,0.031,1,-0.027,-0.008,-0.001,0.003,0.006,0.016,0.02,0.034,0.065,"Vonovia SE","GER","","Germany"
"ORA.PA",0.008,0.035,1,-0.04,-0.018,-0.01,-0.004,-0.001,0.012,0.023,0.037,0.065,"Orange S.A.","PAR","","France"
"AMS.MC",0.007,0.031,2,-0.034,-0.014,-0.005,0.006,0.013,0.024,0.033,0.044,0.084,"Amadeus IT Group, S.A.","MCE","Information Technology Services","Spain"
"GRF.MC",0.008,0.036,2,-0.042,-0.018,-0.008,-0.002,0.003,0.011,0.02,0.035,0.058,"Grifols, S.A.","MCE","Biotechnology","Spain"
"ACS.MC",0.01,0.045,2,-0.045,-0.018,-0.011,-0.003,0,0.013,0.023,0.042,0.082,"ACS, Actividades de Construcción y Servicios, S.A.","MCE","General Contractors","Spain"
"SGRE.MC",0.008,0.034,2,-0.048,-0.024,-0.017,-0.007,-0.002,0.01,0.019,0.025,0.048,"-","-","-","-"
"VIS.MC",0.008,0.033,2,-0.028,-0.014,-0.005,-0.001,0.002,0.012,0.021,0.031,0.05,"Viscofan, S.A.","MCE","Food - Major Diversified","Spain"
"MTS.MC",0.007,0.03,2,-0.032,-0.015,-0.007,0.001,0.003,0.016,0.026,0.038,0.076,"ArcelorMittal","MCE","Steel & Iron","Spain"
"HEI.DE",0.008,0.036,2,-0.049,-0.023,-0.016,-0.008,-0.003,0.008,0.015,0.032,0.057,"HeidelbergCement AG","GER","General Building Materials","Germany"
"MUV2.DE",0.009,0.038,2,-0.037,-0.016,-0.009,-0.001,0.005,0.016,0.028,0.04,0.063,"Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft","GER","Property & Casualty Insurance","Germany"
"ALV.DE",0.015,0.061,2,-0.035,-0.016,-0.008,0.003,0.006,0.017,0.025,0.038,0.068,"Allianz SE","GER","Property & Casualty Insurance","Germany"
"LHA.DE",0.008,0.033,2,-0.033,-0.015,-0.008,0,0.005,0.015,0.023,0.035,0.059,"Deutsche Lufthansa Aktiengesellschaft","GER","Major Airlines","Germany"
"DPW.DE",0.009,0.037,2,-0.043,-0.021,-0.012,-0.004,0.001,0.016,0.024,0.036,0.053,"Deutsche Post AG","GER","Air Delivery & Freight Services","Germany"
"DBK.DE",0.008,0.033,2,-0.048,-0.025,-0.015,-0.01,-0.007,0.009,0.018,0.028,0.051,"Deutsche Bank Aktiengesellschaft","GER","Money Center Banks","Germany"
"LIN.DE",0.008,0.037,2,-0.04,-0.023,-0.01,-0.002,0.001,0.011,0.02,0.03,0.066,"Linde Aktiengesellschaft","GER","Chemicals - Major Diversified","Germany"
"PSM.DE",0.006,0.026,2,-0.037,-0.022,-0.012,-0.001,0.001,0.015,0.026,0.04,0.058,"ProSiebenSat.1 Media SE","GER","Broadcasting - TV","Germany"
"DB1.DE",0.006,0.027,2,-0.03,-0.011,-0.004,0.001,0.006,0.018,0.029,0.044,0.064,"Deutsche Börse Aktiengesellschaft","GER","Asset Management","Germany"
"CBK.DE",0.008,0.035,2,-0.043,-0.021,-0.012,-0.003,0.001,0.011,0.018,0.026,0.048,"Commerzbank AG","GER","Money Center Banks","Germany"
"CA.PA",0.006,0.027,2,-0.056,-0.031,-0.026,-0.016,-0.009,0.005,0.018,0.038,0.072,"Carrefour SA","PAR","Grocery Stores","France"
"SGO.PA",0.012,0.051,2,-0.049,-0.024,-0.015,-0.008,-0.005,0.008,0.021,0.029,0.051,"Compagnie de Saint-Gobain S.A.","PAR","General Building Materials","France"
"LR.PA",0.009,0.039,2,-0.031,-0.014,-0.006,0.002,0.005,0.016,0.025,0.035,0.065,"Legrand SA","PAR","Diversified Machinery","France"
"AIR.PA",0.007,0.033,2,-0.029,-0.013,-0.005,0.002,0.005,0.015,0.025,0.041,0.074,"Airbus SE","PAR","","France"
"SU.PA",0.014,0.059,2,-0.035,-0.014,-0.007,-0.001,0.002,0.013,0.021,0.034,0.07,"Schneider Electric S.E.","PAR","Diversified Machinery","France"
"DG.PA",0.011,0.046,2,-0.033,-0.013,-0.005,-0.001,0.002,0.017,0.024,0.035,0.076,"VINCI SA","PAR","General Contractors","France"
"EN.PA",0.01,0.044,2,-0.043,-0.02,-0.013,-0.004,0.004,0.016,0.024,0.036,0.067,"Bouygues SA","PAR","General Contractors","France"
"FP.PA",0.011,0.047,2,-0.033,-0.011,-0.004,0.004,0.011,0.024,0.035,0.05,0.087,"TOTAL S.A.","PAR","Major Integrated Oil & Gas","France"
"AC.PA",0.009,0.04,2,-0.037,-0.018,-0.009,0.003,0.006,0.022,0.036,0.056,0.087,"Accor SA","PAR","Lodging","France"
"^FCHI",0.028,0.104,2,-0.03,-0.014,-0.004,0.004,0.008,0.02,0.03,0.044,0.076,"-","-","-","-"
"ONTEX.BR",0.007,0.032,2,-0.047,-0.024,-0.017,-0.011,-0.007,0.009,0.02,0.027,0.061,"Ontex Group NV","BRU","Personal Products","Belgium"
"^BFX",0.018,0.077,2,-0.031,-0.015,-0.006,-0.001,0.003,0.012,0.02,0.033,0.09,"-","-","-","-"
"^N100",0.029,0.116,2,-0.03,-0.01,0,0.006,0.009,0.021,0.032,0.051,0.091,"-","-","-","-"
"^SPEUP",0.008,0.033,2,-0.024,-0.013,-0.002,0.004,0.007,0.017,0.026,0.042,0.071,"-","-","-","-"
"DAI.DE",0.013,0.052,3,-0.063,-0.019,-0.006,0.003,0.006,0.017,0.026,0.039,0.058,"Daimler AG","GER","Auto Manufacturers - Major","Germany"
"BEI.DE",0.009,0.038,3,-0.035,-0.019,-0.009,-0.002,0.002,0.014,0.024,0.034,0.065,"Beiersdorf Aktiengesellschaft","GER","Personal Products","Germany"
"CON.DE",0.011,0.047,3,-0.034,-0.016,-0.007,-0.001,0.004,0.013,0.018,0.028,0.059,"Continental Aktiengesellschaft","GER","Auto Parts","Germany"
"VOW3.DE",0.011,0.045,3,-0.039,-0.022,-0.013,-0.003,0.001,0.01,0.02,0.03,0.056,"Volkswagen Aktiengesellschaft","GER","Auto Manufacturers - Major","Germany"
"MRK.DE",0.007,0.032,3,-0.042,-0.018,-0.01,-0.005,-0.002,0.006,0.016,0.024,0.045,"Merck Kommanditgesellschaft auf Aktien","GER","Drugs - Generic","Germany"
"FME.DE",0.007,0.03,3,-0.032,-0.013,-0.005,0.001,0.003,0.011,0.018,0.029,0.058,"Fresenius Medical Care AG & Co. KGAA","GER","Hospitals","Germany"
"HEN3.DE",0.009,0.038,3,-0.039,-0.019,-0.012,-0.005,-0.001,0.01,0.017,0.026,0.055,"Henkel AG & Co. KGaA","GER","Personal Products","Germany"
"SIE.DE",0.016,0.066,3,-0.039,-0.023,-0.01,0,0.005,0.015,0.028,0.041,0.069,"Siemens Aktiengesellschaft","GER","Diversified Machinery","Germany"
"BAS.DE",0.021,0.083,3,-0.039,-0.013,-0.005,0,0.003,0.014,0.024,0.036,0.057,"BASF SE","GER","Chemicals - Major Diversified","Germany"
"BMW.DE",0.013,0.051,3,-0.055,-0.022,-0.01,-0.002,0.001,0.015,0.021,0.031,0.067,"Bayerische Motoren Werke Aktiengesellschaft","GER","Auto Manufacturers - Major","Germany"
"BAYN.DE",0.009,0.037,3,-0.056,-0.026,-0.017,-0.006,-0.003,0.009,0.017,0.026,0.043,"Bayer Aktiengesellschaft","GER","Drug Manufacturers - Major","Germany"
"SAP.DE",0.013,0.055,3,-0.038,-0.013,-0.006,0.003,0.006,0.017,0.026,0.043,0.081,"SAP SE","GER","Technical & System Software","Germany"
"IFX.DE",0.01,0.043,3,-0.029,-0.014,-0.005,0.003,0.008,0.019,0.025,0.042,0.074,"Infineon Technologies AG","GER","Semiconductor - Broad Line","Germany"
"TKA.DE",0.007,0.03,3,-0.047,-0.021,-0.014,-0.005,0,0.014,0.019,0.031,0.061,"ThyssenKrupp AG","GER","Steel & Iron","Germany"
"^GDAXI",0.028,0.105,3,-0.032,-0.012,-0.003,0.005,0.007,0.018,0.029,0.04,0.07,"-","-","-","-"
"ML.PA",0.008,0.036,3,-0.045,-0.018,-0.009,-0.002,0,0.01,0.017,0.033,0.059,"Compagnie Générale des Etablissements Michelin","PAR","Rubber & Plastics","France"
"OR.PA",0.011,0.047,3,-0.027,-0.011,-0.004,0.002,0.005,0.014,0.022,0.033,0.054,"L'Oréal S.A.","PAR","Personal Products","France"
"AI.PA",0.015,0.06,3,-0.033,-0.016,-0.011,-0.002,0.003,0.015,0.024,0.037,0.071,"Air Liquide, société anonyme","PAR","Chemicals - Major Diversified","France"
"FR.PA",0.011,0.045,3,-0.046,-0.024,-0.014,-0.001,0.002,0.013,0.02,0.03,0.061,"Valeo SA","PAR","Auto Parts","France"
"ATO.PA",0.008,0.033,3,-0.038,-0.018,-0.012,-0.005,0.001,0.009,0.02,0.032,0.067,"Atos SE","PAR","Information Technology Services","France"
"VIV.PA",0.009,0.037,3,-0.037,-0.021,-0.015,-0.007,-0.004,0.009,0.017,0.028,0.057,"Vivendi SA","PAR","Wireless Communications","France"
