"","StationaryDistribution","Membership","QuantileSR.10","QuantileSR.25","QuantileSR.35","QuantileSR.45","QuantileSR.50","QuantileSR.65","QuantileSR.75","QuantileSR.85","QuantileSR.95","Name","Exchange","Category.Name","Country"
"AMS.MC",0.004,1,-0.018,-0.006,0,0.006,0.008,0.015,0.019,0.029,0.04,"Amadeus IT Group, S.A.","MCE","Information Technology Services","Spain"
"IAG.MC",0.005,1,-0.019,-0.008,-0.004,0.003,0.005,0.011,0.014,0.02,0.03,"International Consolidated Airlines Group, S.A.","MCE","","Spain"
"TEF.MC",0.005,1,-0.034,-0.022,-0.014,-0.005,-0.003,0.004,0.01,0.016,0.026,"Telefónica, S.A.","MCE","Wireless Communications","Spain"
"ENG.MC",0.007,1,-0.027,-0.015,-0.009,-0.002,0,0.009,0.014,0.025,0.042,"Enagás, S.A.","MCE","Gas Utilities","Spain"
"REE.MC",0.006,1,-0.03,-0.017,-0.009,-0.003,-0.002,0.006,0.011,0.019,0.031,"Red Eléctrica Corporación, S.A.","MCE","Electric Utilities","Spain"
"SAN.MC",0.005,1,-0.025,-0.016,-0.01,-0.003,-0.001,0.005,0.009,0.015,0.032,"Banco Santander, S.A.","MCE","Money Center Banks","Spain"
"GRF.MC",0.005,1,-0.024,-0.011,-0.006,-0.002,0.001,0.008,0.013,0.021,0.034,"Grifols, S.A.","MCE","Biotechnology","Spain"
"ACX.MC",0.006,1,-0.028,-0.014,-0.008,-0.003,0,0.006,0.011,0.016,0.029,"Acerinox, S.A.","MCE","Steel & Iron","Spain"
"MAP.MC",0.005,1,-0.021,-0.014,-0.01,-0.004,-0.001,0.005,0.015,0.021,0.031,"Mapfre, S.A.","MCE","Accident & Health Insurance","Spain"
"FER.MC",0.006,1,-0.029,-0.016,-0.009,-0.005,-0.002,0.005,0.011,0.017,0.026,"Ferrovial, S.A.","MCE","Heavy Construction","Spain"
"BKT.MC",0.006,1,-0.024,-0.013,-0.007,-0.001,0.001,0.008,0.013,0.021,0.043,"Bankinter, S.A.","MCE","Money Center Banks","Spain"
"ANA.MC",0.006,1,-0.032,-0.017,-0.01,-0.005,-0.002,0.004,0.01,0.017,0.028,"Acciona, S.A.","MCE","General Contractors","Spain"
"ACS.MC",0.006,1,-0.026,-0.012,-0.008,-0.003,-0.001,0.007,0.014,0.022,0.039,"ACS, Actividades de Construcción y Servicios, S.A.","MCE","General Contractors","Spain"
"IBE.MC",0.007,1,-0.032,-0.017,-0.008,-0.003,-0.002,0.006,0.013,0.021,0.037,"Iberdrola, S.A.","MCE","Diversified Utilities","Spain"
"MEL.MC",0.005,1,-0.026,-0.016,-0.009,-0.004,-0.003,0.004,0.009,0.013,0.023,"Meliá Hotels International, S.A.","MCE","","Spain"
"VIS.MC",0.005,1,-0.017,-0.007,-0.004,-0.001,0.002,0.009,0.014,0.019,0.029,"Viscofan, S.A.","MCE","Food - Major Diversified","Spain"
"ITX.MC",0.005,1,-0.031,-0.018,-0.013,-0.008,-0.006,0.001,0.008,0.015,0.027,"Industria de Diseño Textil, S.A.","MCE","Apparel Stores","Spain"
"GAS.MC",0.007,1,-0.029,-0.014,-0.008,-0.002,0,0.009,0.017,0.027,0.04,"Gas Natural SDG, S.A.","MCE","Gas Utilities","Spain"
"MRL.MC",0.005,1,-0.025,-0.009,0,0.005,0.006,0.014,0.019,0.025,0.04,"Merlin Properties Socimi, S.A.","MCE","","Spain"
"ELE.MC",0.007,1,-0.034,-0.011,-0.005,-0.001,0.002,0.007,0.011,0.019,0.032,"Endesa, S.A.","MCE","Diversified Utilities","Spain"
"TRE.MC",0.005,1,-0.026,-0.015,-0.01,-0.005,-0.003,0.004,0.009,0.019,0.035,"Técnicas Reunidas, S.A.","MCE","General Contractors","Spain"
"SAB.MC",0.005,1,-0.027,-0.014,-0.009,-0.004,-0.003,0.004,0.01,0.015,0.028,"Banco de Sabadell, S.A.","MCE","Money Center Banks","Spain"
"BBVA.MC",0.006,1,-0.026,-0.013,-0.008,-0.004,-0.002,0.004,0.008,0.016,0.03,"Banco Bilbao Vizcaya Argentaria, S.A.","MCE","Money Center Banks","Spain"
"MTS.MC",0.005,1,-0.021,-0.009,-0.003,0.004,0.006,0.017,0.023,0.03,0.042,"ArcelorMittal","MCE","Steel & Iron","Spain"
"DIA.MC",0.006,1,-0.039,-0.025,-0.018,-0.01,-0.008,0,0.007,0.013,0.026,"Distribuidora Internacional de Alimentación, S.A.","MCE","","Spain"
"CABK.MC",0.005,1,-0.02,-0.011,-0.007,-0.003,-0.002,0.006,0.01,0.014,0.032,"CaixaBank, S.A.","MCE","","Spain"
"FTSEMIB.MI",0.004,1,-0.018,-0.006,0,0.004,0.006,0.012,0.018,0.026,0.039,"-","-","-","-"
"PSM.DE",0.005,2,-0.031,-0.019,-0.012,-0.003,0,0.011,0.017,0.025,0.036,"ProSiebenSat.1 Media SE","GER","Broadcasting - TV","Germany"
"CA.PA",0.004,2,-0.033,-0.021,-0.016,-0.011,-0.009,0.001,0.006,0.015,0.031,"Carrefour SA","PAR","Grocery Stores","France"
"ADEN.VX",0.008,2,-0.03,-0.015,-0.01,-0.006,-0.004,0.006,0.012,0.02,0.04,"Adecco Group AG","EBS","","Switzerland"
"NESN.VX",0.004,2,-0.021,-0.012,-0.008,-0.004,-0.002,0.003,0.006,0.011,0.019,"Nestlé S.A.","EBS","","Switzerland"
"SLHN.VX",0.007,2,-0.02,-0.009,-0.005,0,0.003,0.01,0.02,0.031,0.045,"Swiss Life Holding AG","EBS","","Switzerland"
"ROG.VX",0.005,2,-0.032,-0.021,-0.014,-0.006,-0.003,0.004,0.01,0.017,0.026,"Roche Holding AG","EBS","","Switzerland"
"SREN.VX",0.005,2,-0.022,-0.012,-0.006,-0.001,0.001,0.007,0.014,0.019,0.039,"Swiss Re Ltd","EBS","","Switzerland"
"ZURN.VX",0.006,2,-0.023,-0.011,-0.006,0,0.002,0.008,0.014,0.024,0.04,"Zurich Insurance Group AG","EBS","","Switzerland"
"LHN.VX",0.006,2,-0.024,-0.015,-0.01,-0.006,-0.004,0.005,0.011,0.026,0.042,"LafargeHolcim Ltd","EBS","","Switzerland"
"BAER.VX",0.007,2,-0.016,-0.008,-0.003,0.002,0.005,0.014,0.019,0.032,0.048,"Julius Baer Group Ltd.","EBS","","Switzerland"
"GIVN.VX",0.006,2,-0.017,-0.006,-0.002,0.001,0.004,0.01,0.014,0.021,0.035,"Givaudan SA","EBS","","Switzerland"
"SCMN.VX",0.005,2,-0.02,-0.009,-0.004,0.001,0.003,0.009,0.014,0.022,0.034,"Swisscom AG","EBS","","Switzerland"
"GEBN.VX",0.006,2,-0.026,-0.014,-0.006,0.001,0.004,0.01,0.016,0.022,0.031,"Geberit AG","EBS","","Switzerland"
"SIK.VX",0.005,2,-0.016,-0.006,0,0.005,0.008,0.015,0.019,0.027,0.037,"Sika AG","EBS","","Switzerland"
"NOVN.VX",0.004,2,-0.018,-0.009,-0.005,-0.001,0,0.006,0.01,0.016,0.024,"Novartis AG","EBS","","Switzerland"
"UBSG.VX",0.007,2,-0.023,-0.012,-0.007,0,0.002,0.013,0.018,0.026,0.037,"UBS Group AG","EBS","","Switzerland"
"ABBN.VX",0.009,2,-0.027,-0.013,-0.007,-0.002,0.002,0.012,0.018,0.026,0.039,"ABB Ltd","EBS","","Switzerland"
"UHR.VX",0.005,2,-0.019,-0.008,-0.002,0.002,0.004,0.013,0.021,0.033,0.047,"The Swatch Group AG","EBS","","Switzerland"
