"","StationaryDistribution","GOP","Membership","QuantileSR.10","QuantileSR.25","QuantileSR.35","QuantileSR.45","QuantileSR.50","QuantileSR.65","QuantileSR.75","QuantileSR.85","QuantileSR.95","Name","Exchange","Category.Name","Country"
"BWO.VI",0.004,0.017,3,-0.024,-0.01,-0.004,0,0.001,0.011,0.018,0.025,0.052,"BUWOG AG","VIE","","Austria"
"CPR.MI",0.004,0.018,3,-0.023,-0.01,-0.004,0.002,0.005,0.018,0.023,0.031,0.046,"Davide Campari-Milano S.p.A.","MIL","Beverages - Wineries & Distillers","Italy"
"RBI.VI",0.004,0.018,3,-0.026,-0.012,-0.005,0.001,0.004,0.013,0.019,0.027,0.05,"Raiffeisen Bank International AG","VIE","","Austria"
"YNAP.MI",0.004,0.019,3,-0.03,-0.012,-0.005,0.004,0.007,0.013,0.019,0.029,0.061,"YOOX Net-A-Porter Group S.p.A.","MIL","","Italy"
"DB1.DE",0.004,0.02,3,-0.031,-0.011,-0.004,0.001,0.005,0.018,0.029,0.044,0.064,"Deutsche Börse Aktiengesellschaft","GER","Asset Management","Germany"
"ADS.DE",0.004,0.02,3,-0.045,-0.024,-0.015,-0.01,-0.005,0.008,0.019,0.028,0.064,"Adidas AG","GER","Textile - Apparel Footwear & Accessories","Germany"
"SPI.VI",0.004,0.02,3,-0.03,-0.011,-0.004,0.002,0.005,0.016,0.026,0.031,0.052,"S IMMO AG","VIE","","Austria"
"ABE.MC",0.005,0.021,3,-0.031,-0.015,-0.005,0,0.006,0.018,0.025,0.039,0.067,"Abertis Infraestructuras, S.A.","MCE","General Contractors","Spain"
"MRL.MC",0.004,0.021,3,-0.034,-0.015,-0.007,0.002,0.004,0.017,0.024,0.038,0.055,"Merlin Properties Socimi, S.A.","MCE","","Spain"
"BMED.MI",0.004,0.021,1,-0.043,-0.023,-0.013,-0.008,-0.004,0.008,0.019,0.034,0.052,"Banca Mediolanum S.p.A.","MIL","Money Center Banks","Italy"
"BPE.MI",0.004,0.021,1,-0.035,-0.02,-0.012,-0.005,-0.001,0.007,0.017,0.023,0.053,"BPER Banca S.p.A.","MIL","Money Center Banks","Italy"
"MONC.MI",0.004,0.021,4,-0.023,-0.009,-0.002,0.007,0.01,0.023,0.032,0.043,0.074,"Moncler S.p.A.","MIL","Textile - Apparel Clothing","Italy"
"NESN.VX",0.004,0.021,2,-0.032,-0.018,-0.012,-0.007,-0.004,0.007,0.015,0.022,0.038,"Nestlé S.A.","EBS","","Switzerland"
"VIG.VI",0.004,0.021,3,-0.031,-0.015,-0.009,-0.004,-0.001,0.006,0.013,0.022,0.037,"Vienna Insurance Group AG","VIE","","Austria"
"TKA.VI",0.004,0.021,3,-0.042,-0.019,-0.012,-0.003,0,0.011,0.02,0.031,0.063,"Telekom Austria Aktiengesellschaft","VIE","","Austria"
"POST.VI",0.004,0.021,3,-0.037,-0.018,-0.008,0,0.003,0.013,0.022,0.037,0.063,"Österreichische Post AG","VIE","","Austria"
