"","StationaryDistribution","GOP","Membership","QuantileSR.10","QuantileSR.25","QuantileSR.35","QuantileSR.45","QuantileSR.50","QuantileSR.65","QuantileSR.75","QuantileSR.85","QuantileSR.95","Name","Exchange","Category.Name","Country"
"OVXA.IR",0.005,0.024,1,-246.097,-0.187,-0.135,-0.08,-0.021,-0.021,0.021,0.021,3108.407,"Ovoca Gold plc","ISE","","Ireland"
"GL9.IR",0.006,0.026,1,-0.039,-0.022,-0.015,-0.007,-0.003,0.006,0.019,0.029,0.057,"Glanbia plc","ISE","","Ireland"
"T7O.IR",0.005,0.024,1,-0.033,-0.017,-0.01,-0.004,0,0.006,0.015,0.025,0.049,"Total Produce plc","ISE","","Ireland"
"IR5B.IR",0.005,0.025,1,-0.039,-0.017,-0.01,-0.004,-0.001,0.006,0.011,0.02,0.035,"Irish Continental Group plc","ISE","","Ireland"
"MIO.IR",0.005,0.023,1,-0.279,-0.2,-0.181,-0.164,-0.157,-0.134,-0.121,-0.108,-0.091,"Mincon Group Plc","ISE","","Ireland"
"KRX.IR",0.005,0.026,1,-0.035,-0.016,-0.006,0.002,0.006,0.018,0.028,0.042,0.078,"Kingspan Group plc","ISE","","Ireland"
"DOY.IR",0.005,0.024,1,-0.142,-0.025,-0.021,-0.006,0,0.011,0.021,0.037,49875.206,"Abbey plc","ISE","","Ireland"
"RY4C.IR",0.005,0.023,1,-0.047,-0.024,-0.015,-0.006,-0.004,0.007,0.016,0.026,0.048,"Ryanair Holdings plc","ISE","","Ireland"
"P8ET.IR",0.005,0.025,1,-0.281,-0.118,-0.024,-0.021,-0.021,0,0.014,0.021,230.638,"PetroNeft Resources plc","ISE","","Ireland"
"DQ5.IR",0.005,0.021,1,-0.031,-0.015,-0.007,0,0,0.007,0.013,0.023,0.043,"CPL Resources plc","ISE","","Ireland"
"MLC.IR",0.004,0.021,1,-0.071,-0.032,-0.021,-0.021,-0.018,-0.003,0,0.017,0.027,"Malin Corporation plc","ISE","","Ireland"
"DLE.IR",0.004,0.02,1,-0.044,-0.022,-0.014,-0.007,-0.004,0.003,0.012,0.022,0.043,"Datalex plc","ISE","","Ireland"
"DHG.IR",0.006,0.028,1,-0.033,-0.011,-0.005,0.004,0.006,0.015,0.021,0.03,0.064,"Dalata Hotel Group plc","ISE","","Ireland"
"PPB.IR",0.006,0.029,1,-0.037,-0.018,-0.011,-0.005,0,0.014,0.021,0.033,0.054,"Paddy Power Betfair plc","ISE","","Ireland"
"IJG.IR",0.005,0.021,1,-0.035,-0.014,-0.008,-0.002,0,0.008,0.013,0.024,0.062,"IFG Group plc","ISE","","Ireland"
"DOP.IR",0.004,0.019,1,-0.044,-0.021,-0.013,-0.005,0,0.005,0.013,0.02,0.041,"Aminex plc","ISE","","Ireland"
