"","StationaryDistribution","Membership","QuantileSR.10","QuantileSR.25","QuantileSR.35","QuantileSR.45","QuantileSR.50","QuantileSR.65","QuantileSR.75","QuantileSR.85","QuantileSR.95","Name","Exchange","Category.Name","Country"
"AC.TO",0.008,1,-0.024,-0.014,-0.006,-0.001,0.003,0.011,0.017,0.024,0.034,"Air Canada","TOR","","Canada"
"AD.TO",0.01,1,-0.027,-0.015,-0.012,-0.007,-0.006,0.002,0.006,0.017,0.031,"Alaris Royalty Corp.","TOR","Credit Services","Canada"
"AKG.TO",0.011,1,-0.041,-0.018,-0.01,-0.004,0,0.008,0.013,0.027,0.039,"Asanko Gold Inc.","TOR","Gold","Canada"
"AOT.V",0.008,1,-0.03,-0.017,-0.011,-0.008,-0.006,0,0.005,0.011,0.021,"Ascot Resources Ltd.","VAN","Industrial Metals & Minerals","Canada"
"BOS.TO",0.011,1,-0.023,-0.013,-0.006,-0.002,0.001,0.006,0.014,0.022,0.036,"Airboss of America Corp.","TOR","Rubber & Plastics","Canada"
"BTO.TO",0.008,1,-0.023,-0.013,-0.008,-0.003,0,0.006,0.011,0.017,0.026,"B2Gold Corp.","TOR","Gold","Canada"
"CNE.TO",0.009,1,-0.021,-0.01,-0.005,0,0.002,0.007,0.011,0.017,0.029,"Canacol Energy Ltd","TOR","Industrial Metals & Minerals","Canada"
"DRM.TO",0.011,1,-0.022,-0.008,-0.001,0.005,0.007,0.014,0.019,0.029,0.043,"Dream Unlimited Corp.","TOR","Real Estate Development","Canada"
"EFL.TO",0.008,1,-0.034,-0.024,-0.018,-0.013,-0.01,-0.003,0,0.005,0.012,"Electrovaya Inc.","TOR","Diversified Electronics","Canada"
"EFN.TO",0.009,1,-0.026,-0.014,-0.009,-0.001,0.001,0.009,0.012,0.018,0.032,"Element Fleet Management Corp.","TOR","Credit Services","Canada"
"ELD.TO",0.01,1,-0.031,-0.018,-0.012,-0.007,-0.003,0.004,0.008,0.015,0.028,"Eldorado Gold Corporation","TOR","Gold","Canada"
"ESP.TO",0.01,1,-0.029,-0.017,-0.013,-0.009,-0.007,-0.002,0.005,0.011,0.026,"Espial Group Inc.","TOR","Technical & System Software","Canada"
"EXE.TO",0.009,1,-0.03,-0.017,-0.013,-0.009,-0.008,-0.003,0.002,0.01,0.02,"Extendicare Inc.","TOR","Long-Term Care Facilities","Canada"
"FSW.V",0.009,1,-0.163,-0.137,-0.017,-0.01,-0.01,0,0,0.007,0.013,"Fireswirl Technologies Inc.","VAN","Internet Information Providers","Canada"
