"","StationaryDistribution","Membership","QuantileSR.10","QuantileSR.25","QuantileSR.35","QuantileSR.45","QuantileSR.50","QuantileSR.65","QuantileSR.75","QuantileSR.85","QuantileSR.95","Name","Exchange","Category.Name","Country"
"GOOG",0.013,1,-0.031,-0.014,-0.005,0.002,0.007,0.023,0.033,0.051,0.083,"Alphabet Inc.","NMS","Internet Information Providers","USA"
"GOOGL",0.013,1,-0.033,-0.013,-0.006,0.003,0.006,0.023,0.035,0.053,0.082,"Alphabet Inc.","NMS","Internet Information Providers","USA"
"GOOG.MX",0.013,1,-0.036,-0.014,-0.006,0.003,0.006,0.021,0.03,0.049,0.082,"Alphabet Inc.","MEX","Internet Information Providers","Mexico"
"BIDU",0.014,1,-0.04,-0.011,0,0.008,0.012,0.021,0.029,0.04,0.063,"Baidu, Inc.","NMS","Internet Information Providers","USA"
"BITA",0.011,1,-0.048,-0.018,-0.007,-0.001,0.002,0.017,0.028,0.044,0.068,"Bitauto Holdings Limited","NYQ","Internet Information Providers","USA"
"CRTO",0.007,1,-0.049,-0.023,-0.016,-0.007,-0.005,0.008,0.018,0.032,0.063,"Criteo S.A.","NMS","Internet Information Providers","USA"
"FB",0.011,1,-0.022,-0.01,-0.004,0.005,0.008,0.017,0.028,0.038,0.067,"Facebook, Inc.","NMS","Internet Information Providers","USA"
"SOHU",0.01,1,-0.051,-0.022,-0.015,-0.007,-0.003,0.011,0.023,0.032,0.059,"Sohu.com Inc.","NMS","Internet Information Providers","USA"
"YY",0.007,1,-0.033,-0.015,-0.006,0.002,0.008,0.018,0.023,0.034,0.059,"YY Inc.","NMS","Internet Information Providers","USA"
"BIDUN.MX",0.013,1,-0.058,-0.018,-0.002,0.009,0.014,0.022,0.03,0.048,0.079,"Baidu, Inc.","MEX","Internet Information Providers","Mexico"
"GOOGL.MX",0.013,1,-0.037,-0.011,-0.005,0.004,0.007,0.02,0.031,0.051,0.094,"Alphabet Inc.","MEX","Internet Information Providers","Mexico"
"B1C.F",0.014,1,-0.032,-0.01,-0.002,0.004,0.007,0.018,0.026,0.037,0.06,"Baidu, Inc.","FRA","Internet Information Providers","France"
"ALADM.PA",0.006,1,-0.048,-0.027,-0.02,-0.013,-0.009,0.002,0.015,0.028,0.045,"ADThink Media Societe Anonyme","PAR","Internet Information Providers","France"
"B1C.MU",0.016,1,-0.033,-0.008,0,0.005,0.008,0.021,0.03,0.038,0.071,"BAIDU INC.A ADR DL-,00005","MUN","Internet Information Providers","Germany"
"B1C.BE",0.015,1,-0.034,-0.01,-0.001,0.006,0.01,0.02,0.028,0.039,0.082,"BAIDU INC.A ADR DL-,00005","BER","Internet Information Providers","Germany"
"ADJ.AX",0.006,1,-0.048,-0.024,-0.015,-0.01,-0.007,0,0.005,0.014,0.038,"Adslot Ltd","ASX","Internet Information Providers","Australia"
"B1C.SG",0.015,1,-0.032,-0.013,-0.003,0.004,0.008,0.018,0.03,0.038,0.06,"Baidu Inc. R.Shs A(Sp.ADRs)1/10","STU","Internet Information Providers","Germany"
"SEK.AX",0.007,1,-0.037,-0.012,-0.004,0.004,0.008,0.018,0.027,0.039,0.059,"SEEK Limited","ASX","Internet Information Providers","Australia"
