"","StationaryDistribution","Membership","QuantileSR.10","QuantileSR.25","QuantileSR.35","QuantileSR.45","QuantileSR.50","QuantileSR.65","QuantileSR.75","QuantileSR.85","QuantileSR.95","Name","Exchange","Category.Name","Country"
"AMTD",0.009,1,-0.033,-0.017,-0.008,-0.001,0.005,0.018,0.025,0.037,0.084,"TD Ameritrade Holding Corporation","NMS","Investment Brokerage - National","USA"
"O4B.DE",0.006,1,-0.239,-0.057,-0.024,-0.021,-0.021,0.007,0.021,0.037,45032.252,"OVB Holding AG","GER","Investment Brokerage - National","Germany"
"GAHC",0.005,1,-0.059,-0.031,-0.017,-0.011,-0.009,0.002,0.009,0.017,0.039,"Global Arena Holding Inc.","PNK","Investment Brokerage - National","USA"
"BGCP",0.006,1,-0.04,-0.021,-0.013,-0.005,0,0.012,0.023,0.041,0.083,"BGC Partners, Inc.","NMS","Investment Brokerage - National","USA"
"IBKR",0.009,1,-0.025,-0.006,0.003,0.01,0.013,0.024,0.034,0.046,0.072,"Interactive Brokers Group, Inc.","NMS","Investment Brokerage - National","USA"
"CXI.TO",0.006,1,-0.038,-0.013,-0.006,0,0.002,0.018,0.024,0.039,0.105,"Currency Exchange International, Corp.","TOR","Investment Brokerage - National","Canada"
"ETFC",0.009,1,-0.02,-0.007,0.001,0.009,0.013,0.025,0.037,0.049,0.087,"E*TRADE Financial Corporation","NMS","Investment Brokerage - National","USA"
"CME",0.007,1,-0.031,-0.012,-0.004,0.005,0.008,0.017,0.023,0.033,0.064,"CME Group Inc.","NMS","Investment Brokerage - National","USA"
"SCHW",0.011,1,-0.036,-0.016,-0.006,0.002,0.005,0.021,0.03,0.046,0.088,"The Charles Schwab Corporation","NYQ","Investment Brokerage - National","USA"
"COWN",0.005,1,-0.035,-0.021,-0.015,-0.006,-0.004,0.006,0.012,0.025,0.044,"Cowen Inc.","NMS","Investment Brokerage - National","USA"
"GBMO.MX",0.006,1,-0.273,-0.191,-0.167,-0.156,-0.147,-0.126,-0.117,-0.105,-0.09,"Corporativo GBM, S.A.B. de C.V.","MEX","Investment Brokerage - National","Mexico"
"BSD.PA",0.005,1,-0.044,-0.018,-0.011,-0.005,-0.003,0,0.008,0.014,0.025,"Bourse Direct Société Anonyme","PAR","Investment Brokerage - National","France"
"LPLA",0.007,1,-0.027,-0.01,0.001,0.007,0.01,0.021,0.033,0.048,0.09,"LPL Financial Holdings Inc.","NMS","Investment Brokerage - National","USA"
"NMR",0.007,1,-0.043,-0.025,-0.017,-0.009,-0.006,0.005,0.011,0.022,0.051,"Nomura Holdings, Inc.","NYQ","Investment Brokerage - National","USA"
"0619.HK",0.005,1,-0.042,-0.025,-0.021,-0.016,-0.012,0,0,0.011,0.029,"SOUTH CHINA FIN","HKG","Investment Brokerage - National","Hong Kong"
"0428.HK",0.006,1,-0.055,-0.026,-0.018,-0.01,-0.007,0.005,0.018,0.029,0.05,"HUGE CHINA","HKG","Investment Brokerage - National","Hong Kong"
"0279.HK",0.005,1,-0.054,-0.033,-0.022,-0.013,-0.011,0,0.007,0.022,0.087,"FREEMAN FINTECH","HKG","Investment Brokerage - National","Hong Kong"
"MS.MX",0.005,1,-0.058,-0.021,-0.011,0.005,0.009,0.021,0.033,0.056,1628126.853,"Morgan Stanley","MEX","Investment Brokerage - National","Mexico"
"GS.MX",0.007,1,-0.043,-0.02,-0.013,-0.002,0.001,0.015,0.024,0.035,0.063,"The Goldman Sachs Group, Inc.","MEX","Investment Brokerage - National","Mexico"
"ARDN.L",0.005,1,-0.183,-0.116,-0.083,-0.037,-0.021,0,0.013,0.022,0.093,"Arden Partners plc","LSE","Investment Brokerage - National","United Kingdom"
"BWB.F",0.006,1,-0.023,-0.012,-0.007,-0.003,0,0.007,0.012,0.018,0.031,"Baader Bank Aktiengesellschaft","FRA","Investment Brokerage - National","France"
