"","StationaryDistribution","Membership","QuantileSR.10","QuantileSR.25","QuantileSR.35","QuantileSR.45","QuantileSR.50","QuantileSR.65","QuantileSR.75","QuantileSR.85","QuantileSR.95","Name","Exchange","Category.Name","Country"
"AIG",0.005,1,-0.046,-0.021,-0.012,-0.002,0.001,0.016,0.027,0.036,0.062,"American International Group, Inc.","NYQ","Property & Casualty Insurance","USA"
"ALL",0.004,1,-0.028,-0.014,-0.008,-0.002,0.003,0.019,0.028,0.037,0.077,"The Allstate Corporation","NYQ","Property & Casualty Insurance","USA"
"BAP",0.004,1,-0.033,-0.013,-0.007,0.003,0.006,0.015,0.026,0.037,0.072,"Credicorp Ltd.","NYQ","Money Center Banks","USA"
"BBVA",0.007,1,-0.034,-0.021,-0.011,-0.004,-0.002,0.008,0.016,0.026,0.043,"Banco Bilbao Vizcaya Argentaria, S.A.","NYQ","Foreign Regional Banks","USA"
"BCH",0.006,1,-0.03,-0.012,-0.008,-0.004,-0.001,0.009,0.016,0.023,0.04,"Banco de Chile","NYQ","Foreign Regional Banks","USA"
"BCS",0.006,1,-0.047,-0.024,-0.013,-0.003,0.003,0.012,0.021,0.03,0.064,"Barclays PLC","NYQ","Foreign Money Center Banks","USA"
"BFR",0.005,1,-0.045,-0.025,-0.009,-0.003,0.002,0.014,0.023,0.036,0.058,"BBVA Banco Francés S.A.","NYQ","Foreign Regional Banks","USA"
"BMA",0.005,1,-0.036,-0.019,-0.012,-0.004,-0.001,0.011,0.018,0.04,0.08,"Banco Macro S.A.","NYQ","Foreign Regional Banks","USA"
"BNP.PA",0.006,1,-0.047,-0.024,-0.017,-0.01,-0.004,0.009,0.017,0.03,0.075,"BNP Paribas SA","PAR","Money Center Banks","France"
"BRK",0.004,1,-0.041,-0.023,-0.017,-0.01,-0.007,0,0.008,0.02,0.049,"-","-","-","-"
"BSAC",0.005,1,-0.048,-0.021,-0.011,-0.001,0.002,0.014,0.022,0.04,0.071,"Banco Santander-Chile","NYQ","Money Center Banks","USA"
"BSMX",0.004,1,-0.051,-0.024,-0.015,-0.01,-0.005,0.005,0.014,0.031,0.053,"Grupo Financiero Santander México, S.A.B. de C.V.","NYQ","Foreign Regional Banks","USA"
"CBKM",0.005,1,-0.182,-0.028,-0.021,-0.009,-0.001,0.012,0.021,0.035,0.169,"Consumers Bancorp, Inc.","PNK","Money Center Banks","USA"
"CIB",0.004,1,-0.044,-0.022,-0.011,-0.002,0.001,0.009,0.021,0.029,0.071,"Bancolombia S.A.","NYQ","Foreign Regional Banks","USA"
"CS",0.008,1,-0.035,-0.015,-0.008,0.001,0.004,0.012,0.02,0.034,0.056,"Credit Suisse Group AG","NYQ","Foreign Money Center Banks","USA"
"DB",0.005,1,-0.044,-0.028,-0.017,-0.011,-0.007,0.007,0.016,0.03,0.057,"Deutsche Bank Aktiengesellschaft","NYQ","Foreign Regional Banks","USA"
