"","StationaryDistribution","Membership","QuantileSR.10","QuantileSR.25","QuantileSR.35","QuantileSR.45","QuantileSR.50","QuantileSR.65","QuantileSR.75","QuantileSR.85","QuantileSR.95","Name","Exchange","Category.Name","Country"
"^FTSE",0.012,1,-0.029,-0.015,-0.007,0.001,0.004,0.013,0.026,0.037,0.057,"-","-","-","-"
"^STOXX50E",0.014,1,-0.047,-0.018,-0.008,0,0.003,0.014,0.021,0.034,0.053,"-","-","-","-"
"^HSI",0.01,1,-0.033,-0.013,-0.007,0.006,0.009,0.021,0.033,0.049,0.083,"-","-","-","-"
"^STI",0.011,1,-0.038,-0.018,-0.008,-0.001,0.003,0.015,0.022,0.032,0.055,"-","-","-","-"
"^AXJO",0.013,1,-0.03,-0.01,-0.003,0.004,0.006,0.015,0.025,0.036,0.069,"-","-","-","-"
"^AORD",0.013,1,-0.031,-0.011,-0.002,0.004,0.007,0.017,0.028,0.039,0.083,"-","-","-","-"
"^KLSE",0.009,1,-0.049,-0.021,-0.012,-0.006,0,0.012,0.02,0.034,0.062,"-","-","-","-"
"^NZ50",0.009,1,-0.028,-0.007,0.003,0.009,0.013,0.028,0.045,0.074,0.113,"-","-","-","-"
"^KS11",0.01,1,-0.034,-0.015,-0.008,0,0.003,0.014,0.022,0.036,0.065,"-","-","-","-"
"^TWII",0.011,1,-0.029,-0.013,-0.004,0.002,0.006,0.015,0.027,0.045,0.098,"-","-","-","-"
"^IPSA",0.012,1,-0.053,-0.02,-0.007,0.003,0.01,0.023,0.03,0.046,0.068,"-","-","-","-"
"^MERV",0.012,1,-0.035,-0.016,-0.007,0.002,0.007,0.026,0.037,0.062,0.11,"-","-","-","-"
"^ATX",0.009,1,-0.032,-0.01,-0.003,0.003,0.005,0.014,0.021,0.034,0.061,"-","-","-","-"
"^OSEAX",0.013,1,-0.023,-0.007,0.001,0.011,0.016,0.028,0.036,0.047,0.077,"-","-","-","-"
"^SSMI",0.011,1,-0.032,-0.013,-0.006,0,0.002,0.011,0.019,0.032,0.058,"-","-","-","-"
"^KFX",0.008,1,-0.034,-0.016,-0.008,-0.002,0.002,0.01,0.015,0.025,0.045,"-","-","-","-"
"000001.SS",0.009,1,-0.031,-0.018,-0.009,-0.002,0.002,0.013,0.021,0.041,0.082,"-","-","-","-"
"^MXX",0.008,2,-0.043,-0.022,-0.016,-0.007,-0.001,0.013,0.025,0.035,0.065,"-","-","-","-"
"^CSE",0.01,2,-0.069,-0.041,-0.029,-0.016,-0.01,0.005,0.016,0.032,0.06,"-","-","-","-"
"^GSPTSE",0.011,2,-0.029,-0.008,0.001,0.006,0.01,0.026,0.038,0.058,0.084,"-","-","-","-"
"^XAX",0.012,2,-0.031,-0.017,-0.006,0,0.005,0.015,0.024,0.035,0.066,"-","-","-","-"
"^N225",0.01,2,-0.026,-0.012,-0.003,0.004,0.009,0.024,0.031,0.046,0.097,"-","-","-","-"
"^JKSE",0.009,2,-0.038,-0.017,-0.007,0.001,0.004,0.014,0.025,0.035,0.061,"-","-","-","-"
"^BVSP",0.009,2,-0.038,-0.012,-0.005,0.004,0.006,0.02,0.031,0.043,0.09,"-","-","-","-"
"^XAU",0.011,2,-0.042,-0.02,-0.01,-0.004,-0.001,0.012,0.018,0.024,0.046,"-","-","-","-"
