"","StationaryDistribution","Membership","QuantileSR.10","QuantileSR.25","QuantileSR.35","QuantileSR.45","QuantileSR.50","QuantileSR.65","QuantileSR.75","QuantileSR.85","QuantileSR.95","Name","Exchange","Category.Name","Country"
"AAL",0.008,1,-0.027,-0.017,-0.012,-0.002,0.002,0.01,0.016,0.025,0.032,"American Airlines Group Inc.","NMS","Major Airlines","USA"
"ADP",0.008,1,-0.019,-0.004,0.002,0.006,0.01,0.018,0.023,0.031,0.041,"Automatic Data Processing, Inc.","NMS","Business Software & Services","USA"
"ALXN",0.008,1,-0.027,-0.009,-0.003,0.001,0.003,0.009,0.015,0.022,0.035,"Alexion Pharmaceuticals, Inc.","NMS","Biotechnology","USA"
"AMGN",0.012,1,-0.022,-0.012,-0.006,-0.001,0.004,0.016,0.02,0.028,0.04,"Amgen Inc.","NMS","Biotechnology","USA"
"BIIB",0.008,1,-0.021,-0.008,-0.003,0.004,0.007,0.012,0.017,0.026,0.041,"Biogen Inc.","NMS","Biotechnology","USA"
"BMRN",0.007,1,-0.019,-0.011,-0.006,-0.001,0.002,0.01,0.013,0.017,0.03,"BioMarin Pharmaceutical Inc.","NMS","Biotechnology","USA"
"CA",0.009,1,-0.015,-0.005,0,0.007,0.008,0.013,0.02,0.025,0.038,"CA, Inc.","NMS","Business Software & Services","USA"
"CELG",0.008,1,-0.024,-0.014,-0.009,-0.006,-0.004,0.005,0.015,0.023,0.042,"Celgene Corporation","NMS","Biotechnology","USA"
"CERN",0.008,1,-0.024,-0.013,-0.008,-0.001,0,0.006,0.012,0.02,0.032,"Cerner Corporation","NMS","Healthcare Information Services","USA"
"CHTR",0.008,1,-0.025,-0.014,-0.01,-0.006,-0.004,0.003,0.011,0.021,0.032,"Charter Communications, Inc.","NMS","CATV Systems","USA"
"CSCO",0.009,1,-0.015,-0.003,0.002,0.007,0.01,0.017,0.021,0.027,0.04,"Cisco Systems, Inc.","NMS","Networking & Communication Devices","USA"
"CMCSA",0.007,1,-0.022,-0.014,-0.01,-0.006,-0.003,0.005,0.01,0.014,0.023,"Comcast Corporation","NMS","Entertainment - Diversified","USA"
"COST",0.008,1,-0.021,-0.008,-0.003,0.003,0.005,0.015,0.02,0.027,0.035,"Costco Wholesale Corporation","NMS","Discount, Variety Stores","USA"
"CSX",0.008,1,-0.018,-0.009,-0.005,0.001,0.005,0.014,0.018,0.025,0.04,"CSX Corporation","NMS","Railroads","USA"
"DISCA",0.011,1,-0.031,-0.017,-0.011,-0.004,-0.003,0.005,0.011,0.021,0.039,"Discovery Communications, Inc.","NMS","CATV Systems","USA"
"DISCK",0.012,1,-0.033,-0.018,-0.013,-0.004,-0.003,0.005,0.013,0.022,0.039,"Discovery Communications, Inc.","NMS","","USA"
"DISH",0.005,1,-0.031,-0.022,-0.016,-0.012,-0.01,-0.003,0.001,0.008,0.015,"DISH Network Corporation","NMS","CATV Systems","USA"
"DLTR",0.007,1,-0.018,-0.008,-0.001,0.006,0.008,0.017,0.023,0.029,0.038,"Dollar Tree, Inc.","NMS","Discount, Variety Stores","USA"
"EBAY",0.007,1,-0.022,-0.011,-0.005,0,0.002,0.008,0.014,0.024,0.038,"eBay Inc.","NMS","Specialty Retail, Other","USA"
"ESRX",0.01,1,-0.028,-0.01,-0.004,0.002,0.005,0.013,0.022,0.03,0.045,"Express Scripts Holding Company","NMS","Health Care Plans","USA"
