"","StationaryDistribution","Membership","QuantileSR.10","QuantileSR.25","QuantileSR.35","QuantileSR.45","QuantileSR.50","QuantileSR.65","QuantileSR.75","QuantileSR.85","QuantileSR.95","Name","Exchange","Category.Name","Country"
"ILMN",0.005,1,-0.017,-0.003,0.002,0.005,0.007,0.013,0.02,0.028,0.036,"Illumina, Inc.","NMS","Biotechnology","USA"
"SGEN",0.006,1,-0.021,-0.012,-0.007,-0.002,0.001,0.011,0.017,0.023,0.035,"Seattle Genetics, Inc.","NMS","Biotechnology","USA"
"TECH",0.004,1,-0.013,-0.001,0.003,0.005,0.007,0.015,0.02,0.032,0.048,"Bio-Techne Corporation","NMS","Biotechnology","USA"
"GBT",0.004,1,-0.017,-0.006,-0.003,0.001,0.002,0.007,0.011,0.016,0.024,"Global Blood Therapeutics Inc.","NMS","Biotechnology","USA"
"^IXIC",0.017,1,-0.01,-0.002,0.004,0.009,0.01,0.017,0.023,0.03,0.044,"-","-","-","-"
"BDX",0.006,1,-0.018,-0.007,-0.003,0.003,0.006,0.013,0.018,0.025,0.04,"Becton, Dickinson and Company","NYQ","Medical Instruments & Supplies","USA"
"AAPL",0.006,1,-0.018,-0.006,-0.003,0.002,0.003,0.013,0.019,0.027,0.043,"Apple Inc.","NMS","Electronic Equipment","USA"
"ADBE",0.009,1,-0.009,-0.001,0.003,0.008,0.012,0.018,0.023,0.03,0.041,"Adobe Systems Incorporated","NMS","Application Software","USA"
"ADI",0.01,1,-0.015,-0.006,-0.001,0.005,0.009,0.017,0.022,0.03,0.04,"Analog Devices, Inc.","NMS","Semiconductor - Integrated Circuits","USA"
"ADSK",0.009,1,-0.016,-0.008,-0.004,0.005,0.007,0.015,0.02,0.029,0.041,"Autodesk, Inc.","NMS","Technical & System Software","USA"
"ALGN",0.007,1,-0.013,-0.002,0.004,0.011,0.013,0.021,0.03,0.037,0.053,"Align Technology, Inc.","NMS","Medical Appliances & Equipment","USA"
"AMAT",0.011,1,-0.02,-0.011,-0.003,0.002,0.004,0.011,0.017,0.023,0.044,"Applied Materials, Inc.","NMS","Semiconductor Equipment & Materials","USA"
"AMZN",0.009,1,-0.014,-0.002,0.004,0.008,0.01,0.018,0.028,0.039,0.05,"Amazon.com, Inc.","NMS","Catalog & Mail Order Houses","USA"
"ATVI",0.005,1,-0.013,-0.006,-0.003,0.002,0.004,0.011,0.015,0.021,0.031,"Activision Blizzard, Inc.","NMS","Multimedia & Graphics Software","USA"
"AVGO",0.005,1,-0.018,-0.008,-0.004,-0.001,0.002,0.008,0.013,0.019,0.035,"Broadcom Limited","NMS","Semiconductor - Broad Line","USA"
"BIDU",0.006,1,-0.021,-0.007,0.001,0.006,0.009,0.017,0.022,0.027,0.036,"Baidu, Inc.","NMS","Internet Information Providers","USA"
"CSCO",0.006,1,-0.014,-0.003,0.001,0.006,0.009,0.016,0.019,0.025,0.037,"Cisco Systems, Inc.","NMS","Networking & Communication Devices","USA"
"CTXS",0.007,1,-0.016,-0.004,0.002,0.006,0.009,0.016,0.021,0.026,0.038,"Citrix Systems, Inc.","NMS","Business Software & Services","USA"
"CTSH",0.008,1,-0.015,-0.005,-0.001,0.004,0.006,0.012,0.017,0.027,0.046,"Cognizant Technology Solutions Corporation","NMS","Business Software & Services","USA"
"EA",0.006,1,-0.016,-0.007,-0.002,0.001,0.003,0.009,0.013,0.02,0.03,"Electronic Arts Inc.","NMS","Multimedia & Graphics Software","USA"
