"","StationaryDistribution","Membership","QuantileSR.10","QuantileSR.25","QuantileSR.35","QuantileSR.45","QuantileSR.50","QuantileSR.65","QuantileSR.75","QuantileSR.85","QuantileSR.95","Name","Exchange","Category.Name","Country"
"LBTYK",0.009,1,-0.041,-0.015,-0.009,-0.003,-0.001,0.008,0.019,0.032,0.059,"Liberty Global plc","NMS","","USA"
"LBTYA",0.008,1,-0.045,-0.017,-0.01,-0.003,-0.001,0.009,0.018,0.034,0.062,"Liberty Global plc","NMS","CATV Systems","USA"
"AAL",0.006,2,-0.047,-0.025,-0.015,-0.005,-0.003,0.009,0.02,0.034,0.059,"American Airlines Group Inc.","NMS","Major Airlines","USA"
"AAPL",0.011,2,-0.038,-0.014,-0.005,0.005,0.009,0.02,0.031,0.048,0.072,"Apple Inc.","NMS","Electronic Equipment","USA"
"ADBE",0.013,2,-0.02,-0.003,0.004,0.011,0.014,0.025,0.031,0.045,0.082,"Adobe Systems Incorporated","NMS","Application Software","USA"
"ADSK",0.012,2,-0.03,-0.012,-0.002,0.006,0.009,0.021,0.027,0.043,0.074,"Autodesk, Inc.","NMS","Technical & System Software","USA"
"ALGN",0.009,2,-0.026,-0.005,0.006,0.012,0.017,0.03,0.041,0.053,0.082,"Align Technology, Inc.","NMS","Medical Appliances & Equipment","USA"
"AMZN",0.013,2,-0.024,-0.008,0.002,0.013,0.018,0.03,0.043,0.055,0.091,"Amazon.com, Inc.","NMS","Catalog & Mail Order Houses","USA"
"ATVI",0.008,2,-0.026,-0.009,-0.001,0.005,0.008,0.016,0.02,0.028,0.051,"Activision Blizzard, Inc.","NMS","Multimedia & Graphics Software","USA"
"AVGO",0.009,2,-0.037,-0.018,-0.01,-0.001,0.002,0.014,0.021,0.034,0.061,"Broadcom Limited","NMS","Semiconductor - Broad Line","USA"
"BIDU",0.008,2,-0.04,-0.013,0,0.008,0.012,0.021,0.029,0.04,0.063,"Baidu, Inc.","NMS","Internet Information Providers","USA"
"CHKP",0.009,2,-0.043,-0.017,-0.006,0,0.004,0.015,0.022,0.032,0.06,"Check Point Software Technologies Ltd.","NMS","Security Software & Services","USA"
"CHTR",0.007,2,-0.038,-0.019,-0.011,-0.004,0.001,0.01,0.018,0.028,0.048,"Charter Communications, Inc.","NMS","CATV Systems","USA"
"CTRP",0.007,2,-0.048,-0.027,-0.015,-0.006,-0.002,0.014,0.028,0.038,0.068,"Ctrip.com International, Ltd.","NMS","Lodging","USA"
"CTXS",0.01,2,-0.035,-0.011,0,0.007,0.01,0.022,0.03,0.05,0.092,"Citrix Systems, Inc.","NMS","Business Software & Services","USA"
"CTSH",0.008,2,-0.028,-0.01,-0.001,0.006,0.008,0.017,0.028,0.045,0.083,"Cognizant Technology Solutions Corporation","NMS","Business Software & Services","USA"
"EA",0.008,2,-0.027,-0.011,-0.005,0,0.004,0.015,0.023,0.036,0.065,"Electronic Arts Inc.","NMS","Multimedia & Graphics Software","USA"
"EXPE",0.006,2,-0.033,-0.013,-0.004,0.003,0.005,0.013,0.02,0.031,0.054,"Expedia, Inc.","NMS","Lodging","USA"
