"","StationaryDistribution","GOP","Membership","QuantileSR.10","QuantileSR.25","QuantileSR.35","QuantileSR.45","QuantileSR.50","QuantileSR.65","QuantileSR.75","QuantileSR.85","QuantileSR.95","Name","Exchange","Category.Name","Country"
"FRE.DE",0.008,0.034,1,-0.042,-0.023,-0.014,-0.006,0,0.011,0.018,0.027,0.058,"Fresenius SE & Co. KGaA","GER","Hospitals","Germany"
"RWE.DE",0.008,0.037,1,-0.039,-0.016,-0.006,0.002,0.006,0.019,0.03,0.048,0.078,"RWE Aktiengesellschaft","GER","Diversified Utilities","Germany"
"VNA.DE",0.007,0.031,1,-0.027,-0.008,-0.001,0.003,0.006,0.016,0.02,0.034,0.065,"Vonovia SE","GER","","Germany"
"SWMA.ST",0.007,0.032,1,-0.029,-0.01,0,0.009,0.012,0.024,0.033,0.048,0.092,"Swedish Match AB (publ)","STO","Tobacco Products, Other","Sweden"
"SSAB-A.ST",0.009,0.041,1,-0.045,-0.022,-0.011,-0.001,0.002,0.012,0.021,0.034,0.065,"SSAB AB","STO","Steel & Iron","Sweden"
"FING-B.ST",0.007,0.03,1,-0.063,-0.033,-0.022,-0.012,-0.009,0.002,0.007,0.016,0.033,"Fingerprint Cards AB (publ)","STO","Electronic Equipment","Sweden"
"VIG.VI",0.007,0.029,1,-0.03,-0.014,-0.009,-0.003,0,0.007,0.013,0.024,0.04,"Vienna Insurance Group AG","VIE","","Austria"
"TKA.VI",0.007,0.031,1,-0.042,-0.019,-0.012,-0.004,0,0.01,0.018,0.03,0.063,"Telekom Austria Aktiengesellschaft","VIE","","Austria"
"POST.VI",0.007,0.031,1,-0.037,-0.018,-0.008,0,0.003,0.013,0.023,0.04,0.063,"Österreichische Post AG","VIE","","Austria"
"EBS.VI",0.007,0.032,1,-0.03,-0.018,-0.01,-0.005,-0.001,0.007,0.016,0.023,0.047,"Erste Group Bank AG","VIE","","Austria"
"SPI.VI",0.007,0.031,1,-0.03,-0.011,-0.004,0.002,0.005,0.018,0.026,0.031,0.052,"S IMMO AG","VIE","","Austria"
"LNZ.VI",0.007,0.031,1,-0.039,-0.019,-0.011,-0.005,-0.001,0.009,0.015,0.027,0.048,"Lenzing Aktiengesellschaft","VIE","","Austria"
"VOE.VI",0.009,0.04,1,-0.044,-0.018,-0.007,0.002,0.006,0.015,0.023,0.032,0.052,"Voestalpine AG","VIE","","Austria"
"IIA.VI",0.008,0.033,1,-0.039,-0.023,-0.013,-0.005,0.001,0.014,0.026,0.042,0.075,"Immofinanz AG","VIE","","Austria"
"SBO.VI",0.008,0.038,1,-0.045,-0.014,-0.002,0.004,0.007,0.019,0.03,0.046,0.075,"Schoeller-Bleckmann Oilfield Equipment Aktiengesellschaft","VIE","","Austria"
"UQA.VI",0.007,0.03,1,-0.031,-0.013,-0.006,-0.002,0.002,0.012,0.02,0.027,0.051,"UNIQA Insurance Group AG","VIE","","Austria"
"OMV.VI",0.008,0.033,1,-0.034,-0.015,-0.008,0,0.004,0.009,0.019,0.031,0.056,"OMV Aktiengesellschaft","VIE","","Austria"
"RBI.VI",0.006,0.025,1,-0.026,-0.011,-0.004,0.003,0.005,0.013,0.019,0.029,0.051,"Raiffeisen Bank International AG","VIE","","Austria"
"VER.VI",0.008,0.033,1,-0.027,-0.009,0.001,0.008,0.012,0.023,0.029,0.044,0.084,"VERBUND AG","VIE","","Austria"
"CAI.VI",0.006,0.028,1,-0.026,-0.005,0.001,0.005,0.009,0.019,0.028,0.04,0.071,"CA Immobilien Anlagen Aktiengesellschaft","VIE","","Austria"
"WIE.VI",0.009,0.039,1,-0.034,-0.013,-0.007,-0.002,0.003,0.014,0.026,0.039,0.081,"Wienerberger AG","VIE","","Austria"
"ATS.VI",0.008,0.036,1,-0.029,-0.013,-0.004,0.001,0.005,0.016,0.026,0.037,0.064,"AT & S Austria Technologie & Systemtechnik Aktiengesellschaft","VIE","","Austria"
"FACC.VI",0.008,0.035,1,-0.025,-0.011,-0.005,0.003,0.008,0.019,0.031,0.041,0.079,"FACC AG","VIE","","Austria"
"^ATX",0.01,0.042,1,-0.032,-0.01,-0.002,0.003,0.005,0.013,0.019,0.031,0.061,"-","-","-","-"
"^STOXX",0.014,0.05,1,-0.037,-0.015,-0.006,0.002,0.005,0.015,0.024,0.034,0.071,"-","-","-","-"
"^STOXX50E",0.014,0.05,1,-0.045,-0.016,-0.006,0.001,0.004,0.015,0.022,0.035,0.057,"-","-","-","-"
"DPW.DE",0.009,0.038,2,-0.043,-0.021,-0.013,-0.004,0,0.016,0.024,0.036,0.053,"Deutsche Post AG","GER","Air Delivery & Freight Services","Germany"
"DB1.DE",0.006,0.029,2,-0.029,-0.011,-0.004,0.001,0.006,0.018,0.029,0.044,0.064,"Deutsche Börse Aktiengesellschaft","GER","Asset Management","Germany"
"^SSMI",0.009,0.039,2,-0.032,-0.012,-0.006,0.001,0.004,0.014,0.022,0.035,0.061,"-","-","-","-"
"SWED-A.ST",0.009,0.039,2,-0.033,-0.017,-0.009,-0.002,0.002,0.011,0.02,0.031,0.047,"Swedbank AB (publ)","STO","Money Center Banks","Sweden"
"INVE-B.ST",0.015,0.06,2,-0.04,-0.019,-0.013,-0.006,-0.003,0.007,0.018,0.036,0.058,"Investor AB","STO","Asset Management","Sweden"
"GETI-B.ST",0.008,0.035,2,-0.043,-0.023,-0.015,-0.007,-0.003,0.007,0.016,0.026,0.048,"Getinge AB","STO","Medical Instruments & Supplies","Sweden"
"TELIA.ST",0.008,0.034,2,-0.038,-0.021,-0.012,-0.003,0.001,0.01,0.02,0.033,0.074,"-","-","-","-"
"BOL.ST",0.008,0.036,2,-0.046,-0.019,-0.008,0,0.003,0.018,0.026,0.035,0.056,"Boliden AB (publ.)","STO","Industrial Metals & Minerals","Sweden"
"SHB-A.ST",0.01,0.04,2,-0.04,-0.023,-0.014,-0.005,-0.002,0.008,0.016,0.024,0.047,"Svenska Handelsbanken AB (publ)","STO","Money Center Banks","Sweden"
"SEB-A.ST",0.01,0.041,2,-0.04,-0.019,-0.013,-0.006,-0.003,0.007,0.015,0.027,0.047,"Skandinaviska Enskilda Banken AB (publ)","STO","Money Center Banks","Sweden"
