"","StationaryDistribution","Membership","QuantileSR.10","QuantileSR.25","QuantileSR.35","QuantileSR.45","QuantileSR.50","QuantileSR.65","QuantileSR.75","QuantileSR.85","QuantileSR.95","Name","Exchange","Category.Name","Country"
"SNY",0.01,1,-0.047,-0.023,-0.012,-0.005,-0.002,0.009,0.017,0.026,0.038,"Sanofi","NYQ","Drug Manufacturers - Major","USA"
"LLY",0.014,1,-0.033,-0.013,-0.008,0.001,0.007,0.018,0.025,0.037,0.063,"Eli Lilly and Company","NYQ","Drug Manufacturers - Major","USA"
"PRGO",0.013,1,-0.038,-0.02,-0.01,-0.003,0.002,0.012,0.017,0.027,0.056,"Perrigo Company plc","NYQ","Drug Related Products","USA"
"GSK",0.014,1,-0.043,-0.018,-0.008,0.001,0.004,0.013,0.019,0.033,0.056,"GlaxoSmithKline plc","NYQ","Drug Manufacturers - Major","USA"
"ALKS",0.011,1,-0.037,-0.019,-0.01,-0.005,-0.003,0.006,0.018,0.029,0.054,"Alkermes plc","NMS","Drug Delivery","USA"
"NVS",0.012,1,-0.036,-0.018,-0.01,-0.004,-0.001,0.011,0.02,0.029,0.048,"Novartis AG","NYQ","Drug Manufacturers - Major","USA"
"ABT",0.014,1,-0.03,-0.011,-0.004,0.005,0.008,0.017,0.025,0.035,0.072,"Abbott Laboratories","NYQ","Medical Appliances & Equipment","USA"
"BMY",0.009,1,-0.028,-0.011,-0.004,0,0.004,0.014,0.022,0.036,0.069,"Bristol-Myers Squibb Company","NYQ","Drug Manufacturers - Major","USA"
"MRK",0.013,1,-0.046,-0.021,-0.013,-0.007,-0.001,0.013,0.021,0.035,0.057,"Merck & Co., Inc.","NYQ","Drug Manufacturers - Major","USA"
"AZN",0.011,1,-0.039,-0.017,-0.005,0.002,0.005,0.014,0.022,0.031,0.063,"AstraZeneca PLC","NYQ","Drug Manufacturers - Major","USA"
"ABBV",0.011,1,-0.031,-0.014,-0.004,0.005,0.008,0.02,0.028,0.043,0.077,"AbbVie Inc.","NYQ","Drug Manufacturers - Major","USA"
"ZTS",0.012,1,-0.028,-0.009,-0.003,0.004,0.009,0.024,0.038,0.051,0.086,"Zoetis Inc.","NYQ","Drugs - Generic","USA"
"NVO",0.01,1,-0.044,-0.014,-0.006,0.002,0.005,0.014,0.024,0.037,0.06,"Novo Nordisk A/S","NYQ","Drug Manufacturers - Other","USA"
"MYL",0.012,1,-0.041,-0.021,-0.013,-0.004,0.001,0.012,0.022,0.032,0.065,"Mylan N.V.","NMS","Drugs - Generic","USA"
"PFE",0.015,1,-0.033,-0.014,-0.004,0.003,0.006,0.018,0.025,0.032,0.048,"Pfizer Inc.","NYQ","Drug Manufacturers - Major","USA"
"JNJ",0.013,1,-0.039,-0.022,-0.012,-0.005,-0.002,0.009,0.015,0.027,0.058,"Johnson & Johnson","NYQ","Drug Manufacturers - Major","USA"
"AGN",0.016,1,-0.052,-0.029,-0.018,-0.012,-0.007,0.007,0.014,0.025,0.065,"Allergan plc","NYQ","Drugs - Generic","USA"
"JAZZ",0.015,1,-0.038,-0.015,-0.007,0,0.003,0.015,0.02,0.034,0.068,"Jazz Pharmaceuticals Public Limited Company","NMS","Biotechnology","USA"
"^DRG",0.025,1,-0.037,-0.019,-0.011,-0.004,-0.001,0.017,0.025,0.035,0.059,"-","-","-","-"
"AMGN",0.017,1,-0.036,-0.016,-0.007,0.001,0.003,0.015,0.025,0.039,0.064,"Amgen Inc.","NMS","Biotechnology","USA"
"CELG",0.012,1,-0.037,-0.019,-0.012,-0.007,-0.004,0.007,0.018,0.031,0.054,"Celgene Corporation","NMS","Biotechnology","USA"
"GILD",0.014,1,-0.041,-0.02,-0.011,-0.005,-0.001,0.013,0.028,0.038,0.073,"Gilead Sciences, Inc.","NMS","Biotechnology","USA"
"BIIB",0.011,1,-0.033,-0.013,-0.007,-0.001,0.001,0.015,0.026,0.035,0.055,"Biogen Inc.","NMS","Biotechnology","USA"
"REGN",0.012,1,-0.051,-0.026,-0.015,-0.005,-0.004,0.009,0.017,0.024,0.053,"Regeneron Pharmaceuticals, Inc.","NMS","Biotechnology","USA"
"VRTX",0.014,1,-0.038,-0.017,-0.009,0,0.003,0.013,0.022,0.029,0.049,"Vertex Pharmaceuticals Incorporated","NMS","Biotechnology","USA"
"ALXN",0.014,1,-0.035,-0.016,-0.008,0,0.003,0.013,0.02,0.03,0.049,"Alexion Pharmaceuticals, Inc.","NMS","Biotechnology","USA"
