"","StationaryDistribution","Membership","QuantileSR.10","QuantileSR.25","QuantileSR.35","QuantileSR.45","QuantileSR.50","QuantileSR.65","QuantileSR.75","QuantileSR.85","QuantileSR.95","Name","Exchange","Category.Name","Country"
"^IXIC",0.013,1,-0.011,-0.002,0.004,0.009,0.011,0.019,0.025,0.033,0.048,"-","-","-","-"
"AAPL",0.005,1,-0.02,-0.006,-0.003,0.002,0.004,0.014,0.02,0.029,0.047,"Apple Inc.","NMS","Electronic Equipment","USA"
"MSFT",0.009,1,-0.01,-0.004,0.002,0.006,0.009,0.017,0.021,0.028,0.047,"Microsoft Corporation","NMS","Business Software & Services","USA"
"AMZN",0.008,1,-0.016,-0.003,0.003,0.008,0.011,0.02,0.031,0.042,0.054,"Amazon.com, Inc.","NMS","Catalog & Mail Order Houses","USA"
"FB",0.004,1,-0.012,-0.005,0,0.004,0.006,0.013,0.019,0.025,0.038,"Facebook, Inc.","NMS","Internet Information Providers","USA"
"GOOG",0.009,1,-0.018,-0.007,-0.002,0.003,0.005,0.014,0.022,0.029,0.051,"Alphabet Inc.","NMS","Internet Information Providers","USA"
"GOOGL",0.01,1,-0.017,-0.007,-0.002,0.003,0.005,0.014,0.022,0.029,0.048,"Alphabet Inc.","NMS","Internet Information Providers","USA"
"INTC",0.005,1,-0.024,-0.009,-0.001,0.007,0.01,0.019,0.025,0.032,0.043,"Intel Corporation","NMS","Semiconductor - Broad Line","USA"
"V",0.006,1,-0.008,0,0.006,0.01,0.012,0.017,0.022,0.036,0.053,"Visa Inc.","NYQ","Credit Services","USA"
"MA",0.007,1,-0.007,0.002,0.007,0.011,0.012,0.017,0.026,0.034,0.063,"Mastercard Incorporated","NYQ","Credit Services","USA"
"NFLX",0.006,1,-0.016,-0.008,-0.002,0.007,0.01,0.021,0.027,0.033,0.042,"Netflix, Inc.","NMS","CATV Systems","USA"
"NVDA",0.007,1,-0.014,-0.005,0.001,0.007,0.009,0.017,0.023,0.032,0.052,"NVIDIA Corporation","NMS","Semiconductor - Specialized","USA"
"ORCL",0.006,1,-0.02,-0.01,-0.005,0.002,0.005,0.013,0.02,0.027,0.054,"Oracle Corporation","NYQ","Application Software","USA"
"ADBE",0.008,1,-0.01,0,0.003,0.009,0.013,0.02,0.025,0.032,0.045,"Adobe Systems Incorporated","NMS","Application Software","USA"
"TXN",0.009,1,-0.013,-0.004,0.001,0.007,0.011,0.022,0.029,0.036,0.049,"Texas Instruments Incorporated","NMS","Semiconductor - Broad Line","USA"
"ABT",0.006,1,-0.013,-0.004,0.003,0.008,0.01,0.016,0.019,0.025,0.034,"Abbott Laboratories","NYQ","Medical Appliances & Equipment","USA"
"AVGO",0.004,1,-0.019,-0.009,-0.005,-0.001,0.002,0.008,0.014,0.021,0.038,"Broadcom Limited","NMS","Semiconductor - Broad Line","USA"
"CRM",0.008,1,-0.013,-0.002,0.002,0.009,0.011,0.021,0.03,0.037,0.052,"Salesforce.com, inc.","NYQ","Application Software","USA"
"QCOM",0.004,1,-0.022,-0.013,-0.008,-0.004,-0.002,0.008,0.012,0.021,0.033,"QUALCOMM Incorporated","NMS","Communication Equipment","USA"
"SBUX",0.003,1,-0.025,-0.011,-0.007,-0.002,-0.001,0.007,0.014,0.019,0.034,"Starbucks Corporation","NMS","Specialty Eateries","USA"
"MU",0.004,1,-0.019,-0.005,-0.001,0.003,0.006,0.016,0.024,0.034,0.045,"Micron Technology, Inc.","NMS","Semiconductor- Memory Chips","USA"
"DHR",0.006,1,-0.02,-0.007,0,0.004,0.006,0.012,0.016,0.023,0.04,"Danaher Corporation","NYQ","Diversified Machinery","USA"
