"","StationaryDistribution","Membership","QuantileSR.10","QuantileSR.25","QuantileSR.35","QuantileSR.45","QuantileSR.50","QuantileSR.65","QuantileSR.75","QuantileSR.85","QuantileSR.95","Name","Exchange","Category.Name","Country"
"UTX",0.022,1,-0.031,-0.015,-0.008,0,0.006,0.017,0.028,0.039,0.092,"United Technologies Corporation","NYQ","Aerospace/Defense Products & Services","USA"
"BA",0.019,1,-0.021,-0.006,0,0.007,0.009,0.02,0.029,0.04,0.071,"The Boeing Company","NYQ","Aerospace/Defense Products & Services","USA"
"XOM",0.019,1,-0.035,-0.012,-0.004,0.003,0.005,0.015,0.024,0.038,0.071,"Exxon Mobil Corporation","NYQ","Major Integrated Oil & Gas","USA"
"TRV",0.02,1,-0.031,-0.016,-0.01,-0.005,0,0.009,0.021,0.037,0.061,"The Travelers Companies, Inc.","NYQ","Property & Casualty Insurance","USA"
"WMT",0.016,1,-0.031,-0.014,-0.008,0.001,0.004,0.015,0.022,0.035,0.075,"Wal-Mart Stores, Inc.","NYQ","Discount, Variety Stores","USA"
"GS",0.024,1,-0.042,-0.017,-0.01,-0.004,0,0.012,0.022,0.033,0.055,"The Goldman Sachs Group, Inc.","NYQ","Investment Brokerage - National","USA"
"NKE",0.014,1,-0.027,-0.011,-0.003,0.003,0.006,0.016,0.024,0.039,0.065,"NIKE, Inc.","NYQ","Textile - Apparel Footwear & Accessories","USA"
"HD",0.018,1,-0.029,-0.015,-0.004,0.004,0.009,0.022,0.034,0.055,0.084,"The Home Depot, Inc.","NYQ","Home Improvement Stores","USA"
"CSCO",0.016,1,-0.028,-0.011,-0.002,0.008,0.011,0.022,0.032,0.042,0.063,"Cisco Systems, Inc.","NMS","Networking & Communication Devices","USA"
"MCD",0.014,1,-0.03,-0.017,-0.008,-0.001,0.003,0.013,0.021,0.032,0.071,"McDonald's Corporation","NYQ","Restaurants","USA"
"CVX",0.018,1,-0.032,-0.011,-0.004,0.005,0.011,0.021,0.028,0.04,0.067,"Chevron Corporation","NYQ","Major Integrated Oil & Gas","USA"
"JPM",0.026,1,-0.034,-0.018,-0.009,0.003,0.006,0.018,0.027,0.043,0.063,"JPMorgan Chase & Co.","NYQ","Money Center Banks","USA"
"MSFT",0.023,1,-0.022,-0.007,0,0.007,0.01,0.021,0.031,0.046,0.076,"Microsoft Corporation","NMS","Business Software & Services","USA"
"MMM",0.025,1,-0.037,-0.02,-0.01,-0.002,0.003,0.018,0.027,0.043,0.075,"3M Company","NYQ","Diversified Machinery","USA"
"AAPL",0.021,1,-0.038,-0.015,-0.007,0.004,0.008,0.02,0.031,0.048,0.072,"Apple Inc.","NMS","Electronic Equipment","USA"
"AXP",0.02,1,-0.03,-0.01,-0.003,0.004,0.008,0.019,0.029,0.04,0.071,"American Express Company","NYQ","Credit Services","USA"
"VZ",0.015,1,-0.036,-0.02,-0.011,-0.004,0.003,0.015,0.022,0.034,0.066,"Verizon Communications Inc.","NYQ","Telecom Services - Domestic","USA"
"DIS",0.016,1,-0.038,-0.02,-0.011,-0.004,0,0.012,0.019,0.029,0.05,"The Walt Disney Company","NYQ","Entertainment - Diversified","USA"
"IBM",0.02,1,-0.045,-0.02,-0.011,-0.004,-0.001,0.01,0.017,0.031,0.062,"International Business Machines Corporation","NYQ","Information Technology Services","USA"
"V",0.017,1,-0.017,-0.005,0.001,0.009,0.012,0.028,0.039,0.049,0.076,"Visa Inc.","NYQ","Credit Services","USA"
"DWDP",0.019,1,-0.034,-0.018,-0.007,0.001,0.004,0.012,0.023,0.037,0.071,"-","-","-","-"
"UNH",0.016,1,-0.025,-0.01,-0.003,0.002,0.006,0.017,0.026,0.04,0.075,"UnitedHealth Group Incorporated","NYQ","Health Care Plans","USA"
"PFE",0.019,1,-0.033,-0.014,-0.005,0.003,0.005,0.017,0.025,0.032,0.048,"Pfizer Inc.","NYQ","Drug Manufacturers - Major","USA"
"CAT",0.023,1,-0.025,-0.009,0.001,0.01,0.015,0.02,0.029,0.047,0.079,"Caterpillar Inc.","NYQ","Farm & Construction Machinery","USA"
"KO",0.019,1,-0.034,-0.018,-0.011,-0.003,0.002,0.015,0.024,0.038,0.068,"The Coca-Cola Company","NYQ","Beverages - Soft Drinks","USA"
"MRK",0.019,1,-0.047,-0.022,-0.013,-0.007,-0.002,0.012,0.021,0.035,0.057,"Merck & Co., Inc.","NYQ","Drug Manufacturers - Major","USA"
"PG",0.018,1,-0.037,-0.019,-0.009,-0.004,0.003,0.014,0.021,0.03,0.054,"The Procter & Gamble Company","NYQ","Personal Products","USA"
"JNJ",0.021,1,-0.039,-0.022,-0.013,-0.006,-0.002,0.008,0.014,0.027,0.058,"Johnson & Johnson","NYQ","Drug Manufacturers - Major","USA"
"INTC",0.017,1,-0.034,-0.016,-0.005,0.004,0.008,0.022,0.032,0.046,0.07,"Intel Corporation","NMS","Semiconductor - Broad Line","USA"
"WBA",0.017,1,-0.037,-0.017,-0.007,-0.001,0.003,0.01,0.02,0.028,0.057,"Walgreens Boots Alliance, Inc.","NMS","Drug Stores","USA"
"ADEN.VX",0.025,2,-0.041,-0.019,-0.011,-0.003,0.001,0.01,0.02,0.034,0.054,"Adecco Group AG","EBS","","Switzerland"
"NESN.VX",0.016,2,-0.032,-0.018,-0.012,-0.007,-0.004,0.007,0.015,0.022,0.038,"Nestlé S.A.","EBS","","Switzerland"
"SLHN.VX",0.025,2,-0.032,-0.017,-0.01,-0.001,0.002,0.015,0.027,0.043,0.087,"Swiss Life Holding AG","EBS","","Switzerland"
"ROG.VX",0.018,2,-0.048,-0.029,-0.021,-0.011,-0.006,0.008,0.016,0.028,0.056,"Roche Holding AG","EBS","","Switzerland"
"SREN.VX",0.021,2,-0.038,-0.017,-0.011,-0.005,0,0.012,0.021,0.034,0.082,"Swiss Re Ltd","EBS","","Switzerland"
"ZURN.VX",0.024,2,-0.039,-0.018,-0.01,-0.003,0,0.014,0.024,0.033,0.061,"Zurich Insurance Group AG","EBS","","Switzerland"
"LHN.VX",0.017,2,-0.033,-0.019,-0.01,-0.004,0,0.008,0.022,0.037,0.068,"LafargeHolcim Ltd","EBS","","Switzerland"
"BAER.VX",0.024,2,-0.023,-0.011,-0.003,0.004,0.007,0.017,0.027,0.038,0.062,"Julius Baer Group Ltd.","EBS","","Switzerland"
"GIVN.VX",0.021,2,-0.032,-0.013,-0.005,0.001,0.005,0.015,0.022,0.031,0.053,"Givaudan SA","EBS","","Switzerland"
"SCMN.VX",0.018,2,-0.038,-0.012,-0.004,0.001,0.004,0.013,0.024,0.035,0.059,"Swisscom AG","EBS","","Switzerland"
"GEBN.VX",0.026,2,-0.046,-0.017,-0.012,-0.005,-0.002,0.013,0.025,0.04,0.081,"Geberit AG","EBS","","Switzerland"
"SIK.VX",0.024,2,-0.029,-0.009,-0.004,0.004,0.007,0.016,0.023,0.036,0.059,"Sika AG","EBS","","Switzerland"
"NOVN.VX",0.018,2,-0.039,-0.015,-0.007,-0.003,0.002,0.011,0.019,0.027,0.047,"Novartis AG","EBS","","Switzerland"
"UBSG.VX",0.024,2,-0.03,-0.017,-0.008,-0.001,0.004,0.015,0.02,0.033,0.06,"UBS Group AG","EBS","","Switzerland"
"ABBN.VX",0.028,2,-0.039,-0.015,-0.008,0,0.004,0.017,0.026,0.039,0.064,"ABB Ltd","EBS","","Switzerland"
"UHR.VX",0.018,2,-0.029,-0.012,-0.003,0.002,0.006,0.02,0.029,0.046,0.091,"The Swatch Group AG","EBS","","Switzerland"
"CSGN.VX",0.024,2,-0.031,-0.013,-0.004,0.005,0.008,0.018,0.026,0.034,0.065,"Credit Suisse Group AG","EBS","","Switzerland"
"LONN.VX",0.018,2,-0.029,-0.014,-0.004,0.006,0.01,0.018,0.026,0.036,0.052,"Lonza Group Ltd","EBS","","Switzerland"
"SGSN.VX",0.022,2,-0.034,-0.013,-0.005,0.004,0.008,0.02,0.028,0.041,0.07,"SGS SA","EBS","","Switzerland"
"CFR.VX",0.02,2,-0.029,-0.013,-0.004,0.002,0.005,0.017,0.025,0.04,0.083,"Compagnie Financière Richemont SA","EBS","","Switzerland"
