"","StationaryDistribution","Membership","QuantileSR.10","QuantileSR.25","QuantileSR.35","QuantileSR.45","QuantileSR.50","QuantileSR.65","QuantileSR.75","QuantileSR.85","QuantileSR.95","Name","Exchange","Category.Name","Country"
"ADEN.VX",0.011,1,-0.041,-0.019,-0.011,-0.003,0.001,0.01,0.02,0.034,0.054,"Adecco Group AG","EBS","","Switzerland"
"NESN.VX",0.008,1,-0.032,-0.018,-0.012,-0.006,-0.003,0.007,0.016,0.022,0.038,"Nestlé S.A.","EBS","","Switzerland"
"SLHN.VX",0.011,1,-0.032,-0.017,-0.01,-0.001,0.002,0.015,0.027,0.043,0.087,"Swiss Life Holding AG","EBS","","Switzerland"
"ROG.VX",0.009,1,-0.048,-0.029,-0.021,-0.01,-0.006,0.008,0.016,0.028,0.056,"Roche Holding AG","EBS","","Switzerland"
"SREN.VX",0.01,1,-0.038,-0.017,-0.011,-0.004,0,0.012,0.021,0.034,0.082,"Swiss Re Ltd","EBS","","Switzerland"
"ZURN.VX",0.011,1,-0.039,-0.018,-0.01,-0.003,0,0.014,0.024,0.033,0.061,"Zurich Insurance Group AG","EBS","","Switzerland"
"LHN.VX",0.009,1,-0.032,-0.018,-0.01,-0.003,0,0.008,0.022,0.037,0.068,"LafargeHolcim Ltd","EBS","","Switzerland"
"BAER.VX",0.011,1,-0.023,-0.011,-0.003,0.004,0.007,0.017,0.027,0.038,0.062,"Julius Baer Group Ltd.","EBS","","Switzerland"
"GIVN.VX",0.01,1,-0.032,-0.013,-0.005,0.002,0.005,0.015,0.023,0.031,0.053,"Givaudan SA","EBS","","Switzerland"
"SCMN.VX",0.008,1,-0.037,-0.011,-0.004,0.002,0.004,0.013,0.025,0.035,0.059,"Swisscom AG","EBS","","Switzerland"
"GEBN.VX",0.012,1,-0.046,-0.017,-0.012,-0.004,-0.001,0.013,0.025,0.04,0.081,"Geberit AG","EBS","","Switzerland"
"SIK.VX",0.011,1,-0.029,-0.009,-0.004,0.004,0.007,0.016,0.023,0.038,0.059,"Sika AG","EBS","","Switzerland"
"NOVN.VX",0.009,1,-0.039,-0.015,-0.007,-0.003,0.002,0.011,0.02,0.027,0.047,"Novartis AG","EBS","","Switzerland"
"UBSG.VX",0.01,1,-0.03,-0.017,-0.008,-0.001,0.004,0.015,0.02,0.033,0.06,"UBS Group AG","EBS","","Switzerland"
"ABBN.VX",0.012,1,-0.039,-0.015,-0.008,0,0.003,0.017,0.026,0.039,0.064,"ABB Ltd","EBS","","Switzerland"
"UHR.VX",0.009,1,-0.029,-0.012,-0.003,0.002,0.006,0.02,0.029,0.046,0.091,"The Swatch Group AG","EBS","","Switzerland"
"CSGN.VX",0.011,1,-0.031,-0.013,-0.005,0.005,0.008,0.018,0.026,0.034,0.065,"Credit Suisse Group AG","EBS","","Switzerland"
"LONN.VX",0.009,1,-0.029,-0.014,-0.004,0.006,0.01,0.019,0.026,0.036,0.052,"Lonza Group Ltd","EBS","","Switzerland"
"SGSN.VX",0.01,1,-0.034,-0.013,-0.005,0.004,0.008,0.02,0.028,0.042,0.07,"SGS SA","EBS","","Switzerland"
"CFR.VX",0.009,1,-0.029,-0.013,-0.004,0.002,0.005,0.017,0.025,0.04,0.083,"Compagnie Financière Richemont SA","EBS","","Switzerland"
"^DJI",0.019,2,-0.023,-0.008,0,0.008,0.015,0.032,0.041,0.059,0.11,"-","-","-","-"
"UTX",0.011,2,-0.031,-0.015,-0.008,-0.001,0.006,0.017,0.028,0.04,0.092,"United Technologies Corporation","NYQ","Aerospace/Defense Products & Services","USA"
"BA",0.011,2,-0.021,-0.006,0,0.007,0.01,0.02,0.027,0.039,0.066,"The Boeing Company","NYQ","Aerospace/Defense Products & Services","USA"
"XOM",0.01,2,-0.035,-0.011,-0.002,0.004,0.006,0.016,0.024,0.038,0.071,"Exxon Mobil Corporation","NYQ","Major Integrated Oil & Gas","USA"
