"","StationaryDistribution","Membership","QuantileSR.10","QuantileSR.25","QuantileSR.35","QuantileSR.45","QuantileSR.50","QuantileSR.65","QuantileSR.75","QuantileSR.85","QuantileSR.95","Name","Exchange","Category.Name","Country"
"^SSMI",0.002,1,-0.02,-0.008,-0.004,-0.001,0.001,0.009,0.014,0.02,0.032,"-","-","-","-"
"CFR.VX",0.003,1,-0.018,-0.008,-0.004,0.002,0.004,0.012,0.018,0.026,0.043,"Compagnie Financière Richemont SA","EBS","","Switzerland"
"UHR.VX",0.004,1,-0.019,-0.008,-0.002,0.002,0.004,0.013,0.021,0.033,0.047,"The Swatch Group AG","EBS","","Switzerland"
"ALO.SW",0.005,1,-0.164,-0.136,-0.119,-0.021,-0.012,0.438,13.013,13.593,14.173,"Alstom SA","EBS","","Switzerland"
"CSCO.SW",0.003,1,-0.023,0.003,0.012,0.017,0.022,0.693,25.426,26.007,26.585,"Cisco Systems, Inc.","EBS","","Switzerland"
"ADM.SW",0.006,1,-0.166,-0.139,-0.12,-0.104,-0.092,29.077,29.664,30.239,30.823,"Archer-Daniels-Midland Company","EBS","","Switzerland"
"HLEE.SW",0.013,1,-0.026,-0.002,0.003,0.013,0.016,0.066,31.961,32.571,33.139,"Highlight Event and Entertainment AG","EBS","","Switzerland"
"MCD.SW",0.002,1,-73.727,-72.846,-72.278,-0.186,-0.164,0.005,0.017,0.017,0.034,"McDonald's Corporation","EBS","","Switzerland"
"BAER.VX",0.003,1,-0.016,-0.008,-0.004,0.002,0.005,0.014,0.019,0.032,0.048,"Julius Baer Group Ltd.","EBS","","Switzerland"
"ADEN.VX",0.004,1,-0.03,-0.015,-0.01,-0.006,-0.004,0.006,0.012,0.02,0.04,"Adecco Group AG","EBS","","Switzerland"
"ISP.SW",0.004,1,-9.091,-8.244,-0.192,-0.05,-0.022,0,0.017,0.024,0.064,"Intesa Sanpaolo S.p.A.","EBS","","Switzerland"
"T.SW",0.003,1,-19.992,-19.122,-0.208,-0.043,-0.023,-0.015,-0.001,0.015,0.022,"AT&T","EBS","","Switzerland"
"GMI.SW",0.006,1,-0.017,-0.007,0,0.004,0.007,0.048,20.44,21.02,21.599,"Groupe Minoteries SA","EBS","","Switzerland"
"SNE.SW",0.002,1,-0.142,-0.017,0.013,0.017,0.021,352.367,356.607,358.727,363.204,"Schneider Electric S.E.","EBS","","Switzerland"
"KN.SW",0.004,1,-0.183,-0.14,-0.017,0.017,0.017,70.211,70.707,71.353,71.907,"Natixis S.A.","EBS","","Switzerland"
"ERICB.SW",0.004,1,-0.164,-0.13,-0.12,-0.017,0.016,2.732,15.983,16.561,17.139,"Telefonaktiebolaget LM Ericsson (publ)","EBS","","Switzerland"
"CLN.VX",0.003,1,-0.016,-0.007,0.001,0.005,0.008,0.016,0.021,0.028,0.042,"Clariant AG","EBS","","Switzerland"
"GOB.SW",0.005,1,-26.969,-26.102,-0.329,-0.034,-0.025,-0.016,0.001,0.017,0.028,"Compagnie de Saint-Gobain S.A.","EBS","","Switzerland"
"RNO.SW",0.004,1,-35.869,-35.002,-0.272,-0.022,-0.017,-0.002,0.017,0.018,0.056,"Renault SA","EBS","","Switzerland"
"ADS.SW",0.004,1,-0.025,-0.009,-0.003,0.011,0.015,0.086,35.767,36.348,36.929,"Adidas AG","EBS","","Switzerland"
"NESN.VX",0.003,1,-0.021,-0.012,-0.008,-0.004,-0.002,0.003,0.006,0.011,0.019,"Nestlé S.A.","EBS","","Switzerland"
"UIS.SW",0.005,1,-7.729,-6.86,-0.168,-0.017,0.001,0.14,8.22,8.8,9.38,"Unisys Corporation","EBS","","Switzerland"
"LISN.SW",0.003,1,-0.017,-0.006,-0.003,0.001,0.003,0.011,0.016,0.023,0.041,"Chocoladefabriken Lindt & Sprüngli AG","EBS","","Switzerland"
"CS.SW",0.004,1,-10.508,-9.639,-0.039,-0.013,-0.007,0.006,0.017,0.02,0.042,"AXA SA","EBS","","Switzerland"
