"","StationaryDistribution","GOP","Membership","QuantileSR.10","QuantileSR.25","QuantileSR.35","QuantileSR.45","QuantileSR.50","QuantileSR.65","QuantileSR.75","QuantileSR.85","QuantileSR.95","Ticker","Name"
"^GSPC",0.051,0.117,1,-0.021,-0.005,0.002,0.009,0.013,0.026,0.037,0.049,0.089,"-","-"
"^DJI",0.038,0.106,1,-0.022,-0.008,0,0.007,0.014,0.031,0.039,0.051,0.097,"-","-"
"^IXIC",0.033,0.091,1,-0.023,-0.007,0.001,0.01,0.017,0.024,0.033,0.049,0.077,"-","-"
"^NYA",0.04,0.102,1,-0.025,-0.01,0,0.009,0.012,0.023,0.033,0.044,0.081,"-","-"
"^RUT",0.023,0.069,1,-0.027,-0.013,-0.003,0.006,0.011,0.022,0.032,0.045,0.081,"-","-"
"^RUA",0.048,0.13,1,-0.023,-0.006,0.002,0.01,0.014,0.025,0.036,0.054,0.116,"-","-"
"^RUI",0.053,0.12,1,-0.02,-0.005,0.002,0.009,0.013,0.025,0.037,0.049,0.085,"-","-"
"RWE.TO",0.021,0.061,1,-0.027,-0.014,-0.007,0,0.002,0.014,0.023,0.033,0.048,"RWE.TO","First Asset MSCI Europe Low Risk Weighted ETF"
"^STOXX",0.014,0.046,2,-0.037,-0.014,-0.004,0.004,0.007,0.016,0.027,0.035,0.073,"-","-"
"RWW.TO",0.016,0.049,2,-0.025,-0.011,-0.005,0.001,0.005,0.015,0.024,0.036,0.067,"RWW.TO","First Asset MSCI World Low Risk Weighted ETF"
"RWC.TO",0.013,0.042,2,-0.104,-0.021,-0.009,0.005,0.014,0.021,0.035,0.06,5897.886,"RWC.TO","First Asset MSCI Canada Low Risk Weighted ETF"
"RWU.TO",0.015,0.046,2,-0.135,-0.021,-0.011,0.002,0.006,0.021,0.022,0.039,0.122,"RWU.TO","First Asset MSCI USA Low Risk Weighted ETF"
"ZEA.TO",0.052,0.135,3,-0.032,-0.014,-0.005,0.003,0.007,0.017,0.025,0.042,0.074,"ZEA.TO","BMO MSCI EAFE Index ETF"
"XWD.TO",0.046,0.126,3,-0.028,-0.008,0.001,0.008,0.01,0.023,0.034,0.049,0.089,"XWD.TO","iShares MSCI World Index ETF"
"XMV.TO",0.021,0.064,3,-0.035,-0.014,-0.005,0.004,0.008,0.019,0.03,0.037,0.071,"XMV.TO","iShares Edge MSCI Min Vol Canada Index ETF"
"XMI.TO",0.04,0.107,3,-0.034,-0.012,-0.005,0.003,0.005,0.018,0.029,0.04,0.07,"XMI.TO","iShares Edge MSCI Min Vol EAFE Index ETF"
"XEU.TO",0.042,0.121,3,-0.03,-0.013,-0.004,0.004,0.007,0.019,0.028,0.038,0.056,"XEU.TO","iShares MSCI Europe IMI Index ETF"
"XMW.TO",0.035,0.094,3,-0.031,-0.01,-0.001,0.007,0.009,0.019,0.028,0.042,0.084,"XMW.TO","iShares Edge MSCI Min Vol Global Index ETF"
"XMU.TO",0.027,0.075,3,-0.029,-0.01,0,0.006,0.008,0.022,0.028,0.04,0.078,"XMU.TO","iShares Edge MSCI Min Vol USA Index ETF"
"XEF.TO",0.055,0.146,3,-0.03,-0.013,-0.004,0.005,0.01,0.019,0.031,0.043,0.075,"XEF.TO","iShares Core MSCI EAFE IMI Index ETF"
"^SPEUP",0.027,0.079,4,-0.024,-0.013,-0.002,0.005,0.008,0.017,0.026,0.042,0.071,"-","-"
"ZEQ.TO",0.027,0.072,4,-0.027,-0.01,-0.002,0.002,0.007,0.012,0.021,0.035,0.061,"ZEQ.TO","BMO MSCI Europe High Quality Hedged to CAD Index ETF"
"ZDM.TO",0.039,0.102,4,-0.026,-0.01,-0.001,0.006,0.009,0.019,0.029,0.043,0.065,"ZDM.TO","BMO MSCI EAFE Hedged to CAD Index ETF"
"XIN.TO",0.043,0.112,4,-0.026,-0.009,0.001,0.007,0.011,0.021,0.03,0.041,0.063,"XIN.TO","iShares MSCI EAFE Index ETF (CAD-Hedged)"
"XEH.TO",0.038,0.103,4,-0.028,-0.008,-0.001,0.006,0.009,0.016,0.026,0.04,0.064,"XEH.TO","iShares MSCI Europe IMI Index ETF (CAD-Hedged)"
"XMM.TO",0.035,0.097,5,-0.031,-0.013,-0.005,0,0.003,0.015,0.028,0.047,0.088,"XMM.TO","iShares Edge MSCI Min Vol Emerging Markets Index ETF"
"ZEM.TO",0.034,0.083,5,-0.029,-0.015,-0.005,0,0.003,0.013,0.023,0.034,0.063,"ZEM.TO","BMO MSCI Emerging Markets Index ETF"
"XEM.TO",0.039,0.101,5,-0.031,-0.014,-0.007,-0.001,0.003,0.013,0.024,0.035,0.06,"XEM.TO","iShares MSCI Emerging Markets Index ETF"
"XEC.TO",0.035,0.089,5,-0.029,-0.015,-0.007,0,0.003,0.013,0.023,0.038,0.067,"XEC.TO","iShares Core MSCI Emerging Markets IMI Index ETF"
