"","so","mem"
"V",0.00688794455846969,1
"PSM.DE",0.00710186305518241,1
"DPW.DE",0.00889138729297293,1
"VNA.DE",0.00814775142379301,1
"DB1.DE",0.0083138456282042,1
"ANTO.L",0.00800865187116913,1
"CCH.L",0.0074956417160196,1
"AHT.L",0.00952204807355535,1
"SDR.L",0.0119487385563547,1
"BATS.L",0.00819256903825941,1
"EZJ.L",0.00652703430134007,1
"SHP.L",0.00754856766006849,1
"CCL.L",0.00737934429387042,1
"CNA.L",0.00802216390618345,1
"SSE.L",0.0087882591738119,1
"GFS.L",0.00735708255777051,1
"NMC.L",0.00684743950499356,1
"SMIN.L",0.012282143105143,1
"PRU.L",0.0119052587718216,1
"DLG.L",0.0066030796986579,1
"EXPN.L",0.00770229196341712,1
"RTO.L",0.00904321129664415,1
"STJ.L",0.0104929331659678,1
"CPG.L",0.00963852340260115,1
"VOD.L",0.0111121062096104,1
"PPB.L",0.00663571502288928,1
"^FTSE",0.0174908880729118,1
"^DJI",0.0324727586438099,2
"MSFT",0.0164325530375195,2
"MRK",0.0106199383056503,2
"DIS",0.00866679982698789,2
"NKE",0.00842862671107195,2
"JNJ",0.012392544053869,2
"HD",0.0119978352555517,2
"KO",0.0105388482330972,2
"MMM",0.0161988907604184,2
"GE",0.00818737850940602,2
"AAPL",0.0103417578572874,2
"VZ",0.00967500265213709,2
"UTX",0.011652975730974,2
"TRV",0.0109903629300155,2
"IBM",0.0126755029984562,2
"BA",0.0127178438784734,2
"GS",0.0167054779640153,2
"WMT",0.00865386731407842,2
"MCD",0.00859078239167507,2
"JPM",0.0176044669388121,2
"PFE",0.0127849892803403,2
"CSCO",0.0166463314962188,2
"PG",0.00953480368879003,2
"AXP",0.0183104208832656,2
"UNH",0.0103907252171947,2
"DWDP",0.0161890713826819,2
"CAT",0.0158038011424692,2
"INTC",0.0122880869348348,2
"XOM",0.010837549101262,2
"CVX",0.011371853026297,2
"SKY.L",0.00636663154275666,2
"SIE.DE",0.0184712506547896,3
"BEI.DE",0.0106059834682725,3
"BAS.DE",0.0206505680943685,3
"FRE.DE",0.0130123702188298,3
"ADS.DE",0.00982675047835734,3
"MUV2.DE",0.011501215320694,3
"BAYN.DE",0.0162759080316948,3
"TKA.DE",0.00956206313329797,3
"ALV.DE",0.018684792759112,3
"RWE.DE",0.00848095142821385,3
"LIN.DE",0.0095731879395718,3
"VOW3.DE",0.0126070631798896,3
"DAI.DE",0.0181069705546182,3
"EOAN.DE",0.00951134649687977,3
"HEI.DE",0.010019364288177,3
"CON.DE",0.014733281411868,3
"SAP.DE",0.0162383090400346,3
"MRK.DE",0.0095152708439534,3
"IFX.DE",0.0137554916874089,3
"CBK.DE",0.00959968296639155,3
"HEN3.DE",0.0108441612908361,3
"LHA.DE",0.00862548871956696,3
"DBK.DE",0.0103276086892926,3
"FME.DE",0.015242126891968,3
"DTE.DE",0.00987143494992596,3
"BMW.DE",0.015646022553808,3
"^GDAXI",0.0327563738970784,3
