"","so","mem"
"V",0.00500837589208656,1
"CCH.L",0.00563278779334001,1
"EZJ.L",0.00462834401020987,1
"CCL.L",0.00538998213823333,1
"GFS.L",0.00544191010743212,1
"NMC.L",0.00507142375670783,1
"SKY.L",0.00453258600435088,1
"DLG.L",0.00487032923683658,1
"EXPN.L",0.00565395451274303,1
"PPB.L",0.0047645306706197,1
"SAN.PA",0.00459313623256209,1
"CA.PA",0.00477612667636944,1
"SW.PA",0.00579927041442674,1
"PSM.DE",0.00523478566333819,2
"DPW.DE",0.00686024949920461,2
"VNA.DE",0.00620387481100648,2
"DB1.DE",0.00567045174355725,2
"ANTO.L",0.00580121324140278,2
"AHT.L",0.00683827651380921,2
"SDR.L",0.00855371739134606,2
"BATS.L",0.00597552605297738,2
"SHP.L",0.0055805878892897,2
"CNA.L",0.00601862814258494,2
"SSE.L",0.00642912925628725,2
"PRU.L",0.0083676970454776,2
"RTO.L",0.00627142893772561,2
"STJ.L",0.00719197326066451,2
"CPG.L",0.0067712430623743,2
"VOD.L",0.00802690338168263,2
"^FTSE",0.0118915270665693,2
"AIR.PA",0.00711928394048704,2
"LR.PA",0.00684691668569368,2
"VIE.PA",0.00607551887142626,2
"ACA.PA",0.00550857659059304,2
"^DJI",0.0216443613190709,3
"MSFT",0.0109032827594014,3
"MRK",0.00749576559357051,3
"DIS",0.00619211378571639,3
"NKE",0.0062301703675313,3
"JNJ",0.00885203203848549,3
"HD",0.00844365025526953,3
"KO",0.007183195412821,3
"MMM",0.0116727262460338,3
"GE",0.00581404190015074,3
"AAPL",0.00703422079321054,3
"VZ",0.00672902593766261,3
"UTX",0.0083021783846632,3
"TRV",0.00772481717501181,3
"IBM",0.00899142648775346,3
"BA",0.00889269709295647,3
"GS",0.0113742842141747,3
"WMT",0.00606360802386996,3
"MCD",0.00605749854335918,3
"JPM",0.0119335788594947,3
"PFE",0.00876608819461057,3
"CSCO",0.0110123711060246,3
"PG",0.00668392169588539,3
"AXP",0.0122202143293393,3
"UNH",0.00727794149124056,3
"DWDP",0.011485651947062,3
"CAT",0.0108893395545087,3
"INTC",0.00860242847889681,3
"XOM",0.00763318448601566,3
"CVX",0.00800820509385542,3
"SIE.DE",0.0155411921502078,4
"BEI.DE",0.00891437961607464,4
"BAS.DE",0.017342701008081,4
"FRE.DE",0.00934755976756146,4
"ADS.DE",0.00704209708399578,4
"MUV2.DE",0.00869775358292567,4
"BAYN.DE",0.0125893750471856,4
"TKA.DE",0.00684145540653246,4
"ALV.DE",0.016231278501088,4
"RWE.DE",0.00617044945767824,4
"LIN.DE",0.00641005801231715,4
"VOW3.DE",0.00942631526496649,4
"DAI.DE",0.0137957140578798,4
"EOAN.DE",0.00693025155306921,4
"HEI.DE",0.00740656507967493,4
"CON.DE",0.01207167529154,4
"SAP.DE",0.0145881041807275,4
"MRK.DE",0.00672500044961407,4
"IFX.DE",0.0105353371147572,4
"HEN3.DE",0.00884858941988233,4
"LHA.DE",0.00628606428830706,4
"FME.DE",0.0112545417433569,4
"DTE.DE",0.00859361737166873,4
"BMW.DE",0.0122981095203961,4
"^GDAXI",0.0321864654640929,4
"CAP.PA",0.00894952731668989,4
"FP.PA",0.00625074463130069,4
"AI.PA",0.014876572888944,4
"FR.PA",0.00850546902650669,4
"MC.PA",0.0127999591158884,4
"UG.PA",0.00708572408372121,4
"SGO.PA",0.0110766313378778,4
"KER.PA",0.00828354056213512,4
"AC.PA",0.00561282280662708,4
"ATO.PA",0.00751488934692316,4
"ENGI.PA",0.00718004624859795,4
"BN.PA",0.0091039439730354,4
"SU.PA",0.0147765177515002,4
"OR.PA",0.0111986871972525,4
"ML.PA",0.00851905161640419,4
"DG.PA",0.0120560323982699,4
"VIV.PA",0.00650268716904902,4
"ORA.PA",0.00831451111331358,4
"EN.PA",0.00964314132720238,4
"^FCHI",0.0299348865238116,4
"CBK.DE",0.00828132428298252,5
"DBK.DE",0.00820462903230727,5
"GLE.PA",0.00859108710973274,5
"BNP.PA",0.0111486346452831,5
