"","so","mem"
"PSM.DE",0.00571834875340431,1
"DPW.DE",0.00672068113094434,1
"VNA.DE",0.00633575755878547,1
"DB1.DE",0.00601545091130232,1
"ANTO.L",0.00624091119655491,1
"CCH.L",0.00605814686350821,1
"AHT.L",0.00711685420513479,1
"SDR.L",0.00926003529110273,1
"BATS.L",0.00662854369259203,1
"EZJ.L",0.00521645664898625,1
"SHP.L",0.00612784796945135,1
"CCL.L",0.00596135896565579,1
"CNA.L",0.00636234466733972,1
"SSE.L",0.0072321260994331,1
"GFS.L",0.00590747258389855,1
"NMC.L",0.00597655392229304,1
"PRU.L",0.00899073227023795,1
"SKY.L",0.00507727030382442,1
"DLG.L",0.00526790216184245,1
"EXPN.L",0.00633903900710882,1
"RTO.L",0.00728129471293291,1
"STJ.L",0.00786834756785514,1
"CPG.L",0.00764511695661734,1
"VOD.L",0.00872298376826184,1
"PPB.L",0.00539816497557307,1
"^FTSE",0.0128346279539374,1
"0006.HK",0.00699486378280248,1
"1044.HK",0.00579702841382044,1
"^DJI",0.0244745898546718,2
"MSFT",0.0123049734769249,2
"MRK",0.00833984114026482,2
"DIS",0.0071477023639693,2
"NKE",0.00669661193440955,2
"JNJ",0.00987223969287547,2
"HD",0.00949949356749742,2
"KO",0.00837857643539622,2
"MMM",0.0127743810466495,2
"GE",0.00658327193463488,2
"AAPL",0.00794205471464515,2
"VZ",0.00786232627248679,2
"UTX",0.00917393159427594,2
"TRV",0.00868736052428767,2
"IBM",0.00996159704119257,2
"BA",0.0100301949018081,2
"GS",0.0128379967632013,2
"V",0.00537929959290917,2
"WMT",0.00677299744288701,2
"MCD",0.00679021438641902,2
"JPM",0.0136128009173939,2
"PFE",0.00992900606756969,2
"CSCO",0.0122949950532068,2
"PG",0.00773505094721998,2
"AXP",0.0138807091585,2
"UNH",0.00812298200539433,2
"DWDP",0.0129420881874689,2
"CAT",0.0119642156762733,2
"INTC",0.00931038003603777,2
"XOM",0.0083396541355028,2
"CVX",0.00880055956491713,2
"2018.HK",0.0066429806847229,3
"2318.HK",0.00958402207867628,3
"2388.HK",0.00689744878512136,3
"0700.HK",0.00843678348218408,3
"2628.HK",0.0101925392220062,3
"0992.HK",0.00596032592119156,3
"1398.HK",0.00885428269863543,3
"0836.HK",0.00556411402211361,3
"1299.HK",0.00856149014136822,3
"1928.HK",0.00633509040282839,3
"0883.HK",0.0074333023881669,3
"2319.HK",0.00572927424924372,3
"0386.HK",0.00836241363828954,3
"0003.HK",0.00707343201277608,4
"1038.HK",0.00694436513764004,4
"0941.HK",0.00724130497443239,4
"0101.HK",0.00724330268986185,4
"0002.HK",0.00663594450739382,4
"0012.HK",0.00990283432202453,4
"0016.HK",0.010095590812346,4
"0027.HK",0.00651658016440148,4
"0023.HK",0.00730508635008844,4
"1109.HK",0.00771932883748297,4
"0017.HK",0.0109037227548381,4
"0267.HK",0.00845375392957303,4
"0083.HK",0.00981717862088266,4
"^HSI",0.0112397133538272,4
"SIE.DE",0.0141727803129628,5
"BEI.DE",0.00824083815394193,5
"BAS.DE",0.0160807727058677,5
"FRE.DE",0.0099596082322023,5
"ADS.DE",0.00782277439588443,5
"MUV2.DE",0.00930492930143628,5
"BAYN.DE",0.0126733511994777,5
"TKA.DE",0.00747603455037209,5
"ALV.DE",0.0147373065547782,5
"RWE.DE",0.00663020047967366,5
"LIN.DE",0.00747500573826454,5
"VOW3.DE",0.00987072773555115,5
"DAI.DE",0.0137421020773066,5
"EOAN.DE",0.00758529870255574,5
"HEI.DE",0.00814067487467357,5
"CON.DE",0.011350482091709,5
"SAP.DE",0.0126797155126858,5
"MRK.DE",0.00754326997196997,5
"IFX.DE",0.0104643958146161,5
"CBK.DE",0.00785713968838085,5
"HEN3.DE",0.00855319756639802,5
"LHA.DE",0.00670782257857074,5
"DBK.DE",0.00851945364382035,5
"FME.DE",0.0119006679771921,5
"DTE.DE",0.00823294471070949,5
"BMW.DE",0.0121364970767721,5
"^GDAXI",0.0249574434040175,5
