"","so","mem"
"ACD.TO",0.00588199975169863,1
"AC.TO",0.00966802018700596,1
"AD.TO",0.0105148407226602,1
"AKG.TO",0.00964063498509878,1
"AOT.V",0.00990757176531265,1
"ATA.TO",0.0103697026809586,1
"BOS.TO",0.0105025469138562,1
"BTO.TO",0.0104254966844669,1
"CBL.TO",0.00973233716449001,1
"CFP.TO",0.0117063372815111,1
"CNE.TO",0.009839494647494,1
"CTO.V",0.00514108706208158,1
"DRM.TO",0.00993680810190382,1
"EFL.TO",0.0083711449177678,1
"EFN.TO",0.0101033131721451,1
"ELD.TO",0.0111240657438425,1
"ENB.TO",0.0141463748258704,1
"ESN.TO",0.00945992009925422,1
"ESP.TO",0.00928267784219982,1
"EXE.TO",0.00971978427671741,1
"FM.TO",0.0142705083657921,1
"FSW.V",0.00370649498712166,1
"FSZ.TO",0.0104946478886706,1
"GDC.TO",0.00753139099082358,1
"GWR.TO",0.00943366174525075,1
"HBM.TO",0.0142003823233012,1
"INE.TO",0.01005552477229,1
"KUB.V",0.00228557223060857,1
"LUN.TO",0.0111271502307508,1
"LYD.TO",0.00774650147486475,1
"MDV.V",0.00347676837939134,1
"MIT.V",0.00751895473546692,1
"MMA.V",0.00879931379007829,1
"MOZ.TO",0.00943173291039103,1
"MPC.TO",0.00566812900024554,1
"MRD.TO",0.00939566772103499,1
"NPS.TO",0.00387665310891404,1
"NVX.V",0.0074654441407398,1
"PPL.TO",0.0133330873530249,1
"RFC.V",0.0082676204482983,1
"SSC.V",0.00316805599893763,1
"THO.TO",0.0110134961000655,1
"TSP.V",0.00194064374864784,1
"VRX.TO",0.0111171096992552,1
"WJX.TO",0.00997051945399776,1
"WRN.TO",0.0101390334184488,1
"XTC.TO",0.0101060898079544,1
"X.TO",0.00959962665721666,1
"ZKL.V",0.00357587170448821,1
"BBD-B.TO",0.00955258067082127,1
"OTEX.TO",0.0116143269710603,1
"BMO.TO",0.0220728487098074,2
"BNS.TO",0.018531573311222,2
"CM.TO",0.0200046262985881,2
"CWB.TO",0.0163802907506714,2
"LB.TO",0.0124219345596213,2
"MFC.TO",0.0161336217894946,2
"NA.TO",0.0198002130247367,2
"PWF.TO",0.0129852126001903,2
"RY.TO",0.0248442443572042,2
"TD.TO",0.0185452828634944,2
"^GSPTSE",0.0289858160738187,2
"SLF.TO",0.018876616180853,2
"BTE.TO",0.0193924221554311,3
"CFW.TO",0.0162158650349133,3
"CNQ.TO",0.0204588067254588,3
"ESI.TO",0.0151536606335437,3
"PEY.TO",0.0135116467168583,3
"PGF.TO",0.0146630423305217,3
"SU.TO",0.016922141989195,3
"TCW.TO",0.0187512178606319,3
"ATH.TO",0.0164357941869192,4
"CPG.TO",0.0223540212208198,4
"CVE.TO",0.0217008390137657,4
"ECA.TO",0.0195204754599077,4
"MEG.TO",0.0186176813299239,4
"PD.TO",0.018681710592692,4
"ABX.TO",0.0156873778967396,5
"AEM.TO",0.014474793732279,5
"K.TO",0.0169328261553214,5
"YRI.TO",0.0155866767910876,5
