"","so","mem"
"HOMB",0.0089368870791519,1
"IBN",0.00541589862549327,1
"GWB",0.00942185732330513,1
"BLMT",0.00427796588456412,1
"FBNK",0.00563320388716582,1
"FRC",0.00723906346734503,1
"NCBS",0.00524629866674121,1
"STBZ",0.00918739423198372,1
"PUB",0.00435159630347703,1
"OPB",0.00700740708339727,1
"EGDW",0.00081762175180369,1
"FCBI",0.0014413299827812,1
"TSC",0.00686327269630003,1
"OAKV",0.00150416179578152,1
"HTH",0.00883401327011269,1
"RBS",0.00526988803290262,1
"UBS",0.00908723526438009,1
"WAL",0.0104948533342168,1
"WF",0.00470042419898545,1
"ZBK",0.00272862606088872,1
"BBD",0.00724494348912712,1
"BSBR",0.00693113968407416,1
"HDB",0.00405893894769045,1
"BBDO",0.00476755711366861,1
"BSMX",0.00456103941431501,1
"BMA",0.00428921337477583,1
"BCH",0.00441336302587309,1
"SHG",0.00525987201163535,1
"GGAL",0.004417457589292,1
"KB",0.00576726586069419,1
"SMFG",0.00551588090043716,1
"MFG",0.00516401021977311,1
"ITUB",0.00714473080169863,1
"SFBS",0.00859361443169491,1
"LYG",0.00484223896574977,1
"BAC",0.0159918097901697,2
"BMO",0.0133477927141581,2
"STI",0.0155697115576419,2
"TD",0.0127936553254072,2
"RY",0.0132857942012572,2
"CM",0.0128878109816651,2
"STL",0.0136781332633341,2
"BNS",0.0129600094021955,2
"BAP",0.0132122661509543,2
"BSAC",0.0129076487160453,2
"SFST",0.0125809750085619,2
"OFG",0.0129143963419741,2
"UNTY",0.0125333980588624,2
"C",0.0210920713971751,2
"JPM",0.0169793181999243,2
"WFC",0.0145900597594716,2
"CMA",0.0154795719995517,2
"RNST",0.0141435817487845,2
"SFNC",0.0134293277744242,2
"PNC",0.0157461311524813,2
"CBKM",0.0108439455308648,2
"GLE.PA",0.0227671517995378,2
"LLOY.L",0.0191978250393747,2
"^BANK",0.0161577344726321,2
"DB",0.0210819875382396,2
"HSBC",0.0202127560090526,2
"ING",0.0221877927951023,2
"GS",0.0153230999416736,2
"USB",0.0152169453487993,2
"VLY",0.0139269671023123,2
"WBK",0.0129606562691351,2
"CS",0.0202529280445913,2
"DSEEY",0.0188135153788706,2
"JFBC",0.0120040578639077,2
"MCILX",0.0142629904812332,2
"MS",0.0205814363389978,2
"NMR",0.0188091026304244,2
"SCGLY",0.0203420010454026,2
"BNP.PA",0.0138683302798547,2
"BBVA",0.0221443153390269,2
"BPOP",0.0210013847374822,2
"FBP",0.021554896777908,2
"CIB",0.0127400140657355,2
"BFR",0.019380752870896,2
"BCS",0.019685495246863,2
"SAN",0.0208069324913351,2
"EWBC",0.0151776261410776,2
"BLX",0.00439597520022828,2
"1398.HK",0.00666609315754849,3
"0939.HK",0.00696459302780787,3
"3988.HK",0.00695620224134408,3
"3328.HK",0.00616076647742543,3
