"","so","mem"
"^NSEI",0.00967908053104572,1
"BSE-500.BO",0.00971604340853457,1
"^FTSE",0.00754835258622347,2
"^STOXX50E",0.0089291020409958,2
"^N225",0.00529841577312391,2
"^HSI",0.00542150340794035,2
"^STI",0.00763831061006907,2
"^AXJO",0.0104779699569922,2
"^AORD",0.010747551108369,2
"^BSESN",0.00629301882260777,2
"^JKSE",0.00528170463017133,2
"^KLSE",0.00531473115058256,2
"^NZ50",0.005353036563388,2
"^KS11",0.00563664331929651,2
"^TWII",0.0047166577235219,2
"^BVSP",0.00513434143942774,2
"^MXX",0.00568857231821321,2
"^IPSA",0.00534383311735819,2
"^MERV",0.00516548531880763,2
"^SSEC",0.0046570116999336,2
"^ATX",0.00568467985742852,2
"^OSEAX",0.00532125657791666,2
"^OMXSPI",0.00706599961085411,2
"^SSMI",0.00919428770099183,2
"^XAU",0.00508360858923439,2
"^DJU",0.00559713737028295,2
"^KFX",0.00594509887985428,2
"^XU100",0.00508737605560157,2
"FTSEMIB.MI",0.00463353400626713,2
"^DJAT",0.00745293607959073,2
"000001.SS",0.00492038233861113,2
"^BUX",0.00615844288787692,2
"^OMX",0.00778419272300273,2
"MOEX.ME",0.00491063422959423,2
"^OMXC20",0.00576788432243706,2
"^GSPTSE",0.0135938707305222,3
"^GSPC",0.0667105052859791,3
"^DJI",0.0454577884901164,3
"^IXIC",0.0418976670131676,3
"^NYA",0.0522203701135873,3
"^XAX",0.0115088756494936,3
"^RUT",0.0350307982633771,3
"^XMI",0.0362589237024167,3
"^OEX",0.0583928620587051,3
"^MID",0.0409854795003906,3
"^NBI",0.0160534141390363,3
"^NWX",0.0150434100285253,3
"^PSE",0.0363310683259358,3
"^RUA",0.0441214554262021,3
"^RUI",0.0675539019178928,3
"^DJT",0.018552095118261,3
"^GDAXI",0.0218033771140038,4
"^FCHI",0.0293027980777099,4
"^N100",0.0323686588862593,4
"^BFX",0.0234870609495265,4
"^AEX",0.0259846856516486,4
"^SMSI",0.0211323825058855,4
"^IBEX",0.0215597342952108,4
