"","so","mem"
"ANTO.L",0.00797409214544072,1
"CCH.L",0.0094054957464575,1
"AHT.L",0.00989446444299124,1
"SDR.L",0.012445253237521,1
"BATS.L",0.0099674335267706,1
"EZJ.L",0.00635505597499669,1
"SHP.L",0.00771490951498015,1
"CCL.L",0.00846173975847809,1
"CNA.L",0.00831448416760494,1
"SSE.L",0.00860727080080034,1
"GFS.L",0.00743424340012301,1
"NMC.L",0.00706763385304949,1
"SMIN.L",0.0111007835459156,1
"PRU.L",0.0127697138920293,1
"SKY.L",0.0092699215721354,1
"DLG.L",0.00693394433471402,1
"EXPN.L",0.00854708552319563,1
"RTO.L",0.0101968836173556,1
"STJ.L",0.0114353971780068,1
"CPG.L",0.00989803217006156,1
"VOD.L",0.0102949486813888,1
"PPB.L",0.00656152706804459,1
"^FTSE",0.015746409068691,1
"SIE.DE",0.0219883245898342,2
"BEI.DE",0.0106699941337282,2
"BAS.DE",0.0218243423495029,2
"FRE.DE",0.0110820213405983,2
"ADS.DE",0.0074056920235578,2
"MUV2.DE",0.01366796692136,2
"BAYN.DE",0.0125561628903872,2
"TKA.DE",0.0114500849539622,2
"ALV.DE",0.0205279472232708,2
"RWE.DE",0.00879163804788541,2
"PSM.DE",0.00692815392023449,2
"LIN.DE",0.0104317055449513,2
"DPW.DE",0.00970321189132649,2
"VOW3.DE",0.0135052017757223,2
"DAI.DE",0.0217108726437652,2
"EOAN.DE",0.0109290620805118,2
"VNA.DE",0.00699783236043766,2
"HEI.DE",0.0155447689480893,2
"CON.DE",0.0189434216402133,2
"SAP.DE",0.0169448465698671,2
"MRK.DE",0.0106408556202403,2
"IFX.DE",0.0139006266820076,2
"DB1.DE",0.0083049642147379,2
"CBK.DE",0.0127675247112605,2
"HEN3.DE",0.0115834117192944,2
"LHA.DE",0.0103149233486663,2
"DBK.DE",0.0134905114534637,2
"FME.DE",0.011027833941946,2
"DTE.DE",0.0107925049372376,2
"BMW.DE",0.0221732024014479,2
"^GDAXI",0.0347895862740465,2
"^DJI",0.0269770678411068,3
"MSFT",0.0123368557483611,3
"MRK",0.00997584406627457,3
"DIS",0.0115529120007507,3
"NKE",0.00880909438044733,3
"JNJ",0.0121822661973568,3
"HD",0.0111598123134941,3
"KO",0.0101182656895715,3
"MMM",0.0145807051460572,3
"GE",0.0103759468757838,3
"AAPL",0.00887137505044997,3
"VZ",0.00792077211333584,3
"UTX",0.0129362374196959,3
"TRV",0.0102620527146174,3
"IBM",0.012977802757992,3
"BA",0.0101774090242519,3
"GS",0.0140951376641601,3
"V",0.00799123806490404,3
"WMT",0.00657735182555408,3
"MCD",0.00892319300084751,3
"JPM",0.0145451067609599,3
"PFE",0.0118762156376141,3
"CSCO",0.0122560706188465,3
"PG",0.00925320181312638,3
"AXP",0.0144303334810493,3
"UNH",0.0103430812601449,3
"DWDP",0.0104985441206249,3
"CAT",0.0123622221779155,3
"INTC",0.00967049470430545,3
"XOM",0.00944679170529865,3
"CVX",0.00873067745079493,3
