"","so","mem"
"ANTO.L",0.0054651804369089,1
"CCH.L",0.0062047764459336,1
"AHT.L",0.00649143251946675,1
"SDR.L",0.00824369545423768,1
"BATS.L",0.00674418086757566,1
"EZJ.L",0.00464182942863558,1
"SHP.L",0.00523072986745996,1
"CCL.L",0.00554814674114209,1
"CNA.L",0.00584841785082809,1
"SSE.L",0.00579740584763202,1
"GFS.L",0.00468316839066673,1
"NMC.L",0.0048868567576492,1
"PRU.L",0.00803019909675575,1
"SKY.L",0.00555453237205229,1
"DLG.L",0.00504853345380761,1
"EXPN.L",0.00598594119665866,1
"RTO.L",0.00656048008150978,1
"STJ.L",0.00749175692744052,1
"CPG.L",0.00697028721198951,1
"VOD.L",0.00657239796550874,1
"PPB.L",0.00467157210261592,1
"^FTSE",0.00977596803082721,1
"SAN.PA",0.00455159821315126,1
"^DJI",0.0174108954632346,2
"MSFT",0.00781015273094587,2
"MRK",0.00664667389624258,2
"DIS",0.00775864012658405,2
"NKE",0.00574048498761296,2
"JNJ",0.00773113594751955,2
"HD",0.00710176080027245,2
"KO",0.00685089712623298,2
"MMM",0.010078407991085,2
"GE",0.00715136639249723,2
"AAPL",0.0059843104076612,2
"VZ",0.00536281444433659,2
"UTX",0.00858879753856754,2
"TRV",0.00705447948022734,2
"IBM",0.00893891679613279,2
"BA",0.00720790089963079,2
"GS",0.00956933272765636,2
"V",0.0058586692408003,2
"WMT",0.00481734410494258,2
"MCD",0.00609108199715687,2
"JPM",0.0100080977428523,2
"PFE",0.00770839127427836,2
"CSCO",0.0081288966599297,2
"PG",0.00637117720794906,2
"AXP",0.0100860639266635,2
"UNH",0.00669444488446564,2
"DWDP",0.0071533341227455,2
"CAT",0.00847008485386047,2
"INTC",0.00642500920497308,2
"XOM",0.00649743360465564,2
"CVX",0.00597728764264869,2
"BEI.DE",0.00787721570142136,3
"FRE.DE",0.00695234907775196,3
"ADS.DE",0.00539945390295118,3
"RWE.DE",0.00630978262866421,3
"EOAN.DE",0.00782026005209981,3
"VNA.DE",0.00501225558719625,3
"SAP.DE",0.0133824822935192,3
"MRK.DE",0.00695702247066568,3
"IFX.DE",0.00939875015178105,3
"HEN3.DE",0.00809384000457713,3
"FME.DE",0.00752345148536418,3
"DTE.DE",0.00776799043446584,3
"CAP.PA",0.0101275589437479,3
"MC.PA",0.0124152022047153,3
"KER.PA",0.00934103620009269,3
"ATO.PA",0.00804456823369409,3
"ENGI.PA",0.00722270345360105,3
"BN.PA",0.00716150393399629,3
"OR.PA",0.00841421102267344,3
"SW.PA",0.0065878305254518,3
"DG.PA",0.00992024601256706,3
"ORA.PA",0.00720628624255825,3
"SIE.DE",0.0175761083245304,4
"BAS.DE",0.0172344441309956,4
"MUV2.DE",0.0112227437700221,4
"BAYN.DE",0.00828292883624599,4
"TKA.DE",0.00777733642238646,4
"ALV.DE",0.0184238277817122,4
"PSM.DE",0.00521590187660667,4
"LIN.DE",0.00769717956615066,4
"DPW.DE",0.00681345612374529,4
"VOW3.DE",0.0101487882034365,4
"DAI.DE",0.0160952682661533,4
"HEI.DE",0.0114315402289009,4
"CON.DE",0.0157315621090079,4
"DB1.DE",0.0055689405678506,4
"CBK.DE",0.0108334439791163,4
"LHA.DE",0.00765017808700016,4
"DBK.DE",0.0100708202308184,4
"BMW.DE",0.0168349125091467,4
"^GDAXI",0.027329443465211,4
"FP.PA",0.00781770280080211,4
"AI.PA",0.0116578355393773,4
"FR.PA",0.0127479934407204,4
"AIR.PA",0.00781241411508175,4
"UG.PA",0.0118945272383829,4
"SGO.PA",0.0146412643522257,4
"AC.PA",0.00945958986026341,4
"LR.PA",0.00938053878881632,4
"GLE.PA",0.0142073193986257,4
"SU.PA",0.0168280788273477,4
"CA.PA",0.00619269924566662,4
"BNP.PA",0.0159053095009406,4
"ML.PA",0.0121654704734539,4
"VIE.PA",0.00593294669898817,4
"ACA.PA",0.0124190870957857,4
"VIV.PA",0.00660451493604119,4
"EN.PA",0.0106493268553793,4
"^FCHI",0.0245351843046936,4
