"","so","mem"
"WMT",0.00559339541724044,1
"0003.HK",0.00743369521133805,1
"1038.HK",0.00659659142451607,1
"0941.HK",0.00806482921993251,1
"0101.HK",0.00900673138884725,1
"2018.HK",0.00523261879891482,1
"2318.HK",0.00880269581562803,1
"2388.HK",0.00813410871731184,1
"0006.HK",0.00735471340553008,1
"0002.HK",0.00724485956597147,1
"0012.HK",0.0117196414790444,1
"0016.HK",0.0125735642468948,1
"0700.HK",0.00816298257634685,1
"2628.HK",0.00887786008845307,1
"0027.HK",0.00728185622466273,1
"0992.HK",0.00551100364595297,1
"1398.HK",0.00851449223618723,1
"0023.HK",0.00983259272526505,1
"1109.HK",0.00765640413625913,1
"0836.HK",0.00696253671896094,1
"0017.HK",0.0119837372413678,1
"1299.HK",0.0083082294715031,1
"1928.HK",0.00615549432706977,1
"0883.HK",0.00702830297700015,1
"1044.HK",0.00552644347330652,1
"0267.HK",0.0122989130364849,1
"0083.HK",0.0106947320396933,1
"2319.HK",0.00610292240466147,1
"0386.HK",0.00714009054886004,1
"^HSI",0.0162038495744168,1
"ANTO.L",0.00616959942392275,2
"CCH.L",0.00685533088369113,2
"AHT.L",0.00719829554411706,2
"SDR.L",0.00931331941304202,2
"BATS.L",0.00766100266080978,2
"EZJ.L",0.005179496509829,2
"SHP.L",0.00573367011019844,2
"CCL.L",0.00602513512623905,2
"CNA.L",0.00647947279747343,2
"SSE.L",0.00656752899521129,2
"GFS.L",0.00545364467241428,2
"NMC.L",0.00571992129844152,2
"PRU.L",0.00896365048115818,2
"SKY.L",0.00623555518905913,2
"DLG.L",0.00570348167022402,2
"EXPN.L",0.00671325980120977,2
"RTO.L",0.00763386057724729,2
"STJ.L",0.00840995298005092,2
"CPG.L",0.00784141930676223,2
"VOD.L",0.00736580491588851,2
"PPB.L",0.00513432247737441,2
"^FTSE",0.0110366570242921,2
"SIE.DE",0.0163846474727973,3
"BEI.DE",0.00799144731927864,3
"BAS.DE",0.0159807292715946,3
"FRE.DE",0.00840433440757518,3
"ADS.DE",0.00563194757897619,3
"MUV2.DE",0.0109031111845463,3
"BAYN.DE",0.00913286205967995,3
"TKA.DE",0.0087422644217316,3
"ALV.DE",0.0166883788670245,3
"RWE.DE",0.00680920322444641,3
"PSM.DE",0.0055661283435553,3
"LIN.DE",0.00808855057258892,3
"DPW.DE",0.00739190257581616,3
"VOW3.DE",0.0101569281287746,3
"DAI.DE",0.0158891740735861,3
"EOAN.DE",0.00841126459333318,3
"VNA.DE",0.00544591848790211,3
"HEI.DE",0.0123195081471776,3
"CON.DE",0.0144865723679346,3
"SAP.DE",0.0127195392270213,3
"MRK.DE",0.0081174840303042,3
"IFX.DE",0.0101799867708437,3
"DB1.DE",0.0065702981807329,3
"CBK.DE",0.0101373085737105,3
"HEN3.DE",0.00858592114517745,3
"LHA.DE",0.00838374270791345,3
"DBK.DE",0.0102355944090548,3
"FME.DE",0.00825419766109088,3
"DTE.DE",0.00832926018065761,3
"BMW.DE",0.0160399135475812,3
"^GDAXI",0.0245315628757514,3
"^DJI",0.0204260783521892,4
"MSFT",0.00900184949821428,4
"MRK",0.00730417520219518,4
"DIS",0.00901655468339107,4
"NKE",0.00648205837524878,4
"JNJ",0.00906875406952782,4
"HD",0.00824175744694688,4
"KO",0.00786845964180875,4
"MMM",0.0118371378944378,4
"GE",0.00818135439438024,4
"AAPL",0.00690236843894949,4
"VZ",0.00612074996901205,4
"UTX",0.01022106021645,4
"TRV",0.00789793572307617,4
"IBM",0.0101669723948959,4
"BA",0.00857175427790748,4
"GS",0.0108053071891899,4
"V",0.00668632667521611,4
"MCD",0.00692112681368247,4
"JPM",0.0115097475957641,4
"PFE",0.00880537273907241,4
"CSCO",0.00983746910635235,4
"PG",0.0074238816311598,4
"AXP",0.0115373688317218,4
"UNH",0.00766978313711508,4
"DWDP",0.00835265096274832,4
"CAT",0.00973157900012274,4
"INTC",0.00722168402184542,4
"XOM",0.0074382492927003,4
"CVX",0.00684648002024145,4
