"","so","mem"
"^FCHI",0.0237520516462714,1
"^IBEX",0.0203819505314142,1
"AC.PA",0.00685862759772398,1
"AI.PA",0.00965092427728321,1
"ATO.PA",0.00573136323517843,1
"BN.PA",0.00885536521275441,1
"BNP.PA",0.0124745450672372,1
"CA.PA",0.00585656908982274,1
"CAP.PA",0.00617366450139397,1
"DG.PA",0.00790391651092588,1
"ENGI.PA",0.00743649975516601,1
"EN.PA",0.0068499548624852,1
"EO.PA",0.00918144032898274,1
"FP.PA",0.00732502633557345,1
"FR.PA",0.00768303757203835,1
"GLE.PA",0.0118767475834256,1
"HO.PA",0.00436870047061145,1
"KER.PA",0.00523756429882717,1
"KN.PA",0.00847328223010552,1
"MC.PA",0.00806404109034817,1
"MF.PA",0.00805024506722834,1
"ML.PA",0.00808596515987604,1
"ORA.PA",0.00663198971433295,1
"OR.PA",0.00847091687541578,1
"SAF.PA",0.00910654094548058,1
"SAN.PA",0.00304912279424477,1
"SCR.PA",0.00492963306040047,1
"SGO.PA",0.0129443016940396,1
"SU.PA",0.0114862464857872,1
"SW.PA",0.0049622795400321,1
"UG.PA",0.00722947820226478,1
"VIV.PA",0.00574139071488796,1
"ABE.MC",0.00497778867485341,1
"ACS.MC",0.0077746421041484,1
"ACX.MC",0.00450339991396474,1
"AMS.MC",0.00508478136286283,1
"ANA.MC",0.00798283590449896,1
"BBVA.MC",0.0123957087500606,1
"BKT.MC",0.00811774887763061,1
"DIA.MC",0.00455718689393204,1
"ELE.MC",0.00572969531318227,1
"ENG.MC",0.00631420918275993,1
"FER.MC",0.00658543024331932,1
"GAS.MC",0.00844759557897356,1
"GRF.MC",0.0045833440119169,1
"IBE.MC",0.00918712722237558,1
"ITX.MC",0.0062857164723003,1
"MEL.MC",0.00530016186136735,1
"REE.MC",0.00721484946719162,1
"SAB.MC",0.00751085363720266,1
"SAN.MC",0.0140176727342889,1
"TEF.MC",0.0100510090496675,1
"VIS.MC",0.00417704631322596,1
"^GDAXI",0.0295961085417064,2
"IPN.PA",0.00345749547866096,2
"ADS.DE",0.00383044551450622,2
"ALV.DE",0.0176719181864652,2
"BAS.DE",0.0198276591619599,2
"BAYN.DE",0.0119258367146557,2
"BEI.DE",0.00665480379669463,2
"BMW.DE",0.0181927519680145,2
"CON.DE",0.0139016494219931,2
"DAI.DE",0.0174479104944684,2
"DB1.DE",0.00471351835854032,2
"DPW.DE",0.00484766144970986,2
"DTE.DE",0.00939627507216201,2
"EOAN.DE",0.00632413813672006,2
"FME.DE",0.00594367030394237,2
"FRE.DE",0.00747317321823903,2
"HEI.DE",0.0106471026207594,2
"HEN3.DE",0.0060878652081894,2
"IFX.DE",0.00783313331910506,2
"LIN.DE",0.00723817315980549,2
"MRK.DE",0.00620163497730638,2
"MUV2.DE",0.00999284150729924,2
"PSM.DE",0.00513383359830193,2
"RWE.DE",0.00491029803977305,2
"SAP.DE",0.010737942472747,2
"SIE.DE",0.0172646238073936,2
"TKA.DE",0.0113372943475896,2
"VNA.DE",0.00403503516567984,2
"VOW3.DE",0.00979563897291886,2
"ATL.MI",0.00564022208650332,2
"BZU.MI",0.00570347806323167,2
"CNHI.MI",0.00448373260467533,2
"CPR.MI",0.00431174755248587,2
"ENEL.MI",0.00870941824102905,2
"FCA.MI",0.0120476229731088,2
"MONC.MI",0.00436995810840928,2
"PRY.MI",0.00657806993927532,2
"REC.MI",0.00485155010960774,2
"SFER.MI",0.00374130307569153,2
"SRG.MI",0.00534295969154175,2
"STM.MI",0.00534699619315641,2
"TRN.MI",0.00586267954953428,2
"CBK.DE",0.0118646050301314,3
"DBK.DE",0.0106998212021152,3
"LHA.DE",0.00414503986682165,3
"AZM.MI",0.00692545863002911,3
"BMED.MI",0.00859633653863535,3
"BPE.MI",0.00846673339564465,3
"ENI.MI",0.00742040641419378,3
"G.MI",0.0098102989702716,3
"ISP.MI",0.0109263591330985,3
"MB.MI",0.0117712061544371,3
"MS.MI",0.00654768337336234,3
"SPM.MI",0.00452418021524895,3
"TEN.MI",0.00441333832869539,3
"TIT.MI",0.00473499230738549,3
"UBI.MI",0.00724856807810399,3
"UNI.MI",0.00941083443457401,3
"YNAP.MI",0.00473196064107922,3
"ACA.PA",0.00970236127305451,4
"AIR.PA",0.00543258082469115,4
"BIM.PA",0.00411648643462452,4
"EDEN.PA",0.00442858882113281,4
"EDF.PA",0.00428570967767434,4
"LR.PA",0.00599111624336117,4
"VIE.PA",0.00487645859927387,4
"CABK.MC",0.0071805280039433,4
"IAG.MC",0.0049403319585044,4
"MAP.MC",0.0091836699681996,4
"MRL.MC",0.00399583799507559,4
"MTS.MC",0.0049828471907067,4
"TRE.MC",0.00361330307108889,4
