"","so","mem"
"ACD.TO",0.00765909854710756,1
"AC.TO",0.0095554756983939,1
"AD.TO",0.00921491739459209,1
"AOT.V",0.00824244268967203,1
"ATA.TO",0.0104273961448712,1
"BOS.TO",0.00831857222004606,1
"CBL.TO",0.0078492666153443,1
"CNE.TO",0.0109812360184723,1
"CNQ.TO",0.0149945175804078,1
"CTO.V",0.00655848085343518,1
"DRM.TO",0.0102112778054455,1
"EFL.TO",0.00824469948254383,1
"EFN.TO",0.0098198406085454,1
"ENB.TO",0.00960183701435159,1
"ESI.TO",0.0127823197557309,1
"ESP.TO",0.00860686288073692,1
"EXE.TO",0.00857002435338579,1
"FM.TO",0.0171600525293658,1
"FSW.V",0.00650963095755602,1
"FSZ.TO",0.0112265765812961,1
"GDC.TO",0.00929479460144158,1
"GWR.TO",0.00783017190102981,1
"HBM.TO",0.0160840445551576,1
"INE.TO",0.00829283271538334,1
"KUB.V",0.00520101981709328,1
"LYD.TO",0.00937926878633707,1
"MDV.V",0.00679693822558782,1
"MIT.V",0.00733100238316819,1
"MMA.V",0.00894479060020009,1
"MOZ.TO",0.00934959031944822,1
"MPC.TO",0.0080287175241508,1
"MRD.TO",0.00855367669421026,1
"NPS.TO",0.00705343556347275,1
"NVX.V",0.00967061138891956,1
"PEY.TO",0.0102337281215623,1
"PPL.TO",0.0130772189099058,1
"RFC.V",0.00781488381063025,1
"SSC.V",0.00399954830748237,1
"TSP.V",0.00443337285152111,1
"VRX.TO",0.00846656538269516,1
"WRN.TO",0.0103286897272275,1
"X.TO",0.0103316627303319,1
"ZKL.V",0.00516249248927023,1
"BBD-B.TO",0.00899826954788548,1
"OTEX.TO",0.00825833362968209,1
"ABX.TO",0.0147974692228162,2
"AEM.TO",0.0137678363491661,2
"AKG.TO",0.00943738409912117,2
"BTO.TO",0.0119237752602853,2
"ELD.TO",0.0113298423117716,2
"K.TO",0.0145887114487474,2
"THO.TO",0.0104124391145768,2
"YRI.TO",0.0168513549747872,2
"BMO.TO",0.0235903466336055,3
"BNS.TO",0.0226158023840925,3
"CFP.TO",0.00989109072990584,3
"CM.TO",0.0199848377800246,3
"CWB.TO",0.0188215811708761,3
"LB.TO",0.0168753014793168,3
"LUN.TO",0.0134291110452915,3
"MFC.TO",0.0162243377887607,3
"NA.TO",0.0241141354988889,3
"PWF.TO",0.018645506819306,3
"RY.TO",0.0263952100380885,3
"TD.TO",0.0214681474464186,3
"WJX.TO",0.00863618808473755,3
"XTC.TO",0.00934442518433126,3
"^GSPTSE",0.0246371651969307,3
"SLF.TO",0.0151641505148041,3
"ATH.TO",0.0148332187705954,4
"BTE.TO",0.0178431799711011,4
"CFW.TO",0.0154615451852038,4
"CPG.TO",0.0231117323903278,4
"CVE.TO",0.0178934412314208,4
"ECA.TO",0.0201382804832339,4
"ESN.TO",0.010403147896197,4
"MEG.TO",0.0203939150570507,4
"PD.TO",0.0185860713083971,4
"PGF.TO",0.0106839812182202,4
"SU.TO",0.0157530924315988,4
"TCW.TO",0.0125020571649081,4
