"","so","mem"
"BMA",0.00502548554214011,1
"GGAL",0.00556600214761212,1
"BMO",0.0122128229046745,2
"TD",0.0122941725552768,2
"RY",0.0132539059591542,2
"CM",0.0130659588028259,2
"BNS",0.0135347149339499,2
"BAP",0.0124401528945437,2
"BSAC",0.0126035185018166,2
"SFST",0.0117357271866725,2
"C",0.0223991236098909,2
"CBKM",0.0118371893339108,2
"GLE.PA",0.0198610867359802,2
"LLOY.L",0.0184537854102791,2
"DB",0.022065825259836,2
"HSBC",0.0200033272464635,2
"ING",0.0239329141907247,2
"WBK",0.0124246244091718,2
"CS",0.0216677828343151,2
"DSEEY",0.0197142654795378,2
"JFBC",0.0116617897458131,2
"MCILX",0.014977147316457,2
"MS",0.022049899998982,2
"NMR",0.0200036622015474,2
"SCGLY",0.0187577910099169,2
"BNP.PA",0.00841125085007744,2
"BBVA",0.0221765765264393,2
"BPOP",0.0191741650015005,2
"HDB",0.0178440448942797,2
"FBP",0.0199811499894751,2
"CIB",0.0122575967132029,2
"BFR",0.0185435924377356,2
"BCS",0.0221371282409556,2
"SAN",0.0231485377948915,2
"HOMB",0.00673513023692727,3
"GWB",0.00625931052483053,3
"BLMT",0.00435234470341704,3
"FBNK",0.00475506417598991,3
"FRC",0.00592423763408089,3
"NCBS",0.00296733968694052,3
"STBZ",0.00730771027851306,3
"PUB",0.00411812412896785,3
"OPB",0.00479449620536957,3
"TSC",0.00461156468615767,3
"HTH",0.00731764942534314,3
"WAL",0.00768775579948272,3
"SFBS",0.00610663340703018,3
"BBD",0.00654304369656582,4
"BSBR",0.00508351528579284,4
"BBDO",0.0049538413380941,4
"BCH",0.00378191773534391,4
"ITUB",0.00615364928972375,4
"IBN",0.00517112462708638,5
"OAKV",0.002773867507215,5
"BSMX",0.00397470469272268,5
"RBS",0.00512029019589784,6
"UBS",0.00466794922594972,6
"SMFG",0.00567803372887068,6
"MFG",0.00512388402610676,6
"LYG",0.0047572554004574,6
"EGDW",0.00226878155542215,7
"FCBI",0.00236306247251361,7
"ZBK",0.00293859612903015,7
"BAC",0.0177980558989977,8
"STI",0.0173837295459593,8
"STL",0.0153057568643171,8
"OFG",0.0131487937026217,8
"UNTY",0.0116075080989066,8
"JPM",0.017735152967559,8
"WFC",0.0140336201150696,8
"CMA",0.0182918372864883,8
"RNST",0.0143047612017364,8
"SFNC",0.0135482733782485,8
"PNC",0.0176124023563844,8
"^BANK",0.0185836104169572,8
"GS",0.0141913258074189,8
"USB",0.0176804566157608,8
"VLY",0.0151359989666811,8
"EWBC",0.0167925576008748,8
"BLX",0.00399765023644161,8
"WF",0.0058537501218309,9
"SHG",0.00714508303263518,9
"KB",0.00646273286887691,9
"1398.HK",0.00578118897273331,10
"0939.HK",0.00612308080429486,10
"3988.HK",0.0059459489452067,10
"3328.HK",0.00602912773410548,10
