"","StationaryDistributionINF","StationaryDistributionPER","GOP","Importance","Membership","QuantileDR.10","QuantileDR.25","QuantileDR.35","QuantileDR.45","QuantileDR.50","QuantileDR.65","QuantileDR.75","QuantileDR.85","QuantileDR.95","Symbol","Name"
"AAL",0.004,0.008,0.02,0.918,1,-0.027,-0.011,-0.006,-0.002,0,0.007,0.013,0.019,0.029,"AAL","American Airlines Group Inc"
"AAPL",0.005,0.007,0.02,1.1,1,-0.011,-0.005,-0.002,0.001,0.002,0.005,0.008,0.011,0.02,"AAPL","Apple Inc"
"ADP",0.005,0.006,0.02,1.112,1,-0.006,-0.003,-0.001,0.001,0.002,0.004,0.006,0.009,0.015,"ADP","Automatic Data Processing Inc"
"AKAM",0.005,0.007,0.02,1.053,1,-0.014,-0.007,-0.003,0.001,0.002,0.006,0.009,0.012,0.016,"AKAM","Akamai Technologies Inc"
"BIDU",0.004,0.009,0.018,1.008,1,-0.02,-0.011,-0.007,-0.003,-0.001,0.004,0.01,0.018,0.036,"BIDU","Baidu Inc"
"CERN",0.004,0.007,0.02,1.068,1,-0.013,-0.006,-0.003,0,0.001,0.004,0.008,0.012,0.019,"CERN","Cerner Corp"
"CHKP",0.003,0.007,0.016,1.096,1,-0.009,-0.004,-0.003,-0.001,0,0.004,0.005,0.01,0.017,"CHKP","Check Point Software Technologies Ltd"
"CTRP",0.004,0.008,0.018,1.065,1,-0.021,-0.011,-0.008,-0.003,0,0.003,0.008,0.015,0.029,"CTRP","Ctrip.Com International Ltd"
"CTAS",0.004,0.005,0.018,1.133,1,-0.01,-0.004,-0.002,0,0.002,0.005,0.008,0.01,0.014,"CTAS","Cintas Corp"
"CSCO",0.004,0.007,0.017,0.818,1,-0.009,-0.005,-0.003,-0.001,0,0.004,0.006,0.009,0.017,"CSCO","Cisco Systems Inc"
"COST",0.004,0.006,0.016,1.128,1,-0.006,-0.003,0,0.001,0.003,0.004,0.006,0.009,0.014,"COST","Costco Wholesale Corp"
"CSX",0.004,0.005,0.017,1.149,1,-0.011,-0.005,-0.002,0,0.001,0.004,0.008,0.011,0.02,"CSX","CSX Corp"
"CTSH",0.005,0.007,0.022,0.955,1,-0.012,-0.005,-0.004,-0.002,0,0.005,0.007,0.012,0.017,"CTSH","Cognizant Technology Solutions Corp"
"DLTR",0.003,0.008,0.012,0.8,1,-0.014,-0.007,-0.004,-0.001,0.001,0.007,0.009,0.014,0.021,"DLTR","Dollar Tree Inc"
"EA",0.005,0.007,0.02,1.082,1,-0.015,-0.007,-0.003,0,0.001,0.006,0.009,0.015,0.021,"EA","Electronic Arts"
"EBAY",0.004,0.008,0.015,0.845,1,-0.014,-0.007,-0.003,-0.001,0.001,0.004,0.007,0.01,0.015,"EBAY","eBay Inc"
"ESRX",0.004,0.005,0.018,1.245,1,-0.012,-0.005,-0.003,0,0.001,0.005,0.01,0.016,0.033,"ESRX","Express Scripts Holding Co"
"EXPE",0.003,0.005,0.015,1.13,1,-0.014,-0.007,-0.005,-0.001,0,0.006,0.009,0.013,0.018,"EXPE","Expedia Inc"
"FAST",0.003,0.007,0.014,1.083,1,-0.014,-0.005,-0.003,-0.001,0.001,0.005,0.009,0.012,0.016,"FAST","Fastenal Co"
"FB",0.006,0.007,0.022,1.071,1,-0.019,-0.006,-0.004,-0.002,0.001,0.007,0.011,0.016,0.023,"FB","Facebook"
"HOLX",0.004,0.006,0.017,1.072,1,-0.011,-0.005,-0.002,0,0.002,0.005,0.007,0.01,0.021,"HOLX","Hologic Inc"
"ILMN",0.009,0.004,0.034,1.272,1,-0.016,-0.005,-0.001,0,0.004,0.008,0.011,0.015,0.023,"ILMN","Illumina Inc"
"INTC",0.005,0.008,0.022,0.941,1,-0.019,-0.008,-0.005,-0.001,0,0.005,0.009,0.013,0.022,"INTC","Intel Corp"
"JBHT",0.004,0.006,0.016,1.058,1,-0.013,-0.007,-0.004,-0.001,0,0.004,0.008,0.012,0.018,"JBHT","J.B. Hunt Transport Services Inc"
"JD",0.004,0.009,0.017,1.033,1,-0.03,-0.016,-0.01,-0.006,-0.004,0.004,0.009,0.02,0.04,"JD","JD.com Inc"
"MELI",0.005,0.008,0.021,0.922,1,-0.034,-0.022,-0.011,-0.003,-0.001,0.012,0.02,0.033,0.047,"MELI","MercadoLibre Inc"
"MAR",0.005,0.008,0.023,0.635,1,-0.015,-0.007,-0.004,-0.001,0.001,0.004,0.008,0.011,0.018,"MAR","Marriott International Inc"
"MNST",0.004,0.007,0.017,1.055,1,-0.015,-0.006,-0.004,-0.001,0,0.005,0.008,0.011,0.019,"MNST","Monster Beverage Corp"
"MYL",0.004,0.006,0.019,1.084,1,-0.018,-0.011,-0.005,-0.001,0.002,0.008,0.01,0.013,0.023,"MYL","Mylan NV"
"NTES",0.004,0.009,0.016,0.991,1,-0.033,-0.01,-0.003,0.001,0.002,0.008,0.014,0.02,0.028,"NTES","NetEase Inc"
"PAYX",0.005,0.005,0.021,1.134,1,-0.008,-0.003,-0.002,0.002,0.002,0.005,0.007,0.01,0.012,"PAYX","Paychex Inc"
"QCOM",0.006,0.006,0.025,1.242,1,-0.012,-0.005,-0.001,0.002,0.003,0.005,0.008,0.013,0.033,"QCOM","Qualcomm Inc"
"ROST",0.005,0.007,0.019,1.12,1,-0.01,-0.004,-0.001,0.001,0.002,0.007,0.008,0.012,0.02,"ROST","Ross Stores Inc"
"SIRI",0.004,0.007,0.017,1.063,1,-0.013,-0.006,-0.003,-0.001,0.001,0.005,0.008,0.01,0.021,"SIRI","Sirius XM Holdings Inc"
"TSCO",0.004,0.005,0.016,1.23,1,-0.012,-0.004,-0.002,0.001,0.003,0.008,0.011,0.016,0.025,"TSCO","Tractor Supply Co"
"TMUS",0.004,0.006,0.016,1.143,1,-0.011,-0.004,-0.002,0,0.001,0.004,0.007,0.01,0.021,"TMUS","T-Mobile US Inc"
"ULTA",0.003,0.007,0.013,0.992,1,-0.015,-0.01,-0.005,-0.003,0.001,0.005,0.01,0.015,0.027,"ULTA","Ulta Beauty Inc"
"VOD",0.004,0.009,0.019,0.559,1,-0.017,-0.01,-0.007,-0.003,-0.001,0.003,0.006,0.009,0.014,"VOD","Vodafone Group PLC"
"WDC",0.005,0.009,0.02,1.043,1,-0.02,-0.013,-0.01,-0.004,-0.003,0.005,0.007,0.011,0.023,"WDC","Western Digital Corp"
"IDXX",0.006,0.007,0.026,1.132,1,-0.015,-0.006,-0.003,0.001,0.002,0.008,0.012,0.015,0.021,"IDXX","IDEXX Laboratories Inc"
"ORLY",0.005,0.007,0.022,1.185,1,-0.011,-0.003,0,0.002,0.003,0.006,0.01,0.012,0.02,"ORLY","O'Reilly Automotive Inc"
"PCAR",0.005,0.007,0.02,0.918,1,-0.016,-0.008,-0.004,-0.001,0.002,0.005,0.01,0.014,0.018,"PCAR","PACCAR Inc"
"STX",0.004,0.008,0.015,1.015,1,-0.026,-0.01,-0.004,0,0.002,0.006,0.01,0.013,0.029,"STX","Seagate Technology PLC"
"TSLA",0.003,0.008,0.015,1.082,1,-0.034,-0.022,-0.011,-0.005,-0.003,0.006,0.016,0.028,0.044,"TSLA","Tesla Inc"
"VRSK",0.006,0.006,0.024,1.097,1,-0.008,-0.002,-0.001,0,0.001,0.003,0.006,0.01,0.014,"VRSK","Verisk Analytics Inc"
"WYNN",0.004,0.01,0.019,1.006,1,-0.028,-0.015,-0.006,-0.003,-0.001,0.004,0.01,0.015,0.025,"WYNN","Wynn Resorts Ltd"
"XLNX",0.008,0.006,0.032,1.095,1,-0.014,-0.007,-0.003,0,0.002,0.006,0.008,0.013,0.02,"XLNX","Xilinx Inc"
"IBM",0.006,0.007,0.025,0.855,1,-0.01,-0.004,-0.003,-0.001,0.001,0.003,0.005,0.007,0.014,"IBM",""
"TRV",0.006,0.007,0.026,0.965,1,-0.012,-0.006,-0.003,0,0.002,0.004,0.008,0.009,0.012,"TRV",""
"UNH",0.004,0.007,0.017,1.077,1,-0.011,-0.004,-0.002,0,0.001,0.005,0.008,0.01,0.014,"UNH",""
"MMM",0.011,0.007,0.043,0.931,1,-0.013,-0.007,-0.003,0.001,0.002,0.005,0.007,0.009,0.015,"MMM",""
"CVX",0.004,0.007,0.018,0.972,1,-0.013,-0.007,-0.003,-0.001,0.001,0.004,0.007,0.012,0.016,"CVX",""
"XOM",0.005,0.006,0.02,1.064,1,-0.011,-0.006,-0.003,-0.001,0,0.005,0.007,0.012,0.017,"XOM",""
"UTX",0.01,0.006,0.038,1.087,1,-0.01,-0.004,-0.001,0,0.002,0.004,0.007,0.01,0.017,"UTX",""
"HD",0.004,0.007,0.018,1.048,1,-0.009,-0.003,-0.001,0,0.001,0.004,0.007,0.008,0.013,"HD",""
"WMT",0.003,0.007,0.013,0.934,1,-0.01,-0.005,-0.004,-0.001,-0.001,0.003,0.005,0.01,0.017,"WMT",""
"BA",0.008,0.007,0.028,1.063,1,-0.015,-0.008,-0.005,-0.001,0.001,0.006,0.011,0.014,0.021,"BA",""
"CAT",0.01,0.007,0.034,1.025,1,-0.02,-0.009,-0.004,-0.001,0,0.006,0.01,0.016,0.023,"CAT",""
"AIG",0.004,0.007,0.019,0.968,1,-0.011,-0.005,-0.003,-0.001,0,0.004,0.006,0.009,0.013,"AIG",""
"^GSPC",0.04,0.006,0.107,1.011,1,-0.006,-0.002,-0.001,0,0.001,0.003,0.004,0.006,0.009,"^GSPC",""
"^DJI",0.029,0.007,0.087,0.972,1,-0.007,-0.003,-0.001,0,0.001,0.003,0.004,0.007,0.01,"^DJI",""
"^NYA",0.03,0.007,0.088,0.974,1,-0.006,-0.002,-0.001,0,0.001,0.002,0.004,0.006,0.008,"^NYA",""
"^XAX",0.004,0.007,0.019,0.966,1,-0.009,-0.006,-0.003,-0.002,0,0.003,0.005,0.009,0.013,"^XAX",""
"^RUT",0.009,0.007,0.033,1.011,1,-0.007,-0.003,-0.001,0.001,0.002,0.004,0.005,0.007,0.01,"^RUT",""
"^W5000",0.037,0.006,0.099,1.004,1,-0.006,-0.002,-0.001,0,0.001,0.003,0.004,0.007,0.009,"^W5000",""
"AXP",0.004,0.007,0.019,0.994,2,-0.013,-0.004,-0.001,0,0.002,0.005,0.008,0.01,0.013,"AXP",""
"GS",0.008,0.007,0.026,0.992,2,-0.013,-0.007,-0.005,-0.002,-0.001,0.002,0.005,0.009,0.017,"GS",""
"JPM",0.013,0.007,0.038,1.035,2,-0.012,-0.006,-0.004,-0.002,0,0.003,0.006,0.009,0.022,"JPM",""
"C",0.008,0.007,0.027,0.97,2,-0.015,-0.006,-0.004,0,0,0.005,0.008,0.012,0.022,"C",""
"BAC",0.013,0.007,0.035,1.047,2,-0.015,-0.008,-0.004,-0.001,0,0.003,0.006,0.01,0.02,"BAC",""
"MS",0.012,0.008,0.037,0.959,2,-0.017,-0.009,-0.006,-0.002,-0.001,0.002,0.006,0.01,0.022,"MS",""
"^BKX",0.013,0.007,0.039,1.012,2,-0.011,-0.006,-0.003,-0.001,0,0.002,0.004,0.009,0.018,"^BKX",""
"^BANK",0.006,0.007,0.021,0.956,2,-0.01,-0.005,-0.004,-0.002,-0.002,0.002,0.007,0.009,0.013,"^BANK",""
"CHTR",0.006,0.007,0.024,1.1,3,-0.019,-0.009,-0.007,-0.002,0,0.005,0.012,0.021,0.032,"CHTR","Charter Communications Inc"
"CMCSA",0.006,0.006,0.023,1.119,3,-0.017,-0.007,-0.004,-0.002,-0.001,0.005,0.01,0.013,0.027,"CMCSA","Comcast Corp"
"DISH",0.006,0.006,0.023,1.136,3,-0.022,-0.013,-0.009,-0.003,-0.002,0.005,0.014,0.02,0.036,"DISH","DISH Network Corp"
